"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","identifiedBy","recordedBy","recordNumber","year","month","day","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","infraspecificEpithet","sex","class","relatedCatalogItem","relationshipType","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber"
"1","2021-04-05 14:26:04-03","UNESC","CRI","8481","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","astrigerum","Zanthoxylum astrigerum","(R.S.Cowan) P.G.Waterman","Brasil","Santa Catarina","Turvo","-49.67919921875","-28.9260997772217","18298","CRI009654","CRI009654","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:08-03","UNESC","CRI","11440","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","São Bento do Sul","-49.378611","-26.250556",NA,"CRI009504","CRI009504",NA,"Meyer, F.S.","Meyer F.S.","836","2008","11","22","Arredores do Cepa Rugendas - Univille, Rio Natal.","49º22'43''W","26º15'2''S","851","851","Floresta Ombrófila Densa Montana Habitat: capoeirão Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:04-03","UNESC","CRI","14528","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Irani","-51.93","-27",NA,"CRI013598","CRI013598",NA,"Dreveck, S","Dreveck, S.; Gasper, A.L. de & Carneiro, F.E.","511","2009","01","22","Lajeado Cordeiro. Lajeado Cordeiro.","51º55'48''W","27º0'S","1022","1022","Florística IFFSC 605(Arbórea) Habitat: Floresta Ombrófila Mista; borda do fragmento Habito: arbórea; Fruto verde;","2009","01","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:08-03","UNESC","CRI","7960","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056",NA,"CRI009497","CRI009497",NA,"Vanilde Citadini-Zanette","Beatriz Wessler; Bruna Alberton",NA,"2007","09","06",NA,"49º22'12''W","28º40'41''S",NA,NA,NA,"2007","09","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:08-03","UNESC","CRI","8203","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Anita Garibaldi","-51.130278","-27.689722",NA,"CRI009496","CRI009496",NA,"M. Verdi","M. Verdi; G. Klemz e R. P. Hasckel","1444","2009","01","26",NA,"51º7'49''W","27º41'23''S",NA,NA,NA,"2009","01","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:08-03","UNESC","CRI","5036","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Lauro Muller","-49.396944","-28.393333",NA,"CRI009501","CRI009501",NA,"Vanilde Citadini-Zanette","Vanilde Citadini-Zanette","2189","1996","11","04",NA,"49º23'49''W","28º23'36''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:08-03","UNESC","CRI","7663","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Turvo","-49.681944","-28.927778",NA,"CRI010200",NA,NA,"Vanilde Citadini-Zanette","Jean Gabriel Cemin",NA,"2007","09","28",NA,"49º40'55''W","28º55'40''S","9","9",NA,"2008","04","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:08-03","UNESC","CRI","11323","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Lauro Muller","-49.499722","-28.35",NA,"CRI009682","CRI009682",NA,"M. Verdi","M. Verdi; D. H. Klettenberg & G. Klemz","3675","2010","02","19","Rio Oratórop/Cabo Aereo.","49º29'59''W","28º21'0''S","449","449","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","2010","02","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:26:04-03","UNESC","CRI","14527","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Armazém","-49.049167","-28.259444",NA,"CRI013599","CRI013599",NA,"Verdi, M","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","4177","2010","04","06","Areião. Areião.","49º2'57''W","28º15'34''S","187","187","Florística IFFSC 122 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: arbórea;","2010","04","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:34:08-03","UNESC","CRI","8192","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Anita Garibaldi","-51.130278","-27.689722",NA,"CRI009498","CRI009498",NA,"A. Stival Santos","A. Stival Santos; H. F. Uller e Simone Silvera","252","2008","12","12",NA,"51º7'49''W","27º41'23''S",NA,NA,NA,"2008","12","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
