"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","2218514","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Trattinnickia","mensalis","Trattinnickia mensalis","Daly","C. Farney","4765","2007","07","05","South America","Brazil","Bahia","Conceição da Barra. Comunidade de Lajinha, Fazenda Rancho Tropical II","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2356035' target='other'> <mi>dwc_moreinfo</mi></a>","NY02218514","NY02218514_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2218516","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Trattinnickia","mensalis","Trattinnickia mensalis","Daly","D. A. Folli","490","1984","01","20","South America","Brazil","Espírito Santo","Reserva Florestal da CVRD. Linhares; Est. Flamengo, ant. X-1, km 6.161, lado esquerdo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2356037' target='other'> <mi>dwc_moreinfo</mi></a>","NY02218516","NY02218516_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1416136","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Trattinnickia","mensalis","Trattinnickia mensalis","Daly","G. S. Siqueira","207","2006","02","14","South America","Brazil","Espírito Santo","Reserva Natural Vale. Aceiro c/ BR 101 Jueirana.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2936024' target='other'> <mi>dwc_moreinfo</mi></a>","NY01416136",NA,"D. C. Daly","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2218513","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Trattinnickia","mensalis","Trattinnickia mensalis","Daly","D. A. Folli","4166","2002","01","15","South America","Brazil","Espírito Santo","Reserva Natural Vale. Estrada Flamengo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2356034' target='other'> <mi>dwc_moreinfo</mi></a>","NY02218513","NY02218513_01",NA,"Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2218518","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Trattinnickia","mensalis","Trattinnickia mensalis","Daly","D. A. Folli","503","1984","01","20","South America","Brazil","Espírito Santo","Reserva Florestal da CVRD. Linhares; Est. Flamengo, ant. X-1, km 6.161, lado esquerdo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2356039' target='other'> <mi>dwc_moreinfo</mi></a>","NY02218518","NY02218518_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","370251","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Trattinnickia","mensalis","Trattinnickia mensalis","Daly","J. Spada","65/78","1978","03","08","South America","Brazil",NA,"Reserva Florestal da CVRD. Linhares Esp. Santo. Est. MAC.-PELE-DE-SAPO, ant. 161, Km 1.200, talhai 605.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=553179' target='other'> <mi>dwc_moreinfo</mi></a>","NY00370251","NY00370251_01","D. C. Daly",NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02218520","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Trattinnickia","mensalis","Trattinnickia mensalis","Daly","D. A. Folli","490","1984","01","20","South America","Brazil","Espírito Santo","Reserva Florestal da CVRD. Linhares; Est. Flamengo, ant. X-1, km 6.161, lado esquerdo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2356041' target='other'> <mi>dwc_moreinfo</mi></a>","NY02218520","NY02218520_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2218519","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Trattinnickia","mensalis","Trattinnickia mensalis","Daly","G. L. Farias","53","1984","12","07","South America","Brazil","Espírito Santo","Reserva Florestal de Linhares. Flamengo Km 6.161.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2356040' target='other'> <mi>dwc_moreinfo</mi></a>","NY02218519","NY02218519_01",NA,"Linhares","-40.0719","-19.3911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2218517","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Trattinnickia","mensalis","Trattinnickia mensalis","Daly","D. A. Folli","503","1984","01","20","South America","Brazil","Espírito Santo","Reserva Florestal da CVRD. Linhares; Est. Flamengo, ant. X-1, km 6.161, lado esquerdo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2356038' target='other'> <mi>dwc_moreinfo</mi></a>","NY02218517","NY02218517_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2218515","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Trattinnickia","mensalis","Trattinnickia mensalis","Daly","R. P. Belém","826","1965","05","13","South America","Brazil","Bahia","Rodovia Camacan-Canavieira, 30 km W de Canavieira.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2356036' target='other'> <mi>dwc_moreinfo</mi></a>","NY02218515","NY02218515_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
