"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","locality","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","typeStatus","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","class","order"
"1","2020-11-04 11:12:03-03","ESALQ","ESA","70231","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","bragai","Ocotea bragai","Coe- Teix.","Moraes, P.L.R.","Moraes, P.L.R. et al.","2417.0","2001","04","17","Brasil","São Paulo","Mairiporã","-46.5800018310547","-23.3099994659424","15840","ESA070231","ESA070231","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:12:03-03","ESALQ","ESA","70230","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","bragai","Ocotea bragai","Coe- Teix.","Moraes, P.L.R.","Moraes, P.L.R. et al.","2415.0","2001","04","17","Brasil","São Paulo","Mairiporã","-46.5800018310547","-23.3099994659424","15840","ESA070230","ESA070230","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:32:36-03","UNICAMP","UEC","134583","S","Plantae","Magnoliopsida","Lauraceae","Ocotea","bragai","Ocotea bragai","Coe-Teix.","Moraes, PLR","Moraes, PLR; Arzolla, FARDP; Camargo, AP","2415","2001","04","17","Brazil","São Paulo","Mairiporã","-46.5800018310547","-23.3099994659424","15840","UEC061468","UEC061468","auto","Parque Estadual da Cantareira, região de Águas Claras.","Árvore 25 m, flores brancas com odor, flores masculinas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:32:36-03","UNICAMP","UEC","130160","S","Plantae","Magnoliopsida","Lauraceae","Ocotea","bragai","Ocotea bragai","Coe-Teix.","Baitello, JB","Arzolla, FARDP","253","2001","03","31","Brazil","São Paulo","Mairiporã","-46.5800018310547","-23.3099994659424","15840","UEC061466","UEC061466","auto","Parque Estadual da Cantareira, região de Águas Claras.","Árvore 25 m altura, indumento e flores claros.","2001","04","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:31:02-03","MBM","MBM","133577","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","bragai","Ocotea bragai","Coe-Teixeira","Baitello, J.B.","Braga, B.","39","1969","03","27","Brazil","São Paulo",NA,NA,NA,NA,"MBM133577","MBM133577",NA,"Serra da Cantareira, Região do Pinheirinho","Árvore; Árvore.",NA,NA,NA,"ISOTYPE","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:31:02-03","MBM","MBM","407598","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","bragai","Ocotea bragai","Coe-Teixeira","Brotto, M.L.","Brotto, M.L.; Lozano, E.D.; Lozano, E.D.","2388","2017","01","18","Brazil","Paraná","Adrianópolis","-48.666839","-24.848578",NA,"MBM407598","MBM407598",NA,"Parque Estadual das Lauráceas","Árvore com 23 m de altura; estéril.; Floresta Ombrófila Densa Montana.","2017","01","19",NA,"Southern America","-48.666839","-24.848578",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:31:02-03","MBM","MBM","408331","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","bragai","Ocotea bragai","Coe-Teixeira","Brotto, M.L.","Brotto, M.L.; Völtz, R.R.; Silva, J.M.; Völtz, R.R.; Silva, J.M.","2403","2017","02","22","Brazil","Paraná","Adrianópolis","-48.580361","-24.684667",NA,"MBM408331","MBM408331",NA,"Parque Estadual das Lauráceas, próximo ao rio Pardo","Árvore com 10 m de altura; estéril.; Floresta Ombrófila Densa Submontana.","2017","03","27",NA,"Southern America","-48.580361","-24.684667","140","140",NA,NA,NA,NA
"8","2020-12-21 16:31:02-03","MBM","MBM","293797","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","bragai","Ocotea bragai","Coe-Teixeira","Baitello, J.B.","Arzolla, FARDP","256","2001","04","17","Brazil","São Paulo","Mairiporã","-46.5800018310547","-23.3099994659424","15840","MBM293797","MBM293797","auto","Parque Estadual da Cantareira","= 287159",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:31:02-03","MBM","MBM","288159","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","bragai","Ocotea bragai","Coe-Teixeira","Baitello, J.B.","Arzolla, FARDP","256","2001","04","17","Brazil","São Paulo","Mairiporã","-46.5800018310547","-23.3099994659424","15840","MBM288159","MBM288159","auto","Parque Estadual da Cantareira","= 293797",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:31:02-03","MBM","MBM","296650","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","bragai","Ocotea bragai","Coe-Teixeira",NA,"Moraes, P.L.R. de; et al.; et al.","2415","2001","04","17","Brazil","São Paulo","Mairiporã","-46.5800018310547","-23.3099994659424","15840","MBM296650","MBM296650","auto","Parque Estadual da Cantareira",NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
