"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:37:18-03","E","E","413484","PreservedSpecimen","Plantae","Compositae","Baccharis","elliptica","Baccharis elliptica","unspecified kind of","Gardner, George","4908","1905","01","13","E. Tropical South America","BR","Minas Gerais","Minas Geraes","herbarium specimen of unspecif","BGBASE:447640","<a href=http://data.rbge.org.uk/herb/E00413484 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00413484",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","162238","PreservedSpecimen","Plantae","Asteraceae","Baccharis","elliptica","Baccharis elliptica","isotype","G. Gardner","4908","1838",NA,NA,"South America","Brazil",NA,"Brasilia","sheet",NA,"This label was written in NY. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=109755' target='other'> <mi>dwc_moreinfo</mi></a>","NY00162238","Magnoliophyta","Asterales","Gardner","NY00162238_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","162239","PreservedSpecimen","Plantae","Asteraceae","Baccharis","elliptica","Baccharis elliptica","isotype","G. Gardner","4908",NA,NA,NA,"South America","Brazil","Minas Gerais","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=109756' target='other'> <mi>dwc_moreinfo</mi></a>","NY00162239","Magnoliophyta","Asterales","Gardner","NY00162239_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00847092","PreservedSpecimen","Plantae","Asteraceae","Baccharis","elliptica","Baccharis elliptica",NA,"Y. E. J. Mexia","5772","1931","05","06","South America","Brazil","Minas Gerais","Diamantina. Near km. 997.5 of railroad.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936029' target='other'> <mi>dwc_moreinfo</mi></a>","NY00847092","Magnoliophyta","Asterales","Gardner","NY00847092_01","L. B. Smith","Diamantina","-43.6003","-18.2494","1260","1260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00847094","PreservedSpecimen","Plantae","Asteraceae","Baccharis","elliptica","Baccharis elliptica",NA,"B. Maguire","49141","1960","08","09","South America","Brazil","Minas Gerais","Just west of Serra, road from Concepcao to Diamantina.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936040' target='other'> <mi>dwc_moreinfo</mi></a>","NY00847094","Magnoliophyta","Asterales","Gardner","NY00847094_01","J. F. Pruski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","787729","PreservedSpecimen","Plantae","Asteraceae","Baccharis","elliptica","Baccharis elliptica",NA,"L. Riedel","1061","1824","12",NA,"South America","Brazil","Santa Catarina","Pr. Tejuco.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=149460' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787729","Magnoliophyta","Asterales","Gardner","NY00787729_01","G. Heiden","Tijucas","-48.6333","-27.2417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00847084","PreservedSpecimen","Plantae","Asteraceae","Baccharis","elliptica","Baccharis elliptica",NA,"T. B. Cavalcanti","CFCR8644","1985","11","23","South America","Brazil","Minas Gerais","Estrada para São João da Chapada, perto de Sopa.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932787' target='other'> <mi>dwc_moreinfo</mi></a>","NY00847084","Magnoliophyta","Asterales","Gardner","NY00847084_01",NA,"Diamantina","-43.6003","-18.2494","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","895325","PreservedSpecimen","Plantae","Asteraceae","Baccharis","elliptica","Baccharis elliptica",NA,"P. E. Gibbs","5234","1977","05","17","South America","Brazil","Minas Gerais","20 km S. de Diamantina. Serra na estrada para Conselheiro da Mata.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977047' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895325","Magnoliophyta","Asterales","Gardner","NY00895325_01","G. Heiden","Diamantina","-43.6003","-18.2494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00847095","PreservedSpecimen","Plantae","Asteraceae","Baccharis","elliptica","Baccharis elliptica",NA,"B. Maguire","44769","1959","12","23","South America","Brazil","Minas Gerais","3 miles from Diamantina on road to Curvelo.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936043' target='other'> <mi>dwc_moreinfo</mi></a>","NY00847095","Magnoliophyta","Asterales","Gardner","NY00847095_01","J. F. Pruski","Diamantina","-43.602731","-18.24119","1311","1311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","162240","PreservedSpecimen","Plantae","Asteraceae","Baccharis","elliptica","Baccharis elliptica","isotype","G. Gardner","X.4908","1840","07",NA,"South America","Brazil","Minas Gerais","In campsis [..] District. Adamant. Minas Geraes","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=109757' target='other'> <mi>dwc_moreinfo</mi></a>","NY00162240","Magnoliophyta","Asterales","Gardner","NY00162240_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00847099","PreservedSpecimen","Plantae","Asteraceae","Baccharis","elliptica","Baccharis elliptica",NA,"H. S. Irwin","22074","1969","01","16","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 25 km S.W. of Diamantina on road to Gouveia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936085' target='other'> <mi>dwc_moreinfo</mi></a>","NY00847099","Magnoliophyta","Asterales","Gardner","NY00847099_01","G. M. Barroso",NA,"-43.68055","-18.40925","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00847093","PreservedSpecimen","Plantae","Asteraceae","Baccharis","elliptica","Baccharis elliptica",NA,"G. G. Hatschbach","44666","1982","03","13","South America","Brazil","Minas Gerais","Banderinha, 3 km N.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936033' target='other'> <mi>dwc_moreinfo</mi></a>","NY00847093","Magnoliophyta","Asterales","Gardner","NY00847093_01","G. G. Hatschbach","Diamantina","-43.6003","-18.2494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00847098","PreservedSpecimen","Plantae","Asteraceae","Baccharis","elliptica","Baccharis elliptica",NA,"H. S. Irwin","22843","1969","01","29","South America","Brazil","Minas Gerais","Ca. 7km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936081' target='other'> <mi>dwc_moreinfo</mi></a>","NY00847098","Magnoliophyta","Asterales","Gardner","NY00847098_01","G. M. Barroso",NA,"-43.57","-18.2","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00847096","PreservedSpecimen","Plantae","Asteraceae","Baccharis","elliptica","Baccharis elliptica",NA,"W. R. Anderson","8439","1973","04","09","South America","Brazil","Minas Gerais","12 km by road W of Diamantina on road to Curvelo. Serra do Espinhaço.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936046' target='other'> <mi>dwc_moreinfo</mi></a>","NY00847096","Magnoliophyta","Asterales","Gardner","NY00847096_01","G. M. Barroso",NA,"-43.68024","-18.32666","1450","1450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:34:31-03","EAO","IAN","60300","PreservedSpecimen","Plantae","Asteraceae","Baccharis","elliptica","Baccharis elliptica",NA,"Gardner, A","4908",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,"IAN060300","Dicotiledônea",NA,"Gardner","IAN060300 IAN060300_e IAN060300_e1 IAN060300_e2 IAN060300_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-01-20 14:40:13-03","UPM","MACK","3353","PreservedSpecimen","Plantae","Asteraceae","Baccharis","elliptica","Baccharis elliptica",NA,"L. O. Andrade","38","2016","10","08",NA,"Brasil","SP","Parque Estadual do Juquery",NA,NA,NA,"HMACK00003353-L.O.Andrade38-8/10/2016,ParqueEstadualdoJuquery,FrancodaRocha,SP,Brasil",NA,NA,"Gardner",NA,NA,"Franco da Rocha","-46.7200012207031","-23.3199996948242",NA,NA,"12135","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
