"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","recordedBy","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount"
"1","2021-04-05 14:33:47-03","UNESC","CRI","5462","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pulchra","Myrcia pulchra","(O.Berg) Kiaersk.","1997","06","02","1996","05","08","Brasil","Santa Catarina","Imbituba","-48.668889","-28.2275","48º40'8''W","28º13'39''S","CRI005284","CRI005284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:40-03","UNESC","CRI","9026","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pulchra","Myrcia pulchra","(O.Berg) Kiaersk.","2009","07","17","2009","06","12","Brasil","Santa Catarina","Leoberto Leal","-49.316667","-27.5375","49º19'0''W","27º32'15''S","CRI005374","CRI005374","Marcos Sobral","S. Dreveck; F. E. Carneiro","991","Rio do Meio.","847","847","Floresta Ombrófila Mista Habitat: entorno da mata Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:40-03","UNESC","CRI","11397","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pulchra","Myrcia pulchra","(O.Berg) Kiaersk.","2012","01","16","2012","01","16","Brasil",NA,"Brasil","-49.524722","-29.039444","49º31'29''W","29º2'22''S","CRI005375","CRI005375","M. Verdi","M. Verdi; L.C. Mancino & P. Nitschke","6216","Florestal AS.","4","4","Floresta Ombrófila Densa de Terras Baixas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:40-03","UNESC","CRI","10550","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","pulchra","Myrcia pulchra","(O.Berg) Kiaersk.",NA,NA,NA,"2011","09","01","Brasil","Santa Catarina","Balneário Arroio do Silva","-49.413056","-28.984444","49º24'47''W","28º59'4''S","CRI005373","CRI005373","M. Verdi","M. Verdi; Luciana Mancini","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","615949","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","breviramis","Myrcia breviramis","(O.Berg) D.Legrand",NA,NA,NA,"1977","11","07","Brazil","Paraná","Balsa Nova","-49.67","-25.58",NA,NA,"NY00615949","NY00615949_01",NA,"L. R. Landrum","2451","Road from Balsa Nova to Curitiba","900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412541' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","615951","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","breviramis","Myrcia breviramis","(O.Berg) D.Legrand",NA,NA,NA,"1977","11","16","Brazil","Paraná",NA,"-49.83","-25.33",NA,NA,"NY00615951","NY00615951_01",NA,"L. R. Landrum","2557a","Limit between Mun. Ponta Grossa and Mun. Palmeira, gorge of the Rio Tibagi at point where BR 376 highway crosses","1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412542' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","615947","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","breviramis","Myrcia breviramis","(O.Berg) D.Legrand",NA,NA,NA,"1993","11","30","Brazil","Paraná","Jaguariaíva","-49.68","-24.23",NA,NA,"NY00615947","NY00615947_01","N. Silveira","A. C. Cervi","4199","Parque Estadual do Cerrado",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412538' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","615945","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","breviramis","Myrcia breviramis","(O.Berg) D.Legrand",NA,NA,NA,"1958","12","29","Brazil","Santa Catarina","Rio do Sul","-49.6431","-27.2144",NA,NA,"NY00615945","NY00615945_01","C. M. D. E. Legrand","R. Reitz","6050","Serra do Matador, Rio do Sul","800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412530' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","615943","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","breviramis","Myrcia breviramis","(O.Berg) D.Legrand",NA,NA,NA,"1958","01","10","Brazil","Santa Catarina","Campo Alegre","-49.2656","-26.1925",NA,NA,"NY00615943","NY00615943_01","C. M. D. E. Legrand","R. Reitz","6108","Morro do Iquererim","1300","1300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412531' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","615948","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","breviramis","Myrcia breviramis","(O.Berg) D.Legrand",NA,NA,NA,"1967","11","05","Brazil","Paraná","Palmeira","-50.0064","-25.4294",NA,NA,"NY00615948","NY00615948_01","C. M. D. E. Legrand","G. G. Hatschbach","17686","Fazenda Santa Amelia",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412536' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
