"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","preparationType","individualCount","barcode","imagecode"
"1","2020-06-15 15:29:40-03","UNESP-RC","HRCB","42737","PreservedSpecimen","Plantae","Bromeliaceae","Bromelia","braunii","Bromelia braunii","Leme & Esteves","Monteiro, R.F.","2015","09","15","Lombardi","6112","2015","11","01","Brasil","Goiás","Monte Alegre de Goiás","Margens da BR-010","-47.158944","-13.475278","47º09'32.2W","13º28'31S","420","420","Erva entre pedras, folhas verdes, flores lilases.",NA,NA,NA,NA
"2","2020-09-02 16:22:25-03","Cenargen","CEN","92464","PreservedSpecimen","Plantae","Bromeliaceae","Bromelia","braunii","Bromelia braunii","Leme & E.Esteves","R. F. Monteiro","2015","11",NA,"B. R. Silva","1235","2003","12","05","Brasil","GO","SAO DOMINGOS","Parque Estadual Terra Ronca. Estrada Guarani de Goiás - São Domingos (GO108), 35 km de Guarani de Goiás, em entrada de ca. de 1 km a oeste da estrada.","-46.36","-13.738055","-46.36","-13.738055","710","710","Grande afloramento de calcáreo com vegetação arbóreo arbustiva. Meia sombra, bainhas foliares alvas com indumento dourado no ápice, lâminas foliares verdes, as internas vermelhas, brácteas escapais vermelhas, brácteas florais brancas, cálice branco, corola rosada, pólen branco. Doação do Jardim Botânico do Rio de Janeiro - RB 396981.","Exsicatas","1","CEN00092464","CEN00092464"
"3","2020-12-02 09:06:56-03","UNITINS","HUTO","1343","PreservedSpecimen","Plantae","Bromeliaceae","Bromelia","braunii","Bromelia braunii","Leme & Esteves","Nogueira, M.","2018","03","07","Santos, E.R.","1183","2005","07","01","Brasil","Tocantins","Marianópolis do Tocantins",NA,"-49.349444","-10.265833","-49.349444","-10.265833",NA,NA,"Herbácea com cerca de 1 m de altura. Brácteas rósea; Cerrado stricto sensu",NA,NA,"HUTO001343","HUTO001343"
