"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:41:47-03","E","E","55478","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","aurata","Eugenia aurata","Ratter, J.A.; Bridgewater, S.; Filho, J. Fonsêca; Ribeiro, J.F. & Proença, C.","1997","11","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:62038","<a href=http://data.rbge.org.uk/herb/E00055478 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055478",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:47-03","E","E","206985","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","aurata","Eugenia aurata","Proença, C.","1997","11","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217751","<a href=http://data.rbge.org.uk/herb/E00206985 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00206985","1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:47-03","E","E","55548","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","aurata","Eugenia aurata","Ratter, J.A.; Ribeiro, J.F.; Bridgewater, S. & Fonsêca Filho, J.","1997","07","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:62384","<a href=http://data.rbge.org.uk/herb/E00055548 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055548",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:47-03","E","E","219537","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","aurata","Eugenia aurata","Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca","1999","04","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:229795","<a href=http://data.rbge.org.uk/herb/E00219537 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00219537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:47-03","E","E","9568","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","aurata","Eugenia aurata","Ratter, J.A.; Bridgewater, S.; Filho, J. Fonsêca; Garcia, Alicia Ibañez & Dos Santos, Gilmar B.","1996","11","10","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:47868","<a href=http://data.rbge.org.uk/herb/E00009568 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00009568",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:47-03","E","E","9557","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","aurata","Eugenia aurata","Ratter, J.A.; Filho, J. Fonsêca & de Lima Jacques, Elaine","1996","11","08","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:47867","<a href=http://data.rbge.org.uk/herb/E00009557 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00009557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:41:47-03","E","E","55760","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","aurata","Eugenia aurata","Ratter, J.A.; Bridgewater, S.; Filho, J. Fonsêca; Ribeiro, J.F. & Proença, C.","1997","11","14","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:63009","<a href=http://data.rbge.org.uk/herb/E00055760 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00907344","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","aurata","Eugenia aurata","S. G. da Fonsêca","1968","10","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907344","1054","Magnoliophyta","Myrtales","O.Berg","C. E. B. Proença","Goiás","A 9 km na estrada Caiapônia-Aragarças","NY00907344_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2423210","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","aurata","Eugenia aurata","P. T. Sano","1997","10","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685494' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423210","593","Magnoliophyta","Myrtales","O.Berg",NA,"Minas Gerais","Serra do Cipó. Caminho para o Capão dos Palmitos.","NY02423210_01","Santana do Riacho","-43.7142","-19.1692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00907182","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","aurata","Eugenia aurata","I. M. Válio","1960","03",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984646' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907182","56","Magnoliophyta","Myrtales","O.Berg","J. Mattos","Mato Grosso do Sul","Tres Lagoas","NY00907182_01","Três Lagoas","-51.6781","-20.7511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00907185","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","aurata","Eugenia aurata","G. M. Araújo","1987","10","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907185","320","Magnoliophyta","Myrtales","O.Berg","W. Mantovani","Minas Gerais","Reserva Ecológica do Panga, Uberlândia","NY00907185_01","Uberlândia","-48.2769","-18.9186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00907405","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","aurata","Eugenia aurata","H. S. Irwin","1964","10","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985553' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907405","6922","Magnoliophyta","Myrtales","O.Berg","C. M. D. E. Legrand","Mato Grosso","Ca. 45 km. N. of Barra do Garças, on rd. to Xavantina.","NY00907405_01",NA,"-52.22","-15.47","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
