"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","imagecode","identifiedBy","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:41:40-03","E","E","296111","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta","possible type","Saltzmann","1905","01","04","E. Tropical South America","BR","Bahia","Bahia, in collibus.","herbarium specimen of unspecif","BGBASE:308728","<a href=http://data.rbge.org.uk/herb/E00296111 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00296111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1801365","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"M. da Silva","2000","07","03","South America","Brazil","Bahia","Estrada Remanso - Casa Nova, estrada para Serra do Mantasaia em Culumim","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2020755' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801365","Magnoliophyta","Rosales","Schott","413","Remanso","-41.9128","-9.48567","435","NY01801365_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","609572","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"A. M. Amorim","1991","12","04","South America","Brazil","Bahia","Comandatuba, Ca 6 km na estrada de Comandatuba, para praia de Una","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445443' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609572","Magnoliophyta","Rosales","Schott","487","Una","-39.0753","-15.2933",NA,"NY00609572_01","J. P. P. Carauta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01093264","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"D. Fernandes","1998","08","20","South America","Brazil","Rio de Janeiro","Morro entre a praia do Forno e Ferradurinha.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1231271' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093264","Magnoliophyta","Rosales","Schott","57","Armaçao dos Búzios",NA,NA,NA,"NY01093264_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","609573","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"A. M. Amorim","1991","12","04","South America","Brazil","Bahia","Comandatuba, Ca 6 km na estrada de Comandatuba, para praia de Una","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445444' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609573","Magnoliophyta","Rosales","Schott","487","Una","-39.0753","-15.2933",NA,"NY00609573_01","C. C. Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","04073056","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"D. Piotto","2010","06","10","South America","Brazil","Bahia","Parque Est. Serra do Conduru","Sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671344' target='other'> <mi>dwc_moreinfo</mi></a>","NY04073056","Magnoliophyta","Rosales","Schott","2647","Uruçuca","-39.08","-14.42","120",NA,"D. Piotto","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","609580","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"S. A. Mori","1978","10","22","South America","Brazil","Bahia","Municipios de Sta. Cruz de Cabrália e Porto Seguro. Entre os Kms 45-56 da Rod. Eunápolis/Porto Seguro (BR-367). Folha SE-24 (16-39c). Próximo à Estaçao Ecológica","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445448' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609580","Magnoliophyta","Rosales","Schott","10942","Santa Cruz Cabrália","-39.0244","-16.2783",NA,"NY00609580_01","J. P. P. Carauta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","609571","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"A. M. Amorim","1996","09","26","South America","Brazil","Bahia","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Coletas efetuadas na estrada que leva a Fazenda Jaqueiral","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445445' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609571","Magnoliophyta","Rosales","Schott","2010","Una","-39.08","-15.15",NA,"NY00609571_01","C. C. Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","609579","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"B. D. Sucre","1969","05","10","South America","Brazil","Rio de Janeiro","Estado da Guanabara, Restinga de Jacarepaguá","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445446' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609579","Magnoliophyta","Rosales","Schott","5016",NA,"-43.397161","-23.010952",NA,"NY00609579_01","C. C. Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","886798","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"S. A. Mori","1978","04","27","South America","Brazil","Bahia","Fazenda Juramento, a 6 km ao S de Maracás, pela antiga rodovia para Jequié.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062954' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886798","Magnoliophyta","Rosales","Schott","10032","Maracás","-40.4306","-13.4411","1000","NY00886798_01","C. C. Berg","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","609577","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"B. D. Sucre","1972","02","24","South America","Brazil","Rio de Janeiro","Guanabara, Estrada Chinesa Alto da Boa Vista","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609577","Magnoliophyta","Rosales","Schott","8504",NA,"-43.257166","-22.971675","360","NY00609577_01","C. C. Berg","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","609575","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"A. P. Duarte","1961","10","06","South America","Brazil","Rio de Janeiro","Guanabara, Estrada de Lagoinha","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445452' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609575","Magnoliophyta","Rosales","Schott","9879",NA,NA,NA,NA,"NY00609575_01","C. C. Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1016717","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"M. M. M. Lopes","2006","07","02","South America","Brazil","Bahia","Estrada Eunápolis a Porto Seguro. RPPN Estação Veracruz. Mata de Mussununga. Proximadades do Bloco 6.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190159' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016717","Magnoliophyta","Rosales","Schott","941","Porto Seguro","-39.2022","-16.4192",NA,"NY01016717_01","C. C. Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-29 13:12:00-03","NY","NYBG","609570","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"J. R. Pirani","1993","01","26","South America","Brazil","Alagoas","Restinga da Praia do Francês","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609570","Magnoliophyta","Rosales",NA,"2672","Maceió","-35.87","-9.7",NA,"NY00609570_01","C. C. Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","609576","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"B. D. Sucre","1969","05","10","South America","Brazil","Rio de Janeiro","Restinga de Jacarepaguá","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445447' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609576","Magnoliophyta","Rosales","Schott","5016",NA,"-43.397161","-23.010952",NA,"NY00609576_01","C. C. Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
