"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy"
"1","2021-03-15 16:37:00-03","NY","NYBG","222688","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","bradei","Peperomia bradei","Yunck.","holotype","A. C. Brade","16469","1940","07","24","South America","Brazil","Serra dos Orgaos, Picada do Rancho Frio, sobre pedras","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=103697' target='other'> <mi>dwc_moreinfo</mi></a>","NY00222688","NY00222688_01",NA
"2","2010-04-15 17:18:00-03","MO","MOBOT","1788178","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","bradei","Peperomia bradei","Yunck.","Isotype","Alexander C. Brade","Brade 43408","1940","7","24","South America","Brazil","Fora da Serra dos Orgaos. [Cieado do Rancho Frio].","1400.00000000",NA,NA,NA,NA,NA,"Ricardo Callejas"
