"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","infraspecificEpithet","scientificNameAuthorship","typeStatus","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:43:43-03","E","E","103836","PreservedSpecimen","Plantae","Solanaceae","Solanum","lycocarpum","Solanum lycocarpum","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","07","27","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:112766","<a href=http://data.rbge.org.uk/herb/E00103836 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00103836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:43-03","E","E","202946","PreservedSpecimen","Plantae","Solanaceae","Solanum","lycocarpum","Solanum lycocarpum","De Carvalho, V.M.; Farias, R.; Milhomens Fonseca, L.C.; Potzernheim, M.L.; Proença, C.; Cardoso Rosa, L.O.G.; de Carvalho, A.M.; de Carvalho, J.A.","1998","09","09","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217743","<a href=http://data.rbge.org.uk/herb/E00202946 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202946","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:43-03","E","E","202794","PreservedSpecimen","Plantae","Solanaceae","Solanum","lycocarpum","Solanum lycocarpum","Farias, R.; De Carvalho, A.M.; De Carvalho, J.A.; De Carvalho, V.M.; Milhomens Fonseca, L.C.; Proença, C.; Potzernheim, M.L.; Rosa Cardosa, O.G.","1998","09","08","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217197","<a href=http://data.rbge.org.uk/herb/E00202794 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202794","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:43-03","E","E","315957","PreservedSpecimen","Plantae","Solanaceae","Solanum","lycocarpum","Solanum lycocarpum","Brooks, R.R.; Reeves, R.D.; Baker, A.J.M.; Rizzo, J.A.; Diaz Ferreira, H.","1988","04","07","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:321049","<a href=http://data.rbge.org.uk/herb/E00315957 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00315957","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:43-03","E","E","206996","PreservedSpecimen","Plantae","Solanaceae","Solanum","lycocarpum","Solanum lycocarpum","Farias, R.; De Carvalho, A.M.; De Carvalho, J.A.; De Carvalho, V.M.; Milhomens Fonseca, L.C.; Proença, C.; Potzernheim, M.L.; Rosa Cardosa, O.G.","1998","09","09","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217740","<a href=http://data.rbge.org.uk/herb/E00206996 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00206996","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:43-03","E","E","206994","PreservedSpecimen","Plantae","Solanaceae","Solanum","lycocarpum","Solanum lycocarpum","Ratter, J.A.; Bridgewater, S.; Filho, J. Fonsêca; Ribeiro, J.F. & Proença, C.","1997","11","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217742","<a href=http://data.rbge.org.uk/herb/E00206994 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00206994","1845",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:43:43-03","E","E","55477","PreservedSpecimen","Plantae","Solanaceae","Solanum","lycocarpum","Solanum lycocarpum","Bridgewater, S., Ratter, J.A. & Filho, J.F.","1997","08","03","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:61941","<a href=http://data.rbge.org.uk/herb/E00055477 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055477",NA,"Maranhao","10.7km N of Fortaleza dos Nogueiras on the road to Serra negra (MA 006)","-46.166667","-6.883333","-46.166667","-6.883333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:43:43-03","E","E","202795","PreservedSpecimen","Plantae","Solanaceae","Solanum","lycocarpum","Solanum lycocarpum","Farias, R.; De Carvalho, A.M.; De Carvalho, J.A.; De Carvalho, V.M.; Milhomens Fonseca, L.C.; Proença, C.; Potzernheim, M.L.; Rosa Cardosa, O.G.","1998","09","07","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217196","<a href=http://data.rbge.org.uk/herb/E00202795 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202795","115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:43:43-03","E","E","103835","PreservedSpecimen","Plantae","Solanaceae","Solanum","lycocarpum","Solanum lycocarpum","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","07","27","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:112767","<a href=http://data.rbge.org.uk/herb/E00103835 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00103835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:43:43-03","E","E","202924","PreservedSpecimen","Plantae","Solanaceae","Solanum","lycocarpum","Solanum lycocarpum","Simon, M.F.; Lima, J.C.M.; Eiten, G.; de Carvalho, A.M.","1999","02","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217554","<a href=http://data.rbge.org.uk/herb/E00202924 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202924","166","Maranhao","Municipio de Loreto, Estrada de Loreto para povoado Batatais","-45.065833","-7.0725","-45.065833","-7.072500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
