"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","typeStatus","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","371878","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","acuminata","laurifolia","Vochysia acuminata laurifolia","(Warm.) Stafleu","C. Angeli","190","1960","10","07","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Estr. da Vista Chinesa, km 3","-43.264624","-22.969328","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=189530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371878","NY00371878_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02361040","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","acuminata","laurifolia","Vochysia acuminata laurifolia","(Warm.) Stafleu","A. F. C. P. Saint-Hilaire","s.n.","1816",NA,NA,"South America","Brazil",NA,NA,"Brésil",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2572923' target='other'> <mi>dwc_moreinfo</mi></a>","NY02361040","NY02361040_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","371872","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","acuminata","laurifolia","Vochysia acuminata laurifolia","(Warm.) Stafleu","G. T. Prance","59410","1964","10","14","South America","Brazil","Mato Grosso","Barra do Garças","Road from Chavantina to Barra do Garcas; 55 km north of Barra do Garcas. Serra do Roncador","-52.2567","-15.8903","sheet","Exploration of New Brazilian Highways <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=189529' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371872","NY00371872_01","H. O. Sleumer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","371871","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","acuminata","laurifolia","Vochysia acuminata laurifolia","(Warm.) Stafleu","G. T. Prance","59410","1964","10","14","South America","Brazil","Mato Grosso","Barra do Garças","Road from Chavantina to Barra do Garcas; 55 km north of Barra do Garcas","-52.2567","-15.8903","sheet","Exploration of New Brazilian Highways <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=189528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371871","NY00371871_01","F. A. Stafleu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","371877","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","acuminata","laurifolia","Vochysia acuminata laurifolia","(Warm.) Stafleu","E. Pereira","4441","1958","10","30","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Meso do Imperador","-43.257779","-22.970378","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=189533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371877","NY00371877_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","371879","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","acuminata","laurifolia","Vochysia acuminata laurifolia","(Warm.) Stafleu","G. F. J. Pabst","5204","1959","11","29","South America","Brazil","Rio de Janeiro","Petrópolis","Caminho para Independência","-43.1783","-22.505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=189534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371879","NY00371879_01",NA,"800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","371873","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","acuminata","laurifolia","Vochysia acuminata laurifolia","(Warm.) Stafleu","H. F. Martins","214","1960","12","19","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Tijuca, Estr. Vista Chinesa, km 1","-43.277408","-22.971951","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=189535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371873","NY00371873_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","371875","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","acuminata","laurifolia","Vochysia acuminata laurifolia","(Warm.) Stafleu","J. S. Blanchet","3347","1841",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Igrega Velha. Brasil trop",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=189527' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371875","NY00371875_01","F. A. Stafleu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","424532","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","acuminata","laurifolia","Vochysia acuminata laurifolia","(Warm.) Stafleu","L. Riedel",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=189532' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424532","NY00424532_01","F. A. Stafleu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","03066068","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","acuminata","laurifolia","Vochysia acuminata laurifolia","(Warm.) Stafleu","H. C. de Lima","7841","2014","10","01","South America","Brazil","Rio de Janeiro","Nova Iguaçu","Rebio do Tingua, Estrada do Comércio, Km 10,5. 758 msm.","-43.451099395752","-22.7591991424561","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3287577' target='other'> <mi>dwc_moreinfo</mi></a>","NY03066068","NY03066068_01",NA,NA,NA,"25743","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
