"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","scientificNameAuthorship","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","class","relatedCatalogItem","sex"
"1","2016-09-30 10:04:00-03","NY","NYBG","1738421","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","cyclophylla","Ficus cyclophylla","P. da C. Gadelha Neto","3121","2011","11","17","South America","Brazil","Paraíba","Mataraca. Millennium Inorganic Chemicals Mineração Ltda.","-34.9769","-6.5022","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2007442' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738421","NY01738421_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 02:25:00-03","NY","NYBG","1182751","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","cyclophylla","Ficus cyclophylla","D. B. O. S. Cardoso","308","2005","02","09","South America","Brazil","Bahia","Parte da ARIE Srra do Orobó perencente a Itaberaba. Fazenda Leão dos Brejos.","-40.5164","-12.4169","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408924' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182751","NY01182751_01","Itaberaba","398","398",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:31:32-03","UFRJ","RFA","34975","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","C.M. Vieira; C.E.G. Jamel","1460","1999","08","31",NA,"Brasil","Rio de Janeiro","Proximidades da barra do rio Pirapetinga","-41.6796989440918","-21.1338996887207",NA,"Árvore com 8m alt. Látex alvo. Folhas verdes discolores, estípulas marrons. Fruto nigrescentes","RFA22504",NA,"Bom Jesus do Itabapoana",NA,NA,"(Miq.) Miq.","C.M. Vieira","30210","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:20:56-03","UFBA","ALCB","106943","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Gomes, FS; Guedes, ML","1215","2013","01","12","Southern America","Brasil","Bahia","Litoral Norte","-38.0125","-12.576667",NA,"de ca 10 m , látex leitoso. Folhas coriáceas, discolores. Inflorescência sincônio.","ALCB035189","ALCB035189","Mata de São João",NA,NA,"(Miq.) Miq.","Guedes, ML",NA,NA,"2013","01","-38.0125","-12.576667",NA,NA,NA,NA,NA
"5","2019-10-09 11:20:56-03","UFBA","ALCB","65626","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Silva, MIB; Guedes, ML; Loureiro, DM","s/n","2004","02","15","Southern America","Brasil","Bahia","Guarajuba. Condomínio Paraíso dos lagos","-38.316667","-12.683333",NA,"Árvore: 10m, látex alvo, estípulas foliáceas. Folhas coriáceas, discolores. Fruto imaturo verde.; Restinga","ALCB035188","ALCB035188","Camaçari",NA,NA,"(Miq.) Miq.","Machado, AFP",NA,NA,"2008","02","-38.316667","-12.683333","15",NA,NA,NA,NA
"6","2019-10-09 11:20:56-03","UFBA","ALCB","72728","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Guedes, ML; Alunos do PROLE","12162a","2006","06","10","Southern America","Brasil","Bahia","Guarajuba","-38.316667","-12.683333",NA,"Árvore: de ca 10m., latescente. Folhas coriáceas, discolores.; Restinga","ALCB035192","ALCB035192","Camaçari",NA,NA,"(Miq.) Miq.","Machado, AFP",NA,NA,"2006","06","-38.316667","-12.683333","10",NA,NA,NA,NA
"7","2019-10-09 11:20:56-03","UFBA","ALCB","80851","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Guedes, ML; Valadão, RM; Carvalho, G; Oliveira, MRA de","13598","2007","09","22","Southern America","Brasil","Bahia","Oeste, Faz. Capitão da Mata","-44.548611","-14.274444",NA,"de 15 m de altura, látex alvo. PAP 211 cm + 77 cm. Folhas cartáceas, discolores. Material estéril. T01P01. Ind. nº 24.",NA,NA,"Cocos",NA,NA,"Miq.","Machado, AFP",NA,NA,"2008","02","-44.548611","-14.274444",NA,NA,NA,NA,NA
"8","2019-10-09 11:20:56-03","UFBA","ALCB","88496","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Guedes, ML; Gomes, FS; et al.","15097","2009","05","24","Southern America","Brasil","Bahia","Litoral Sul, Fazenda Taipus de Fora","-38.930556","-13.943056",NA,"de ca 6 m de altura, látex leitoso. Folhas cartáceas, discolores, com longas estípulas.","ALCB035190","ALCB035190","Maraú","17","17","(Miq.) Miq.","Guedes, ML",NA,NA,"2009","06","-38.930556","-13.943056",NA,NA,NA,NA,NA
"9","2019-10-09 11:20:56-03","UFBA","ALCB","98985","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Guedes, ML; Queiroz, EP; Gomes, FS; Costa, AS; Natassia; et al.","18120","2011","03","14","Southern America","Brasil","Bahia","Região Metropolitana Salvador, Rua Bicuíba, Paralela. Parcela 05, ind. 391","-38.5","-12.966667",NA,"de ca 20 m de altura, látex leitoso. Folhas com estípulas grandes, lâmina cartáceas. Material estéril.","ALCB035187","ALCB035187","Salvador",NA,NA,"(Miq.) Miq.","Pelissari, G",NA,NA,"2014","10","-38.5","-12.966667","20",NA,NA,NA,NA
"10","2019-10-09 11:20:56-03","UFBA","ALCB","99047","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Queiroz, EP; Guedes, ML; Gomes, FS; Matos, NL; et al.","5163","2011","02","04","Southern America","Brasil","Bahia","Região Metropolitana Salvador, 19BC, parcela 11, ind. nº 580","-39.516667","-12.933333",NA,"de ca 25 m de altura, CAP 56,5.","ALCB035191","ALCB035191","Salvador",NA,NA,"(Miq.) Miq.","Guedes, ML",NA,NA,"2011","05","-39.516667","-12.933333",NA,NA,NA,NA,NA
"11","2019-10-09 11:20:56-03","UFBA","ALCB","025037","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Ficus","noronhae","Ficus noronhae","Félix, LP; Miranda, AM; Costa, B; Grillo, M","5679","1993","03","08","Southern America","Brasil",NA,"Ilha de Fernando de Noronha",NA,NA,NA,"Enorme. Sincônios verdes. Látex branco. Frequencia ótima.","ALCB035247","ALCB035247",NA,NA,NA,"Oliver","Pelissari, G",NA,NA,"2014","10",NA,NA,"20",NA,NA,NA,NA
"12","2019-10-09 11:20:56-03","UFBA","ALCB","025095","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Ficus","noronhae","Ficus noronhae","Miranda, AM; Félix, LP; Guedes, ML; Grilo, M","90","1993","06","02","Southern America","Brasil",NA,"Arquipélago de Fernando de Noronha. Morro do Francês","-32.439728","-3.836111",NA,"Ca. de 10m. Latescente. Látex branco. Folha subcoriácea. Frutos imaturos verdes, maduros castanhos.","ALCB035248","ALCB035248",NA,NA,NA,"Oliver","Pelissari, G",NA,NA,"2014","10","-32.439728","-3.836111","20",NA,NA,NA,NA
"13","2019-10-09 11:20:56-03","UFBA","ALCB","025104","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Ficus","noronhae","Ficus noronhae","Miranda, AM; Félix, LP; Guedes, ML; Grilo, M","885","1993","06","01","Southern America","Brasil",NA,"Arquipélago de Fernando de Noronha. Ilha da Rata","-32.425","-3.836111",NA,"Ca. de 10m. Latescente. Látex branco. Folhas subcoriáceas. Frutos imaturos verdes, maduros marrons acastanhado.","ALCB035249","ALCB035249",NA,NA,NA,"Oliver","Pelissari, G",NA,NA,"2014","10","-32.425","-3.836111","20",NA,NA,NA,NA
"14","2020-11-04 11:14:13-03","ESALQ","ESA","120122","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Pelissari, G.","156.0","2010","10","01",NA,"Brasil","Rio de Janeiro","Praça do aeroporto Santos Dumont.","-43.2075004577637","-22.9027996063232",NA,NA,"ESA120122",NA,"Rio de Janeiro",NA,NA,NA,"Pelissari, G.","57442","auto","2010","10",NA,NA,"31",NA,NA,NA,NA
"15","2020-11-04 10:56:11-03","ESALQ","ESA","141122","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Silva, T.D.; Assis, L.S.; Gardon, F.R.; Lozano-Baez, S.E.; Mazzeo, R.R.; Zanini, A.N.; Souza, V.C.; Rodrigues, R.R.; Colletta, G. D.; Koch, I.","52.0","2017","04","20",NA,"Brasil","Rio de Janeiro","Ilha do Governador; Base de Fuzileiros Navais; Trilha das Pelonas; Floresta Ombrófila Densa","-43.1834","-22.7827",NA,"Árvore; 2,5 metros de altura; látex","ESA141122",NA,"Rio de Janeiro",NA,NA,"(Miq.) Miq.","Coletta, G.D.",NA,NA,"2017","05","-43.1834","-22.7827","30",NA,NA,NA,NA
"16","2021-01-17 13:47:18-03","MN","R","215399","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Demuner, V. 3804; Cruz, T.; Vervloet, R.R. & Bausen, E.",NA,"2007","04","25",NA,"Brasil","Espírito Santo",NA,"-40.416389","-19.248889",NA,NA,NA,NA,"Santa Teresa","300","300","(Miq.) Miq.","Machado, A.F.P.",NA,NA,NA,NA,"40°24'59W","19°14'56S",NA,NA,NA,NA,NA
"17","2021-01-14 15:31:56-03","MN","R","199750","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Diaz, B.E.","1355","2001","07","28",NA,"Brasil","Paraíba",NA,"-34.868722","-6.899",NA,"Excursão a Lucena (Paraíba)",NA,NA,"Cabedelo","2","2","(Miq.) Miq.",NA,NA,NA,NA,NA,"034°52'07.4W","06°53'56.4S",NA,NA,NA,NA,NA
"18","2021-01-14 15:31:56-03","MN","R","199748","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Diaz, B.E.","1354","2001","07","28",NA,"Brasil","Paraíba",NA,"-34.862944","-6.915",NA,"Excursão a Lucena (Paraíba)",NA,NA,"Cabedelo","2","2","(Miq.) Miq.",NA,NA,NA,NA,NA,"034°51'46.6W","06°54'54.0S",NA,NA,NA,NA,NA
"19","2021-01-14 15:31:56-03","MN","R","136423","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Neves, L.J.",NA,"1978","04","30",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Miq.) Miq.","Carauta, J.P.P.",NA,NA,"1988","09",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-31 13:40:25-03","MN","R","216502","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Pelissari, G. 156; Pederneiras, L.C.; Souza, P.P.; Coelho, V.P.M. ; Gaglioti, A.L. & Santos, A.",NA,"2010","10","31",NA,"Brasil","Rio de Janeiro","Centro","-43.035","-22.911667",NA,NA,NA,NA,"Rio de Janeiro","8","8","(Miq.) Miq.","Pelissari, G. et al.",NA,NA,"2010","12","43°02'06W","22°54'42S","31",NA,NA,NA,NA
"21","2021-01-17 13:47:18-03","MN","R","215401","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Pederneiras, L.C. 449; Machado, A.F.P. 850 & Silva, N.G.",NA,"2008","05","07",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Miq.) Miq.","Pederneiras, L.C. & Machado, A.F.P.",NA,NA,"2008","05",NA,NA,"07",NA,NA,NA,NA
"22","2021-02-08 19:35:00-03","MN","R","39333","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Schwacke, C.A.W.","s.n.","1887","08",NA,NA,"Brasil",NA,"São Domingos",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Miq.) Miq.","Carauta, J.P.P.",NA,NA,"1988","09",NA,NA,NA,NA,NA,NA,NA
"23","2021-01-14 15:31:56-03","MN","R","197043","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Mello Filho, L.E.","6124","1996","11","05",NA,"Brasil","Bahia",NA,"-38.510799407959","-12.9710998535156",NA,NA,NA,NA,"Salvador",NA,NA,"(Miq.) Miq.",NA,"26018","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-01-17 13:47:18-03","MN","R","215402","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Pederneiras, L.C. 522; Lacerda, R.O.",NA,"2008","10","30",NA,"Brasil","Rio de Janeiro",NA,"-42.0186004638672","-22.8794002532959",NA,NA,NA,NA,"Cabo Frio",NA,NA,"(Miq.) Miq.","Pederneiras, L.C. & Lacerda, R.W.","40069","auto","2008","10",NA,NA,"30",NA,NA,NA,NA
"25","2021-01-14 15:31:56-03","MN","R","151816","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Laclette, P.P.H.","473 B",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,"-42.6096992492676","-22.7085990905762",NA,NA,"R010025463","R010025463","Rio Bonito",NA,NA,"(Miq.) Miq.","Neves, L.J.","20195","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-01-14 15:31:56-03","MN","R","215404","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Braga, H.N.","1649","2001","01","06",NA,"Brasil","Rio de Janeiro",NA,"-41.9449996948242","-22.5268993377686",NA,NA,NA,NA,"Rio das Ostras",NA,NA,"(Miq.) Miq.","Carauta, J.P.P.","17620","auto","2002",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-01-17 13:47:18-03","MN","R","136287","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Mello Filho, L.E. 4340; Neves, L.J.",NA,"1978","05","01",NA,"Brasil","Rio de Janeiro",NA,"-41.9449996948242","-22.5268993377686",NA,NA,NA,NA,"Rio das Ostras",NA,NA,"(Miq.) Miq.","Carauta, J.P.P.","17620","auto","1988","09",NA,NA,NA,NA,NA,NA,NA
"28","2021-01-14 15:31:56-03","MN","R","215400","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Pederneiras, L.C.","414","2008","04","11",NA,"Brasil","Rio de Janeiro",NA,"-42.5102996826172","-22.9200000762939",NA,NA,NA,NA,"Saquarema",NA,NA,"(Miq.) Miq.","Pederneiras, L.C.","17036","auto","2008","04",NA,NA,"11",NA,NA,NA,NA
"29","2021-01-14 15:31:56-03","MN","R","169033","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Souza, A.","2534","1988","11","17",NA,"Brasil","Rio de Janeiro","Barra de Maricá","-42.8185997009277","-22.9193992614746",NA,NA,NA,NA,"Maricá",NA,NA,"(Miq.) Miq.","Pederneiras, L.C.","20726","auto","2007","12",NA,NA,"04",NA,NA,NA,NA
"30","2021-01-14 15:31:56-03","MN","R","169034","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Alves, M.","163","1988","09","26",NA,"Brasil","Rio de Janeiro","Itaipuaçú","-42.8185997009277","-22.9193992614746",NA,NA,NA,NA,"Maricá",NA,NA,"(Miq.) Miq.","Pederneiras, L.C.","20726","auto","2007","12",NA,NA,"04",NA,NA,NA,NA
"31","2021-01-14 15:31:56-03","MN","R","136414","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Neves, L.J.",NA,"1978","01","03",NA,"Brasil","Rio de Janeiro","Jardim Botânico","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Rio de Janeiro",NA,NA,"(Miq.) Miq.","Carauta, J.P.P.","57442","auto","1988","09",NA,NA,NA,NA,NA,NA,NA
"32","2021-01-14 15:31:56-03","MN","R","112872","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Moreira, L.X.",NA,"1953","05","24",NA,"Brasil","Rio de Janeiro","Recreio dos Bandeirantes","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Rio de Janeiro",NA,NA,"(Miq.) Miq.","Carauta, J.P.P.","57442","auto","1988","09",NA,NA,NA,NA,NA,NA,NA
"33","2021-01-17 13:47:18-03","MN","R","215403","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Pederneiras, L.C. 403; Faria, M.S. & Sargento Mendes",NA,"2008","04","02",NA,"Brasil","Rio de Janeiro","Tamoios","-42.0186004638672","-22.8794002532959",NA,NA,NA,NA,"Cabo Frio",NA,NA,"(Miq.) Miq.","Pederneiras, L.C.","40069","auto","2008","04",NA,NA,"02",NA,NA,NA,NA
"34","2021-02-11 17:10:24-03","MN","R","234598","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","noronhae","Ficus noronhae","Miranda, A.M.","901","1993","06","02",NA,"Brasil","Pernambuco","Morro do Francês","-32.4108009338379","-3.84028005599976",NA,NA,"R010037512",NA,"Fernando de Noronha",NA,NA,"Oliver",NA,"8269","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-02-11 17:10:24-03","MN","R","234597","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","noronhae","Ficus noronhae","Miranda, A.M.","4098","2003","06","17",NA,"Brasil","Pernambuco","Praia do Bode","-32.4108009338379","-3.84028005599976",NA,NA,"R010037511",NA,"Fernando de Noronha",NA,NA,"Oliver",NA,"8269","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2015-07-02 14:03:04-03","JBP","HPL","5226","S","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","H. Lorenzi","2785","2001","07","26",NA,"Brasil","PB","Coletada na restinga, nas proximidades da cidade.","-34.8631","-7.115",NA,NA,NA,NA,"João Pessoa",NA,NA,"Miq.","H. Lorenzi","15975","auto","2001","07",NA,NA,"26",NA,NA,NA,NA
"37","2019-02-15 11:46:04-02","IPA","IPA","88736","S","Plantae","Plantae",NA,"Moraceae","Ficus","noronhae","Ficus noronhae","Miranda, A.M.","4098","2003","06","17","Southern America","Brasil","Pernambuco","Praia do Bode","-32.4108009338379","-3.84028005599976",NA,"Árvore ca. 40m de altura; tronco acinzentado; folhas coriáceas; brácteas amarronzadas; sicônio marrom-esverdeado; látex leitoso, abundante.","IPA0088736",NA,"Fernando de Noronha",NA,NA,"Oliv.","Miranda, A.M.","8269","auto","2003","06",NA,NA,"17",NA,NA,NA,NA
"38","2020-12-20 21:18:31-03","UFV","VIC","34963","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","cyclophylla","Ficus cyclophylla","Souza, P.P. de","284","2011","11","29",NA,"Brasil","Minas Gerais","Rua Santana","-42.8819007873535","-20.7539005279541",NA,"Àrvore com aprximadamente, 6m de altura, seiva lactescente branca. Sicônios recobertos por máculas vermelhs, em plena frutificação, sendo consumidos por morcegos. sementes de cor amarela, envolvidas por uma mucilagem translúcidas, tron","VIC034963","VIC034963","Viçosa",NA,NA,"(Miq.) Miq.",NA,"13937","auto","2011","11",NA,NA,"29",NA,NA,NA,NA
