"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","individualCount","typeStatus"
"1","2015-07-02 14:00:12-03","JBP","HPL","12898","S","Plantae","Amaryllidaceae","Griffinia","nocturna","Griffinia nocturna","Rav.","Julie Dutilh","2012","07","27","H. Lorenzi","7131","2011","11","16","Brasil","SP","Nova Odessa","Coletado em cultivo no Jardim Botânico Plantarum; originário de Barra do Garças - MT.","-47.29","-22.77","8440","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:18:54-03","UNICAMP","UEC","136551","S","Plantae","Amaryllidaceae","Griffinia","nocturna","Griffinia nocturna","Ravenna","Campos-Rocha, A","2014","03",NA,"Vieira, RF; Canacado, GFF; Silva, GS","1519","1993","11","22","Brazil","Maranhão","Colinas","Entrada a ca. de 14.6 km de Colinas a 32 km a esquerda da rodovia Colinas/São Domingos a 5 Km a esquerda. &nf;A 1 km do Jaborandi (Vieira, et al 1518). Com bulbo branco.","-44.633333","-5.9",NA,NA,"Liliopsida","-44.633333","-5.9","320","320","Erva 30cm. Ornamental. Flor branca.; Área de mata desmatada recentemente. Solo arenoso de mata. relevo suave inclinado.","UEC090376","UEC090376",NA,NA,NA,NA
"3","2021-03-01 16:18:54-03","UNICAMP","UEC","136549","S","Plantae","Amaryllidaceae","Griffinia","nocturna","Griffinia nocturna","Ravenna","Campos-Rocha, A","2014","03",NA,"Cavalcanti, TB; Walter, BMT; Silva, GP; Garboggini, H; Pinheiro, S","923","1991","10","10","Brazil","Goiás","Campinaçu","Estrada Antiga Serra da Mesa - Minaçu, A 5km do asfalto.","-48.55","-13.733333",NA,NA,"Liliopsida","-48.55","-13.733333","600","600","Herbáceo. Flor branca. Frequente.; Área de influência direta. Mata. Substrato arenoso. Relevo ondulado. No campo (pastagem).","UEC090153","UEC090153",NA,NA,NA,NA
"4","2021-03-01 16:18:54-03","UNICAMP","UEC","163395","S","Plantae","Amaryllidaceae","Griffinia","nocturna","Griffinia nocturna","Ravenna","Campos-Rocha, A","2014","03",NA,"Silva, GP; Guarino, ESG; Pereira, JB; Jesus, JA; Pastore, JFB","5718","2001","10","20","Brazil","Goiás","Colinas do Sul","Estrada da fazenda Vale das Araras.","-48.128611","-13.741111",NA,NA,"Liliopsida","-48.128611","-13.741111","320","320","Flor branca, erva, ocasional no local.; Mata de galeria perturbada, com alta presença e babaçú. Relevo ondulado, solo areno-argiloso.&nf;Área de influência da futura Hidrelétrica de Cana Brava. Influência indireta.","UEC068696","UEC068696",NA,NA,NA,NA
"5","2021-03-01 16:18:54-03","UNICAMP","UEC","163427","S","Plantae","Amaryllidaceae","Griffinia","nocturna","Griffinia nocturna","Ravenna","Campos-Rocha, A","2014","03",NA,"Silva, GP; Guarino, ESG; Pereira, JB; Jesus, JA","5415","2001","09","20","Brazil","Goiás","Cavalcante","Barra do rio Santo Antônio, próximo à futura balsa.","-48.049167","-13.526389",NA,NA,"Liliopsida","-48.049167","-13.526389","320","320","Flor branca, erva ereta, ocasional no local.; Área de influência da futurua Hidroelétrica de Cana Brava, influência direta (lago).","UEC028878","UEC028878",NA,NA,NA,NA
"6","2021-03-01 16:18:54-03","UNICAMP","UEC","185765","S","Plantae","Amaryllidaceae","Griffinia","nocturna","Griffinia nocturna","Ravenna","Campos-Rocha, A","2014","11","08","Campos-Rocha, A","1573","2014","11","08","Brazil","Mato Grosso","Barra do Garças","em cultivo no Jardim Botânico Plantarum","-52.2566986083984","-15.8900003433228","123012","auto","Liliopsida",NA,NA,NA,NA,"herbácea bulbosa, ca. 20-30 cm de altura, flores alvas, odoríferas (antese noturna)","UEC109157","UEC109157",NA,NA,NA,NA
"7","2019-08-20 09:58:56-03","UNICAMP","UEC","171100","S","Plantae","Amaryllidaceae","Griffinia","nocturna","Griffinia nocturna","Ravenna",NA,NA,NA,NA,"Dutilh, JHA","s.n.","2011","01","18","Brazil","São Paulo","Campinas","Cultivada no IAC, procedência Cuiabá.","-47.060001373291","-22.8999996185303","23900","auto","Liliopsida",NA,NA,NA,NA,NA,"UEC045177","UEC045177",NA,NA,NA,NA
"8","2020-09-04 11:58:30-03","UNICAMP","UEC","171101","S","Plantae","Amaryllidaceae","Griffinia","nocturna","Griffinia nocturna","Ravenna","Campos-Rocha, A","2020","07",NA,"Dutilh, JHA","s.n.","1999","11","18","Brazil","São Paulo","Campinas","Cultivada no IAC, sem procedência","-47.060001373291","-22.8999996185303","23900","auto","Liliopsida",NA,NA,NA,NA,NA,"UEC045180","UEC045180",NA,NA,NA,NA
"9","2019-11-19 14:04:22-03","UFRPE","PEUFR","17980","PreservedSpecimen","Plantae","Amaryllidaceae","Griffinia","nocturna","Griffinia nocturna","Ravenna","A. Campos-Rocha","2018","10","06","D.P. Lima","13487","1976","10","19","Brasil","Maranhão","Tuntum","A 255 Km de Tuntum","-44.6488990783691","-5.25805997848511","96518","auto",NA,NA,NA,NA,NA,"Erva; flores pouco perfumadas","PEUFR017980",NA,NA,NA,NA,NA
"10","2019-05-06 10:56:03-03","UNEMAT","HERBAM","12537","S","Plantae","Amaryllidaceae","Griffinia","nocturna","Griffinia nocturna","Ravenna","Koch, AK","2017",NA,NA,"Sardelli, L.F.; Oliveira, V.F.; Thomé, R.S. & Silva, J.A.","920EquipeCopel9","2014","10","06","Brasil","Mato Grosso","Colíder","Resgate de FLORA da UHE Colíder. Lote B de supress","-55.4508018493652","-10.8177995681763","78569","auto",NA,NA,NA,NA,NA,NA,"HERBAM012537",NA,NA,NA,NA,NA
