"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","class","order","typeStatus","continentOcean","imagecode","infraspecificEpithet","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","phylum","relatedCatalogItem"
"1","2021-01-06 11:42:00-03","UFPI-MRV","HDELTA","3365","PreservedSpecimen","Plantae","Cactaceae","Melocactus","azureus","Melocactus azureus","Buining & Brederoo","Carvalho, Y.S.","2015","08","03","Carvalho, Y.S.","121","2015","08","03","Brasil","Piauí","Caxingó","Angico Branco","-41.896111","-3.4175","41º53'46,00W","03º25'03,00S","<ll>dwc_commonname:</ll> Cabeça de frade","HDELTA003365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:54:48-03","NBC","NL-BOTANY","U 0110898","PreservedSpecimen","Plantae","Cactaceae","Melocactus","azureus","Melocactus azureus","Buining & Brederoo","Taylor NP","1989","04","01","Horst L",NA,NA,NA,NA,"Brazil","Bahia",NA,"Brazil, Bahia.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200110898 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0110898","Magnoliopsidae","Caryophyllales","holotype","Southern America","NL-U0110898",NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:54:48-03","NBC","NL-BOTANY","U 0103862","PreservedSpecimen","Plantae","Cactaceae","Melocactus","azureus","Melocactus azureus ferreophilus","(Buining & Brederoo) N.P.Taylor","Taylor NP","1991","10","01","Horst L",NA,NA,NA,NA,"Brazil","Bahia",NA,"Brazil; Bahia.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200103862 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0103862","Magnoliopsidae","Caryophyllales","holotype","Southern America","NL-U0103862","ferreophilus",NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:26:43-03","MN","R","201117","PreservedSpecimen","Plantae","Cactaceae","Melocactus","azureus","Melocactus azureus subsp.azureus","Buining & Brederoo",NA,NA,NA,NA,"Queiroz, L.P.; Nascimento, N.S.","3996","1994","06","18","Brasil","Bahia","Irece",NA,"-41.8558006286621","-11.3042001724243",NA,NA,NA,"R010023505",NA,NA,NA,NA,NA,"subsp.azureus","19644","auto",NA,NA,NA,NA
"5","2019-11-13 11:17:20-03","USP","SPF","81023","PreservedSpecimen","Plantae","Cactaceae","Melocactus","azureus","Melocactus azureus","Buining & Brederoo","Zappi, DC",NA,NA,NA,"Zappi, DC","139","1989","07","17","Brasil","Bahia",NA,"Estrada para Juçara, a 25.5 Km do entrocamento com a rod. BA 52.",NA,NA,NA,NA,NA,"SPF00081023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-13 11:17:20-03","USP","SPF","81030","PreservedSpecimen","Plantae","Cactaceae","Melocactus","azureus","Melocactus azureus","Buining & Brederoo","Zappi, DC",NA,NA,NA,"Zappi, DC","138","1989","07","17","Brasil","Bahia",NA,"Rod. 52 a 2.5 Km L de América Dourada, 0.5 Km L do Rio jacaré.",NA,NA,NA,NA,NA,"SPF00081030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-13 11:17:20-03","USP","SPF","81037","PreservedSpecimen","Plantae","Cactaceae","Melocactus","azureus","Melocactus azureus","Buining & Brederoo","Zappi, DC; Taylor, NP","1989",NA,NA,"Harley, RM","27396","1988","12","25","Brasil","Bahia","Irecê",NA,"-41.75","-11.366667","-41.75","-11.366667",NA,"SPF00081037",NA,NA,NA,NA,NA,NA,NA,NA,"720","720",NA,NA
"8","2019-10-07 09:18:39-03","UEFS","HUEFS","151762","PreservedSpecimen","Plantae","Cactaceae","Melocactus","azureus","Melocactus azureus","Buining & Brederoo","M.Machado","2009","10",NA,"Machado, R.F.","291","2009","11","17","Brasil","Bahia","São Gabriel","Alto de Bruno","-41.9118995666504","-11.2292003631592",NA,NA,NA,"HUEFS0151762","Caryophyllanae","Caryophyllales",NA,NA,"HUEFS0151762 HUEFS0151762_01",NA,"57869","auto",NA,NA,"Angiospermae",NA
"9","2019-10-07 09:18:39-03","UEFS","HUEFS","168196","PreservedSpecimen","Plantae","Cactaceae","Melocactus","azureus","Melocactus azureus","Buining & Brederoo",NA,NA,NA,NA,"Machado, M.","812","2006","10","06","Brasil","Bahia","São Gabriel","Ca. 12km na estrada de Gameleira para Curralinho.","-41.64","-10.946389","41W38'24''","10S56'47''","Caatinga.","HUEFS0168196","Caryophyllanae","Caryophyllales",NA,NA,"HUEFS0168196 HUEFS0168196_01",NA,NA,NA,"645","645","Angiospermae",NA
"10","2019-10-07 09:18:39-03","UEFS","HUEFS","168198","PreservedSpecimen","Plantae","Cactaceae","Melocactus","azureus","Melocactus azureus","Buining & Brederoo",NA,NA,NA,NA,"Machado, M.","814","2006","10","06","Brasil","Bahia","Jussara","Afloramentos de calcáreo na entrada da cidade.","-41.980833","-11.049722","41W58'51''","11S2'59''","Caatinga.","HUEFS0168198","Caryophyllanae","Caryophyllales",NA,NA,"HUEFS0168198 HUEFS0168198_01 HUEFS0168198_02",NA,NA,NA,"621","621","Angiospermae",NA
