"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","county","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","eventTime","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:33-03","E","E","274296","PreservedSpecimen","Plantae","Melastomataceae","Miconia","prasina","Miconia prasina","Pott, A.; De Barros, A.T.M.; Tomas, W.","5312","1989","11","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:284938","<a href=http://data.rbge.org.uk/herb/E00274296 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00274296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01097880","PreservedSpecimen","Plantae","Melastomataceae","Miconia","prasina","Miconia prasina","E. de Oliveira","3719","1967","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1273192' target='other'> <mi>dwc_moreinfo</mi></a>","NY01097880","Magnoliophyta","Myrtales","(Sw.) DC.","Amapá","Cachoeira do S. Antônio do Jarí, na ilha","-52.506442","-0.644275","NY01097880_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","521999","PreservedSpecimen","Plantae","Melastomataceae","Miconia","prasina","Miconia prasina","A. L. Weitzman","301","1987","09","12","South America","French Guiana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223615' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521999","Magnoliophyta","Myrtales","(Sw.) DC.",NA,"Along main road through Montagnes de Kaw","-52.25","4.58",NA,"J. J. Wurdack","140","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02103870","PreservedSpecimen","Plantae","Melastomataceae","Miconia","prasina","Miconia prasina","F. A. Michelangeli","2035","2013","08","12","South America","Suriname","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2177674' target='other'> <mi>dwc_moreinfo</mi></a>","NY02103870","Magnoliophyta","Myrtales","(Sw.) DC.","Sipaliwini","Around Rudi Kappel airstrip","-56.14961","3.79144","NY02103870_01","F. A. Michelangeli","315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1653845","PreservedSpecimen","Plantae","Melastomataceae","Miconia","prasina","Miconia prasina","L. E. Skog","7068","1986","10","26","South America","French Guiana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1935354' target='other'> <mi>dwc_moreinfo</mi></a>","NY01653845","Magnoliophyta","Myrtales","(Sw.) DC.",NA,"Montagne de Kaw. Summit plateau, near Camp Caiman","-52.15","4.55",NA,"J. J. Wurdack","50","260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","191575","PreservedSpecimen","Plantae","Melastomataceae","Miconia","prasina","Miconia prasina","P. Kunkumas","205","1985","09","10","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223614' target='other'> <mi>dwc_moreinfo</mi></a>","NY00191575","Magnoliophyta","Myrtales","(Sw.) DC.","Morona-Santiago","Los alrededores del Centro Tuutin Entsa; cerca Taisha.",NA,NA,NA,"J. J. Wurdack","330","330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-02-01 14:18:00-02","NY","NYBG","1653288","PreservedSpecimen","Plantae","Melastomataceae","Miconia","prasina","Miconia prasina","C. V. Martin","404","2004","11","04","South America","French Guiana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1434521' target='other'> <mi>dwc_moreinfo</mi></a>","NY01653288","Magnoliophyta","Myrtales",NA,NA,"Piste de Saint Elie","-53.08744","5.40492","NY01653288_01","C. V. Martin","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1653825","PreservedSpecimen","Plantae","Melastomataceae","Miconia","prasina","Miconia prasina","R. L. Liesner","21824","1987","03","10","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1932804' target='other'> <mi>dwc_moreinfo</mi></a>","NY01653825","Magnoliophyta","Myrtales","(Sw.) DC.","Amazonas","5 to 8 km NW of settlement of Yutaje. On S slope below plateau. Stream flowing S from E side of unnamed peak, 3 km W of Río Coro-Coro, W of Serranía de Yutaje.","-66.15","5.67",NA,"J. J. Wurdack","700","1000","Atures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3677721","PreservedSpecimen","Plantae","Melastomataceae","Miconia","prasina","Miconia prasina","M. Aguilar R.","1005",NA,NA,NA,"South America","Peru","Sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3913612' target='other'> <mi>dwc_moreinfo</mi></a>","NY03677721","Magnoliophyta","Myrtales","(Sw.) DC.","Madre de Dios","Santuario Nacional Pampas del Heath Rio Heath Pto. San Antonio. Bosque de galeria formación de pampas.",NA,NA,"NY03677721_01","F. A. Michelangeli",NA,NA,"Tambopata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1487891","PreservedSpecimen","Plantae","Melastomataceae","Miconia","prasina","Miconia prasina","D. Cárdenas-López","21169","2007","09","26","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2351997' target='other'> <mi>dwc_moreinfo</mi></a>","NY01487891","Magnoliophyta","Myrtales","(Sw.) DC.","Vaupés","comunidad Wacurabá, margen derecha del caño Cuduyarí, sabana de Yapobo.","-70.8925","1.350277778","NY01487891_01","Z. Cordero P.","400",NA,"Papunaua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","522048","PreservedSpecimen","Plantae","Melastomataceae","Miconia","prasina","Miconia prasina","A. M. V. de Carvalho","3628","1991","09","07","South America","Brazil","sheet",NA,"Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223619' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522048","Magnoliophyta","Myrtales","(Sw.) DC.","Bahia","Serra Grande; 7.3 km na estrada Serra Grande/Itacaré, Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231","NY00522048_01","J. J. Wurdack",NA,NA,"Uruçuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","521996","PreservedSpecimen","Plantae","Melastomataceae","Miconia","prasina","Miconia prasina","J. L. Luteyn","9360","1984","01","22","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521996","Magnoliophyta","Myrtales","(Sw.) DC.","Lara","Ca. 4.4 km W of Humocaro","-70.02","9.6",NA,"J. J. Wurdack","1400","1500","Morán",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
