"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","barcode","imagecode","phylum","class","order","coordinatePrecision","occurrenceRemarks","geoFlag","minimumElevationInMeters","maximumElevationInMeters","continentOcean","individualCount","typeStatus"
"1","2019-12-19 08:08:01-03","FPS","FPS","3764","MachineObservation","Plantae","Bromeliaceae","Dyckia","monticola","Dyckia monticola","L.B.Sm. & Reitz","Schwirkowski, P.","2018","11","25","Schwirkowski, P.","3191","2018","11","25","Brasil","Santa Catarina","Campo Alegre","Cascata Paraíso","-49.25824","-26.200542","-49.25824","-26.200542","voucher","FURB 63620","FPS03764,FURB63620","FPS03764_v01 FPS03764_v02 FPS03764_v03 FPS03764_v04 FPS03764_v05 FPS03764_v06 FPS03764_v07 FPS03764_v08 FPS03764_v09 FPS03764_v10 FPS03764_v11 FURB63620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:25:16-03","IAP","PACA-AGP","51867","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","monticola","Dyckia monticola","L. B. Sm. & Reitz","Büneker, H.M.","2018","06","08","Rambo, B.",NA,"1952","01","15","Brasil","RS","Bom Jesus","Passo da Guarda","-50.4166984558105","-28.6678009033203",NA,NA,NA,NA,"PACA051867",NA,"Magnoliophyta","Liliatae","Bromeliales","55856","EM PERIGO Habitat: in rupestribus Fenofase: fruto","auto",NA,NA,NA,NA,NA
"3","2019-08-20 09:59:13-03","UNICAMP","UEC","77449","S","Plantae","Bromeliaceae","Dyckia","monticola","Dyckia monticola","Smith & Reitz","Santos-Silva, F","2016","02","24","Stehmann, JR; Borba, EL; Reis, C; Ippolito, A","1898","1995","12","11","Brazil","Santa Catarina","Lages","Estrada para São Joaquim, próximo à pont","-50.194444","-27.865556","-50.194444","-27.865556",NA,NA,"UEC075928","UEC075928","Liliopsida",NA,NA,NA,"flor, Escapo vermelho escuro, cálice vermelho e corola alaranjada",NA,"1030","1030",NA,NA,NA
"4","2020-10-14 10:00:04-03","FURB","FURB","50403","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","monticola","Dyckia monticola","L.B.Sm. & Reitz","Büneker, H.M.","2017","06","25","Funez, L.A.; Trevisan, R.; Venturi, S. & Ferreira, J.P.R.","3850","2014","11","04","Brasil","Santa Catarina","Garuva","Alto Quiriri.","-48.9544444","-26.0391666","-48.9544444","-26.0391666",NA,NA,"FURB50403","FURB50403",NA,NA,NA,NA,NA,NA,"1200","1200",NA,NA,NA
"5","2020-10-14 10:00:04-03","FURB","FURB","50405","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","monticola","Dyckia monticola","L.B.Sm. & Reitz","Büneker, H.M.","2017","06","25","Funez, L.A.; Trevisan, R.; Venturi, S. & Ferreira, J.P.R.","3901","2014","11","04","Brasil","Santa Catarina","Garuva","Alto Quiriri.","-48.9544444","-26.0391666","-48.9544444","-26.0391666",NA,NA,"FURB50405","FURB50405",NA,NA,NA,NA,NA,NA,"1200","1200",NA,NA,NA
"6","2020-10-14 10:00:04-03","FURB","FURB","63620","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","monticola","Dyckia monticola","L.B.Sm. & Reitz","Schwirkowski, P.","2018","11","25","Schwirkowski, P.","3191","2018","11","25","Brasil","Santa Catarina","Campo Alegre","Centro. Cascata paraíso.","-49.2583333","-26.2005556","-49.2583333","-26.2005556",NA,NA,"FURB63620","FURB63620",NA,NA,NA,NA,"Campo de altitude. Cálice e corola vermelhos Habitat: Afloramento rochoso Habito: Herbácea",NA,"950","950",NA,NA,NA
"7","2018-06-22 05:25:00-03","MO","MOBOT","2453063","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","monticola","Dyckia monticola","L.B. Sm. & Reitz",NA,NA,NA,NA,"Pe. Raulino Reitz|Roberto M. Klein","Reitz 4789","1957","9","5","Brazil","Santa Catarina",NA,"Campo Alegre. Moor do Iquererim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA
"8","2020-09-12 05:00:02-03","US","US","2025799","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","monticola","Dyckia monticola","L.B. Sm. & Reitz",NA,NA,NA,NA,"R. Reitz","3938","1951","3","15","Brazil","Santa Catarina","Campo Alegre",NA,"-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,"US01935413","US01935413_01",NA,"Monocotyledonae","Bromeliales","37493",NA,"auto","900",NA,"South America - Neotropics","1",NA
"9","2020-09-12 05:00:02-03","US","US","2946929","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","monticola","Dyckia monticola","L.B. Sm. & Reitz",NA,NA,NA,NA,"R. Reitz & D. Klein","5293","1957","10","18","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim","-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,"US01768520",NA,NA,"Monocotyledonae","Bromeliales","37493",NA,"auto","1200",NA,"South America - Neotropics","1",NA
"10","2020-09-12 05:00:02-03","US","US","2946930","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","monticola","Dyckia monticola","L.B. Sm. & Reitz",NA,NA,NA,NA,"R. Reitz & D. Klein","5293","1957","10","18","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim","-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,"US01935414","US01935414_01",NA,"Monocotyledonae","Bromeliales","37493",NA,"auto","1200",NA,"South America - Neotropics","1",NA
