"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","328864","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","grandifoliolata","Jacaranda grandifoliolata","A.H.Gentry","isotype","R. M. Harley","17362","1974","03","24","South America","Brazil","Bahia","Coastal Zone: 24 km. SW of Belmonte on road to Itapebi. Alt. ca. sea level.","-39.05","-16","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127434' target='other'> <mi>dwc_moreinfo</mi></a>","NY00328864","NY00328864_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","402583","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","grandifoliolata","Jacaranda grandifoliolata","A.H.Gentry",NA,"S. A. Mori","14342","1981","06","12","South America","Brazil","Bahia","Pai Inaçio, BR242, W of Lençois at km 232.","-41.5589","-12.5292","sheet","Photo by Boom <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127433' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402583","NY00402583_01","Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01109598","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","grandifoliolata","Jacaranda grandifoliolata","A.H.Gentry",NA,"S. A. Mori","9605","1978","03","17","South America","Brazil","Bahia","Rod. BA 001, a 5 km ao Sul de Alcobaça. Folha SE-24(18-39a)","-39.2093897","-17.568634","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305832' target='other'> <mi>dwc_moreinfo</mi></a>","NY01109598","NY01109598_01","Alcobaça","A. H. Gentry","10","20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02890600","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","grandifoliolata","Jacaranda grandifoliolata","A.H.Gentry",NA,"S. C. de Sant'Ana","721","1998","10","12","South America","Brazil","Bahia","Cerca de 19 km de Santa Luzia, na estrada que liga Santa Luzia/Canavieiras","-39.1978562","-15.5102246","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=516548' target='other'> <mi>dwc_moreinfo</mi></a>","NY02890600",NA,"Canavieiras","M. M. Silva-Castro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-04-22 16:18:01-03","UFPB","JPB","28656","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Bignoniaceae","Jacaranda","grandifoliolata","Jacaranda grandifoliolata","A.Gentry",NA,"Lourenço, CEL; Carneiro, MC","139","2001","04","01","Southern America","Brasil","Paraíba","Fazenda Ipuarana","-35.8535995483398","-7.17082977294922",NA,"; DESC: Cipó arbóreo, flores grandes.",NA,NA,"Lagoa Seca","Lourenço, CEL",NA,NA,"2001","10","10323","auto",NA,NA,NA,NA,NA
"6","2015-08-13 05:50:00-03","MO","MOBOT","1043715","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","grandifoliolata","Jacaranda grandifoliolata","A.H. Gentry","Isotype","R.M. Harley","Harley 17362","1974","3","24","South America","Brazil","Bahia","24 km SW of Belmonte on road to Itapebi. High everygreen restinga forest, low restinga and damp open areas on white sand.","-39.05","-16",NA,NA,NA,NA,NA,NA,"0E8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","1041993","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","grandifoliolata","Jacaranda grandifoliolata","A.H. Gentry",NA,"Scott A. Mori|Brian M. Boom","Mori 14342","1981","6","12","South America","Brazil","Bahia","Mpio. of Palmeiras, Pai Inacio, BR242, W of Lencois at km 232, Campo Rupestre.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2014-10-24 17:46:00-02","MO","MOBOT","1042306","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","grandifoliolata","Jacaranda grandifoliolata","A.H. Gentry",NA,"R.S. Pinheiro","Pinheiro 1697","1971","11","3","South America","Brazil","Bahia","Sta. Luzia-Canaveiras, Restinga.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","1042586","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","grandifoliolata","Jacaranda grandifoliolata","A.H. Gentry",NA,"Scott A. Mori|et al.","Mori 9605","1978","3","17","South America","Brazil","Bahia","Alcobaca, rod. BA 1, 5 km S.",NA,NA,NA,NA,NA,NA,NA,"A. Gentry (MO)","10.00000000","20.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","1043337","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","grandifoliolata","Jacaranda grandifoliolata","A.H. Gentry",NA,"L.A. Mattos Silva|et al.","Mattos Silva 1198","1980","10","10","South America","Brazil","Bahia","Faz Guanabara, romal com entrada. No km 10 da Rod. Pontal/Olivenca, lado direito, 0-3 km de entrada",NA,NA,NA,NA,NA,NA,NA,NA,"30.00000000","40.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2015-01-23 09:26:00-02","MO","MOBOT","1043339","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","grandifoliolata","Jacaranda grandifoliolata","A.H. Gentry",NA,"L.A.M. Silva","Silva 1069","1980","9","25","South America","Brazil","Bahia","Faz. Barra do Mauguinho, km 12 Rodovin Pontal/Olivenca, lado direito, area de Piacava, 0-3 km de entrada.",NA,NA,NA,NA,NA,NA,NA,NA,"50.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 18:26:03-03","USP","SPF","167307","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","grandifoliolata","Jacaranda grandifoliolata","A.H.Gentry",NA,"Paixão, JL","179","2002","05","19",NA,"Brasil","Bahia","entrada Santo André para Porto Central, a ca1,5km","-39.016666","-16.233333",NA,"revisar etiqueta, coordenadas (seg)","SPF00167307",NA,"Santa Cruz Cabrália","Lohmann, LG",NA,NA,"2008",NA,NA,NA,"-39.016666","-16.233333",NA,NA,NA
"13","2021-03-12 16:33:20-03","USP","SPF","48679","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","grandifoliolata","Jacaranda grandifoliolata","A.H.Gentry","isotype","Harley, RM; Renvoize, SA; Erskine, CM; Brighton, CA; Pinheiro, R","17362","1974","03","24",NA,"Brasil","Bahia","24 km of Belmonte on road to Itapebi. High evergreen restinga forest, low restinga and damp open areas on white sand.","-39.05","-16",NA,"Small tree to 3m. leaves with coriaceous leaflets, bright glossy green above, paler beneath. young stems, petioles, rhachides and mid-vein of leaflets beneath, deep purple. Calyx purple. Corolla bright purple.","SPF00048679","SPF00048679","Belmonte",NA,NA,NA,NA,NA,NA,NA,"-39.05","-16",NA,NA,NA
"14","2019-10-07 09:15:40-03","UEFS","HUEFS","46163","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Bignoniaceae","Jacaranda","grandifoliolata","Jacaranda grandifoliolata","A.H.Gentry",NA,"Sant'Ana, S.C.","721","1998","10","12",NA,"Brasil","Bahia","Ca. 19 Km de Santa Luzia, na estrada que liga Santa Luzia / Canavieiras.","-38.9472007751465","-15.6750001907349",NA,"Campos de Restinga com manchas de Restinga Arbustiva.","HUEFS0046163","HUEFS0046163 HUEFS0046163_01","Canavieiras",NA,NA,NA,"2004","02","48203","auto",NA,NA,"Asteranae",NA,NA
"15","2020-07-23 12:00:03-03","CEPLAC","CEPEC","12518","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","grandifoliolata","Jacaranda grandifoliolata",NA,"Isótipo","R. M. Harley","17362","1974","01","24",NA,"Brasil","Bahia","24Km ao SW de Belmonte, na Rod. para Itapebí.","-39.05","-16",NA,NA,NA,NA,"BELMONTE","A. Gentry",NA,NA,NA,NA,NA,NA,"39W3'","16S0'",NA,"30/12/1985",NA
"16","2020-07-23 12:00:03-03","CEPLAC","CEPEC","81188","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","grandifoliolata","Jacaranda grandifoliolata",NA,NA,"S. C. de Sant'Ana","721","1998","10","12",NA,"Brasil","Bahia","Ca. 19Km de santa Luzia, na estrada que liga Sta. Luzia/Canavieiras.","-38.9472007751465","-15.6750001907349",NA,NA,NA,NA,"CANAVIEIRAS","M. M. da Silva-Castro",NA,NA,NA,NA,"48203","auto",NA,NA,NA,"15/06/2006",NA
