"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","individualCount","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:33:25-03","UNESC","CRI","11781","PreservedSpecimen","Plantae","Cyperaceae","Ascolepis","brasiliensis","Ascolepis brasiliensis","(Kunth) Benth. ex C.B.Clarke","P. Weber","2013","05","21","P. Weber; R. Trevisan, S. Campestrini & S. Venturini","179","2013","01","19","Brasil","Paraná","Palmas","Reserva da Vida Silvestre dos Campos de Palmas.","-51.606111","-26.536111","51º36'22''W","26º32'10''S","Habitat: banhado turfoso em campo natural","CRI002093","CRI002093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","539060","PreservedSpecimen","Plantae","Cyperaceae","Ascolepis","brasiliensis","Ascolepis brasiliensis","(Kunth) Benth. ex C.B.Clarke","L. B. Smith",NA,NA,NA,"L. B. Smith","14320","1965","01","05","Brazil","Santa Catarina","Sao Joaquim","Bog, 10 km south of Sao Joaquim.","-49.93","-28.35",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514934' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539060","NY00539060_01","Magnoliophyta","Poales","South America","1200","1300","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00916578","PreservedSpecimen","Plantae","Cyperaceae","Ascolepis","brasiliensis","Ascolepis brasiliensis","(Kunth) Benth. ex C.B.Clarke",NA,NA,NA,NA,"H. A. Weddell","1034","1844",NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916578","NY00916578_01","Magnoliophyta","Poales","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00916566","PreservedSpecimen","Plantae","Cyperaceae","Ascolepis","brasiliensis","Ascolepis brasiliensis","(Kunth) Benth. ex C.B.Clarke",NA,NA,NA,NA,"H. S. Irwin","22501","1969","01","23","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 20 km S.W. of Diamantina","-43.68361111","-18.3580556",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916566","NY00916566_01","Magnoliophyta","Poales","South America","1200","1300","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00916580","PreservedSpecimen","Plantae","Cyperaceae","Ascolepis","brasiliensis","Ascolepis brasiliensis","(Kunth) Benth. ex C.B.Clarke","Svenson",NA,NA,NA,"Y. E. J. Mexia","5839","1931","05","14","Brazil","Minas Gerais","Diamantina","Olaria","-43.571739","-17.888053",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916580","NY00916580_01","Magnoliophyta","Poales","South America","1240","1240","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00916583","PreservedSpecimen","Plantae","Cyperaceae","Ascolepis","brasiliensis","Ascolepis brasiliensis","(Kunth) Benth. ex C.B.Clarke","G. C. Tucker",NA,NA,NA,"R. C. de Mendonça","586","1985","11","14","Brazil","Distrito Federal","Brasília","Reserva Ecológica do IGBE; divisa com a área do Cristo Redentor, vereda próximo ao córrego Taquara.","-47.9294","-15.7797",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991238' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916583","NY00916583_01","Magnoliophyta","Poales","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","539059","PreservedSpecimen","Plantae","Cyperaceae","Ascolepis","brasiliensis","Ascolepis brasiliensis","(Kunth) Benth. ex C.B.Clarke","T. M. Koyama",NA,NA,NA,"R. M. Harley","20120","1977","03","28","Brazil","Bahia",NA,"Between 2.5 and 5 km S of Vila do Rio de Contas on side road to W of the road to Livramento, leading to the Rio Brumado. Serra do Rio de Contas.","-41.83","-13.6",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514943' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539059","NY00539059_01","Magnoliophyta","Poales","South America","980","980","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00916559","PreservedSpecimen","Plantae","Cyperaceae","Ascolepis","brasiliensis","Ascolepis brasiliensis","(Kunth) Benth. ex C.B.Clarke","T. M. Koyama",NA,NA,NA,"J. A. Ratter","R.3095","1976","06","02","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km SSW of Brasília TV tower.","-47.9294","-15.7797",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990818' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916559","NY00916559_01","Magnoliophyta","Poales","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","539066","PreservedSpecimen","Plantae","Cyperaceae","Ascolepis","brasiliensis","Ascolepis brasiliensis","(Kunth) Benth. ex C.B.Clarke","W. W. Thomas",NA,NA,NA,"M. L. Fonseca","519","1995","08","26","Brazil","Bahia","Correntina","Velha da Galinha; Solo arenoso, hidromórfico. Vereda do rio Corrente.","-45.3681","-13.525",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514923' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539066","NY00539066_01","Magnoliophyta","Poales","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00916557","PreservedSpecimen","Plantae","Cyperaceae","Ascolepis","brasiliensis","Ascolepis brasiliensis","(Kunth) Benth. ex C.B.Clarke","T. M. Koyama",NA,NA,NA,"R. M. Harley","10487","1968","10","05","Brazil","Mato Grosso",NA,"c. 12 km south south west of base camp.","-51.77","-12.82",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916557","NY00916557_01","Magnoliophyta","Poales","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
