"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1032131","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Malaxis","jaraguae","Malaxis jaraguae","(Hoehne & Schltr.) Pabst","E. A. Christenson","A. Gehrt","5517","1921","04","29","South America","Brazil","São Paulo","Jaragua; da base do Morro.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190584' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032131","NY01032131_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:41:09-03","MN","R","13836","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Microstylis","jaraguae","Microstylis jaraguae","Hoehne & Schltr.","Hoehne, F.C.","Gehrt, A.","5517","1921","04","29",NA,"Brasil","São Paulo","Jaraguá",NA,"Seção de Botânica do Museu Paulista",NA,NA,"São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-10-14 10:04:10-03","FURB","FURB","19636","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Malaxis","jaraguae","Malaxis jaraguae","(Hoehne & Schltr.) Pabst","Mancinelli, WS","Verdi, M.; Klettenberg, D.H. & Klemz, G.","3706","2010","02","22",NA,"Brasil","Santa Catarina","Barra do Rio Novo.",NA,"Florística IFFSC 97 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: terrícola;","FURB02803","FURB02803","Orleans","-49.3191667","-28.3480555",NA,NA,"2011","01","10","-49.3191667","-28.3480555","206","206",NA,NA,NA
"4","2020-10-14 10:04:10-03","FURB","FURB","19639","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Malaxis","jaraguae","Malaxis jaraguae","(Hoehne & Schltr.) Pabst","Mancinelli, WS","Verdi, M.; Souza, N.L. de & Klemz, G.","3616","2010","02","17",NA,"Brasil","Santa Catarina","Linha Pacheco.",NA,"Florística IFFSC 77 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: terrícola; flor verde","FURB35614","FURB35614","Urussanga","-49.23","-28.4402777",NA,NA,"2011","01","10","-49.2300000","-28.4402777","165","165",NA,NA,NA
"5","2020-10-14 10:04:10-03","FURB","FURB","19671","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Malaxis","jaraguae","Malaxis jaraguae","(Hoehne & Schltr.) Pabst","Mancinelli, WS","Verdi, M.; Souza, N.L. de & Klemz, G.","3739","2010","02","24",NA,"Brasil","Santa Catarina","Taipa.",NA,"Florística IFFSC 98 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: terrícola;","FURB35613","FURB35613","Orleans","-49.2319445","-28.3527778",NA,NA,"2011","01","10","-49.2319445","-28.3527778","345","345",NA,NA,NA
"6","2020-10-14 10:04:10-03","FURB","FURB","19714","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Malaxis","jaraguae","Malaxis jaraguae","(Hoehne & Schltr.) Pabst","Mancinelli, WS","Korte, A.; Kniess, A.","1863","2010","02","18",NA,"Brasil","Santa Catarina","Fazenda Tarumã.",NA,"Florística IFFSC 625 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita;","FURB35615","FURB35615","Taió","-50.1305556","-27.0002778",NA,NA,"2011","01","10","-50.1305556","-27.0002778","802","802",NA,NA,NA
"7","2020-10-14 10:04:10-03","FURB","FURB","20177","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Malaxis","jaraguae","Malaxis jaraguae","(Hoehne & Schltr.) Pabst","Mancinelli, WS","Cadorin, T.J.; Grosch, B. & Zimmermann, R.","1444","2010","02","23",NA,"Brasil","Santa Catarina","Morro da Lagoa.",NA,"Coleta Extra IFFSC (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: terrestre; flor amarela","FURB35617","FURB35617","Florianópolis","-48.4755556","-27.5766667",NA,NA,"2010","10","10","-48.4755556","-27.5766667","444","444",NA,NA,NA
"8","2020-10-14 10:04:15-03","FURB","FURB","25968","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Malaxis","jaraguae","Malaxis jaraguae","(Hoehne & Schltr.) Pabst","Mancinelli, WS; Engels, ME; Smidt, EC","Stival-Santos, A.; Legal, E.; Meyer, D. & Silveira, S.","2683","2010","05","03",NA,"Brasil","Santa Catarina","Canto da Praia.",NA,"Florística IFFSC 584 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Médio Habito: erva terrícola;","FURB35616","FURB35616_1 FURB35616_2","Itapema","-48.5997222","-27.0894444",NA,NA,"2012","04",NA,"-48.5997222","-27.0894444","60","60",NA,NA,NA
"9","2021-02-11 17:20:58-03","UFPR","UPCB","73213","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Malaxis","jaraguae","Malaxis jaraguae","(Hoehne & Schltr.) Pabst","Mancinelli, W.S.","Verdi, M.","3616","2010","02","17",NA,"Brasil","Santa Catarina","Linha Pacheco.",NA,"Erva terrícola IFFSC 77. Flor verde. Floresta ombrófila densa..",NA,NA,"Urussanga","-49.23","-28.440278",NA,NA,"2010","04","07","-49.23","-28.440278","165","165",NA,NA,NA
"10","2021-02-11 17:20:58-03","UFPR","UPCB","73316","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Malaxis","jaraguae","Malaxis jaraguae","(Hoehne & Schltr.) Pabst","Mancinelli, W.S.","Verdi, M.","3706","2010","02","22",NA,"Brasil","Santa Catarina","Barra do Rio Novo.",NA,"Erva terrícola. IFFSC 97. Floresta ombrófila densa..",NA,NA,"Orleans","-49.319167","-28.348056",NA,NA,"2010","04","07","-49.319167","-28.348056","206","206",NA,NA,NA
"11","2021-02-11 17:20:58-03","UFPR","UPCB","73351","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Malaxis","jaraguae","Malaxis jaraguae","(Hoehne & Schltr.) Pabst","Mancinelli, W.S.","Korte, A.","1863","2010","02","18",NA,"Brasil","Santa Catarina","Fazenda Tarumã.",NA,"Epífita. IFFSC 625. Floresta ombrófila densa..",NA,NA,"Taió","-50.130556","-27.000278",NA,NA,"2011","02","15","-50.130556","-27.000278","802","802",NA,NA,NA
"12","2021-02-11 17:20:58-03","UFPR","UPCB","75978","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Malaxis","jaraguae","Malaxis jaraguae","(Hoehne & Schltr.) Pabst","Engels, M.","Imig, D.C.","156","2013","04","29",NA,"Brasil","Santa Catarina","Comunidade de Linha Lambedor. Interior de Floresta Densa, terrícula entre samambaias.",NA,NA,NA,NA,"Ipira","-51.7731018066406","-27.403600692749","13621","auto","2013","04","29",NA,NA,NA,NA,NA,NA,NA
"13","2021-02-08 12:52:19-03","UFRGS","ICN","009962","S","Plantae","Monocotyledon",NA,"Orchidaceae","Microstylis","jaraguae","Microstylis jaraguae","Hoehne & Schltr.","Körner, L","Valls, JFM; Irgang, B","s.n.","1972","04","09","América do Sul","Brasil","RS","Laje da Pedra",NA,"Campo úmido","ICN00040406",NA,"Canela","-50.815601348877","-29.3656005859375","16452","auto","1975",NA,NA,NA,NA,NA,NA,NA,NA,NA
