"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","coordinatePrecision","individualCount","geoFlag","recordNumber","infraspecificEpithet","continentOcean","preparationType","class","relationshipType","relatedCatalogItem","fieldNumber","sex"
"1","2021-04-05 14:33:22-03","UNESC","CRI","12318","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa","Salm-Dyck ex Pfeiff.","Aline Votri Guislon & Peterson T. Padilha","2017","05","19","Alexandre Medeiros","2017","04","25","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.637778","-27.001389","48º38'16''W","27º0'5''S","5","5","Coleta 221","CRI010502","CRI010502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","3240","S","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa","Salm-Dyck ex Pfeiff.","Carlos A. Ferreira Jr.",NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Congonhas","Mina casa de Pedra","-43.8577995300293","-20.4997005462646","43°55'33","20°27'42",NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales","16368","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","2407","S","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa","Salm-Dyck ex Pfeiff.","Carlos A. Ferreira Jr.","2012","05","17","Carlos Alberto F. Jr.; Inês Ribeiro, Ceres, Carla Daniela","2012","05","17","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais","-43.7144012451172","-19.1688995361328","19º 02' 07S","43º 42' 05W","1329","1329","254",NA,NA,"Magnoliophyta","Caryophyllales","26557","1","auto","CAF522",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1367","S","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa","Salm-Dyck ex Pfeiff.","Nygel Taylor",NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales","22051",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1471","S","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa","Salm-Dyck ex Pfeiff.","Carlos A. Ferreira Jr.","2010","05","16","Carlos Alberto F. Jr.; Alysson Rezende","2010","05","16","Brasil","Minas Gerais","Caeté","Milagre, Serra da Piedade","-43.6697006225586","-19.8799991607666",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales","22051","3","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","3843","S","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa","Salm-Dyck ex Pfeiff.","Carlos Alberto Ferreira Júnior","2016","08","12","Lucas Assis; Kelen Soares","2015","08","12","Brasil","MG","Diamantina","Estrada de Diamantina a Milho Verde","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales","101169","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1359","S","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa subsp. pulvinigera (g.lindb.) barthlott & n.p.taylor","Salm-Dyck ex Pfeiff.","Nygel Taylor",NA,NA,NA,"Juliana Ordones Rego;",NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça, Padre Caio","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales","33136","1","auto",NA,"subsp. pulvinigera (g.lindb.) barthlott & n.p.taylor",NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1340","S","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa subsp. pulvinigera (g.lindb.) barthlott & n.p.taylor","Salm-Dyck ex Pfeiff.","Nygel Taylor",NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,NA,"subsp. pulvinigera (g.lindb.) barthlott & n.p.taylor",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","823231","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa","Salm-Dyck ex Pfeiff.",NA,NA,NA,NA,"J. C. Lindeman","1967","03","20","Brazil","Paraná",NA,"Fazenda Reserva on planalto ca. 85 km SW of Cuarapuava, Pinhalzinho",NA,NA,NA,NA,"800","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938057' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823231","NY00823231_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"5026",NA,"South America","sheet",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3890535","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa oreophila","N.P.Taylor & Zappi",NA,NA,NA,NA,"M. H. Nee","1994","07","21","Bolivia","Santa Cruz","Florida","2 km. NW of Samaipata","-63.8917","-18.17",NA,NA,"1675",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4182984' target='other'> <mi>dwc_moreinfo</mi></a>","NY03890535","NY03890535_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"45268","oreophila","South America","sheet",NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","645650","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa","Salm-Dyck ex Pfeiff.","N. P. Taylor; D. C. Zappi",NA,NA,NA,"W. Ganev","1992","09","14","Brazil","Bahia","Abaíra","Tanquinho-Acim do Garimpo, abaixo do Taquinho","-41.88","-13.28",NA,NA,"1480","1480","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645650","NY00645650_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"1094",NA,"South America","sheet",NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","3890544","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa oreophila","N.P.Taylor & Zappi",NA,NA,NA,NA,"M. H. Nee","1994","07","22","Bolivia","Santa Cruz","Florida","along Quebrada El Durazno and a tributary stream and their canyons, 7 km. NE of Mairana","-63.92","-18.0639",NA,NA,"2100",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4182993' target='other'> <mi>dwc_moreinfo</mi></a>","NY03890544",NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"45308","oreophila","South America","sheet",NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","03890271","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa","Salm-Dyck ex Pfeiff.",NA,NA,NA,NA,"P. C. Hutchison","1957","08","17","Peru","Junín","Tarma","Near La Merced. On Hacienda La Romilda","-75.336369","-10.989804",NA,NA,"900",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4182285' target='other'> <mi>dwc_moreinfo</mi></a>","NY03890271","NY03890271_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"1888",NA,"South America","sheet",NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00996979","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa","Salm-Dyck ex Pfeiff.","D. R. Hunt",NA,NA,NA,"H. S. Irwin","1968","02","19","Brazil","Minas Gerais",NA,"Serra do Cipó, km. 135 (ca. 150km N. of Belo Horizonte).","-43.38","-18.82",NA,NA,"1250","1250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140774' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996979","NY00996979_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"20514",NA,"South America","sheet",NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","3890543","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa oreophila","N.P.Taylor & Zappi",NA,NA,NA,NA,"J. Gutiérrez","2004","12","15","Bolivia","Chuquisaca","Tomina","Las Casas. Aproximadamente a 2.5 km de la communidad Las Casas, en el sector denominado Abro Santa Cruz","-64.0897","-19.3114",NA,NA,"1648",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4182992' target='other'> <mi>dwc_moreinfo</mi></a>","NY03890543",NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"1079","oreophila","South America","sheet",NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","3890541","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa oreophila","N.P.Taylor & Zappi",NA,NA,NA,NA,"M. H. Nee","1988","03","09","Bolivia","Santa Cruz","Vallegrande","on road from El Trigal to Mataral, just N of highest point along road, 6 km. (by road) NW of Estancia Cochabambita, 12 km. (by air) NW of El Trigal","-64.2","-18.2",NA,NA,"1725",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4182990' target='other'> <mi>dwc_moreinfo</mi></a>","NY03890541","NY03890541_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"36566","oreophila","South America","sheet",NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","309486","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa","Salm-Dyck ex Pfeiff.","M. H. Nee",NA,NA,NA,"M. H. Nee","1998","04","10","Bolivia","Santa Cruz","Florida","South of ridge with oleoducto, just W of the main, wide valley of Mairana, 1.2 km W of Todos Santos.","-64","-18.1417",NA,NA,"1350","1350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707943' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309486","NY00309486_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"48911",NA,"South America","sheet",NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","3890270","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa","Salm-Dyck ex Pfeiff.",NA,NA,NA,NA,"F. Ritter","1954","10",NA,"Bolivia",NA,NA,"Cozoico & Coripata (Nor Yungas) & Inquisivi. Cult.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4182283' target='other'> <mi>dwc_moreinfo</mi></a>","NY03890270",NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"115",NA,"South America","sheet",NA,NA,NA,NA,NA
"19","2016-09-29 17:40:00-03","NY","NYBG","645658","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa",NA,"N. P. Taylor; D. C. Zappi",NA,NA,NA,"S. A. Renvoize","1978","10","17","Argentina","Misiones","Apóstoles","San Jose, Escuela Agrotecnico Don Bosco",NA,NA,NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707945' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645658","NY00645658_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"3169",NA,"South America","sheet",NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01240689","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa floccosa","Salm-Dyck ex Pfeiff.","S. Lahmeyer",NA,NA,NA,"W. W. Thomas","1994","09","27","Brazil","Bahia","Ilhéus","Cidade de Ilhéus, 3 km N of Rodoviaria, Mata da Esperança, forest N of dam and reservoir.","-39.06917","-14.78194",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1451016' target='other'> <mi>dwc_moreinfo</mi></a>","NY01240689","NY01240689_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"10650","floccosa","South America","sheet",NA,NA,NA,NA,NA
