"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","locality","decimalLongitude","decimalLatitude","typeStatus","yearIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","individualCount","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1134192","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Diclinanona","matogrossensis","Diclinanona matogrossensis","Maas","J. M. Pires","3821","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1307721' target='other'> <mi>dwc_moreinfo</mi></a>","NY01134192","NY01134192_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00836431","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Diclinanona","matogrossensis","Diclinanona matogrossensis","Maas","W. W. Thomas","4808","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=921466' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836431","NY00836431_01","P. J. M. Maas","1985","11","03","Vila Bela de Santíssima Trindade","4 km S of Rondônia state line on BR 364 from Vilahena to Cáceres.","-60.03","-12.9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","8362","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Diclinanona","matogrossensis","Diclinanona matogrossensis","Maas","N. A. Rosa","2066","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=519235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008362","NY00008362_01",NA,"1977","06","06","Juruena","Margem esquerda do R. Juruena, proximo a cahoeira S. Joao da Barra. Mata, terra firma. SC 21 VB","-58.5558736","-8.9417327","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00836407","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Diclinanona","matogrossensis","Diclinanona matogrossensis","Maas","B. Maguire","56530","South America","Brazil","Mato Grosso","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=921465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836407","NY00836407_01","P. J. M. Maas","1963","09","03",NA,"66 km west of Vilhena. Brasilia-Acre Highway.","-60.569482","-12.436039",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00836406","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Diclinanona","matogrossensis","Diclinanona matogrossensis","Maas","B. Maguire","56530","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=921463' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836406","NY00836406_01","P. J. M. Maas","1963","09","03",NA,"66 km west of Vilhena. Brasilia-Acre Highway.","-60.569482","-12.436039",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:33:31-03","EAO","IAN","155222","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Annonaceae","Diclinanona","matogrossensis","Diclinanona matogrossensis","Maas","Maguire, B; Pires, JM; Maguire, CK; Silva, NT da","56530","Southern America","Brasil","Mato Grosso",NA,"Tree 8 m high, 10 cm diameter, fruit separete.","IAN155222",NA,"Maas, PJM","1963","09","03",NA,"In forest along igarape, 66 km west of Vilhena.&nf;Brasília-Acre-Highway.",NA,NA,"paratipo","1991",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:38:58-03","NBC","NL-BOTANY","U.1601629","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Diclinanona","matogrossensis","Diclinanona matogrossensis","Maas","Maguire B; Murça Pires J; Maguire CK; Silva NT",NA,"Southern America","Brazil","Rondônia",NA,"In forest along igarape.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1601629 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1601629",NA,"Maas PJM","1963","09","03",NA,"Along igarape, 66 km west of Vilhena, Brasília-Acre Highway.",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:38:58-03","NBC","NL-BOTANY","U.1068588","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Diclinanona","matogrossensis","Diclinanona matogrossensis","Maas","Thomas WW; Cid Ferreira CA; Ackerly DD; Guedes J; Ramos J; Lima RP",NA,"Southern America","Brazil","Mato Grosso",NA,"Forest on terra firma with canopy +/- 35 m.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1068588 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1068588","NL-U1068588","Maas PJM; Erkens RHJ","1985","11","03",NA,"Vila Bela da Santíssima Trindade: 4 km S of Rondônia state line on BR364, from Vilhena to Cáceres.","-60.033333","-12.9",NA,NA,"Magnoliopsidae","-60.033333","-12.9","U 0011181",NA,NA,NA
"9","2012-12-11 14:05:00-02","MO","MOBOT","3405194","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Diclinanona","matogrossensis","Diclinanona matogrossensis","Maas","Bassett Maguire|João Murça Pires|Celia K. Maguire|Nilo T. Silva","Maguire 56530","South America","Brazil","Mato Grosso do Sul",NA,NA,NA,NA,"R.H.J. Erkens & P.J.M. Maas","1963","9","3",NA,"Brasilia-Acre Highway.",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"10","2013-03-07 09:49:00-03","MO","MOBOT","3408498","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Diclinanona","matogrossensis","Diclinanona matogrossensis","Maas","Nelson A. Rosa|M.R. dos Santos","Rosa 2066","South America","Brazil","Mato Grosso",NA,NA,NA,NA,"R.H.J. Erkens & P.J.M. Maas (WAG)","1977","6","6",NA,"Margem esquerda do R. Juruena, proximo a caohoeira S, João da Barra. Mata, terra firme. SC 21 VB.",NA,NA,"Isotype",NA,NA,NA,NA,NA,"1",NA,NA
