"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","typeStatus","coordinatePrecision","imagecode","geoFlag","relatedCatalogItem","monthIdentified","dayIdentified"
"1","2020-12-21 16:47:49-03","MBM","MBM","426425","PreservedSpecimen","Plantae","Xyridaceae","Xyris","lutescens","Xyris lutescens","Kral & Wand.","Mota, N.F.O.","2011","Mota, N.F.O.; Viana, P.L.; Viana, P.L.","1573","2010","06","06","Southern America","Brazil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros, Ao longo da trilha para o Cânion 2","-47.817778","-14.1475","-47.817778","-14.1475","916","916","Erva terrestre, geralmente solitária, podendo formar pequenas touceiras. Espiga páçea com as margens das brácteas mais escuras. População bem grande com poucos indíviduos em flor, a maioria dispersando.; Campos limpos.","MBM426425",NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:47:49-03","MBM","MBM","53877","PreservedSpecimen","Plantae","Xyridaceae","Xyris","lutescens","Xyris lutescens","Kral & Wand.","Kral, R.","1981","Hatschbach, G.","39021","1976","10","08","Southern America","Brazil","Goiás","Posse","Nova Vista","-46.3694000244141","-14.0930995941162",NA,NA,NA,NA,"Flor amarela.; Brejo da borda de chapada.","MBM053877","HOLOTYPE","55730","MBM053877","auto",NA,NA,NA
"3","2020-07-23 12:24:44-03","CEPLAC","CEPEC","38109","PreservedSpecimen","Plantae","Xyridaceae","Xyris","lutescens","Xyris lutescens",NA,"R. Kral",NA,"R. Kral","72772","1985","07","14",NA,"Brasil","Bahia","RIO DE CONTAS","25km W cidade, Rod. p/ Pico das Almas.","-41.8114013671875","-13.5789003372192","0W0'0","0S0'0",NA,NA,NA,NA,NA,"49773",NA,"auto","30/12/1985",NA,NA
"4","2019-11-21 10:19:58-03","IBt","SP","234190","S","Plantae","Xyridaceae","Xyris","lutescens","Xyris lutescens","Kral & Wand.",NA,NA,"Wanderley, MGL; Kral, R","1228","1988","10","08",NA,"Brasil","Mato Grosso",NA,"25 km de Água Boa pela BR 158 em direção a Xavantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 10:19:58-03","IBt","SP","234543","S","Plantae","Xyridaceae","Xyris","lutescens","Xyris lutescens","Kral & Wand.",NA,NA,"Kral, R; Wanderley, MGL","75341","1988","10","12",NA,"Brasil","Goiás",NA,"BR 050, 92 km S de Cristalina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 10:19:58-03","IBt","SP","234456","S","Plantae","Xyridaceae","Xyris","lutescens","Xyris lutescens","Kral & Wand.",NA,NA,"Kral, R; Wanderley, MGL","75558","1988","11","07",NA,"Brasil","Bahia","Piatã","Fazenda Brumadinho em direção ao Pico das Almas","-41.7728004455566","-13.1519002914429",NA,NA,"1300","1300",NA,NA,NA,"41184",NA,"auto",NA,NA,NA
"7","2019-11-21 10:19:58-03","IBt","SP","234480","S","Plantae","Xyridaceae","Xyris","lutescens","Xyris lutescens","Kral & Wand.",NA,NA,"Wanderley, MGL; Kral, R","1514","1988","11","05",NA,"Brasil","Bahia","Rio de Contas","Ca. 5 km W de Rio de Conteas, estrada para Fazenda Brumadinho","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,NA,NA,NA,"49773",NA,"auto",NA,NA,NA
"8","2021-01-07 09:34:39-03","IBt","SP","454586","S","Plantae","Xyridaceae","Xyris","lutescens","Xyris lutescens","Kral & Wand.",NA,NA,"Mota, NFO","1551","2010","06","05",NA,"Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,NA,NA,NA,"44724",NA,"auto",NA,NA,NA
"9","2021-01-07 09:34:39-03","IBt","SP","454584","S","Plantae","Xyridaceae","Xyris","lutescens","Xyris lutescens","Kral & Wand.",NA,NA,"Mota, NFO","1573","2010","06","06",NA,"Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,NA,NA,NA,"44724",NA,"auto",NA,NA,NA
"10","2019-11-21 10:19:58-03","IBt","SP","210430","S","Plantae","Xyridaceae","Xyris","lutescens","Xyris lutescens","Kral & Wand.",NA,NA,"Romaniuc Neto, S; Toledo, CB; Sajo, MG","468","1986","05","16",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,NA,NA,NA,"44724",NA,"auto",NA,NA,NA
