"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","minimumElevationInMeters","imagecode","maximumElevationInMeters","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1416350","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","eximia","Ficus eximia","Schott","C. C. Berg","H. Medeiros","574","2010","04","28","South America","Brazil","Acre","Porto Acre","Vila do V, Ramal Tocantis.","-67.5325","-9.58833","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412556' target='other'> <mi>dwc_moreinfo</mi></a>","NY01416350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02692456","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","eximia","Ficus eximia","Schott",NA,"B. O. Boeni","23","2011","11","29","South America","Brazil","Rio Grande do Sul","Morro Alto","beira da estrada","-50.145783","-29.715444","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2987595' target='other'> <mi>dwc_moreinfo</mi></a>","NY02692456","25","NY02692456_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","309624","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","eximia","Ficus eximia","Schott","M. H. Nee","M. H. Nee","49719","1998","06","11","South America","Bolivia","Santa Cruz","Ichilo","Along road to Palacios, 2.5 km NNW of Montero-Buena Vista highway.","-63.6","-17.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362929' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309624","295",NA,"295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1416374","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","eximia","Ficus eximia","Schott","C. C. Berg","H. Medeiros","450","2010","04","21","South America","Brazil","Acre","Sena Madureira","Fazenda São Jorge I, BR 364, Km 107, ramal do Toco Preto.","-68.6239","-9.4317","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412443' target='other'> <mi>dwc_moreinfo</mi></a>","NY01416374","217",NA,"217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","563814","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","eximia","Ficus eximia paraguariensis","Hassl.",NA,"E. Hassler","12106","1913","05",NA,"South America","Paraguay",NA,NA,"Paraguaria centralis: In regione lacus Ypacaray",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=594894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00563814",NA,"NY00563814_01",NA,"paraguariensis","isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-01-28 13:11:25-03","MCN-PUC-MINAS","HPUC-MG","CARP256","S","Plantae",NA,NA,"Moraceae","Ficus","eximia","Ficus eximia",NA,NA,"Meyer; Pedralli; Santos",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Paracatu",NA,"-46.869167","-17.203056",NA,NA,NA,"705",NA,"705",NA,NA,"46°52'09W","17°12'11''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-01-28 13:11:25-03","MCN-PUC-MINAS","HPUC-MG","ANG4605","S","Plantae",NA,NA,"Moraceae","Ficus","eximia","Ficus eximia",NA,NA,"Meyer; Pedrali; Santos",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Paracatu",NA,"-46.874698638916","-17.2222003936768",NA,"Material doado pelo CETEC.",NA,NA,NA,NA,NA,NA,NA,NA,"72344","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:20-03","UFRJ","RFA","10623","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","eximia","Ficus eximia","Schott","Carauta, J.P.P.","A.P. Duarte; G.G. Hatschbach","5346","1960","07","27",NA,"Brasil","Paraná","Guaratuba","Caieiras","-48.5746994018555","-25.8827991485596",NA,"Árvore de 2,50m de diâmetro, ca. de 25-30m de altura","RFA46095",NA,NA,NA,NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:20-03","UFRJ","RFA","10610","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","eximia","Ficus eximia","Schott","Carauta, J.P.P.","A.P. Duarte","5488","1961","01","18",NA,"Brasil","Rio de Janeiro","Barra Mansa","fazenda Paraíso","-44.1713981628418","-22.5442008972168",NA,"Árvore de grande porte, copa ampla de ca. de 25-30m de diâmetro","RFA46061",NA,NA,NA,NA,NA,NA,NA,"31009","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:20:20-03","UFRJ","RFA","27565","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","glabra","Ficus glabra","Vell.","C. M. Vieira","Flavio Britto Pereira","nov-87","2001","04","10",NA,"Brasil","Espírito Santo","Mimoso do Sul","Fazenda Beira Muqui.","-41.330833","-21.184167",NA,"Árvore, 6m de altura, 12cm de DAP, folhas e frutos verdes, rara no local.","RFA41808","23",NA,"23",NA,NA,"41º19'51''W","21º11'3''S",NA,NA,"2001","11","02",NA,NA,NA,NA,NA
"11","2020-11-24 17:10:51-03","UTFPR","DVPR","5827","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Moraceae","Ficus","eximia","Ficus eximia","Schott.","Silva, DR","Rocha Filho, JA; Piva, J; Machado, C","509","2018","01","17",NA,"Brasil","Paraná","Capitão Leonidas Marques","Futura área de APP da UHE Baixo Iguaçú. Próximidade do córrego afluente do Rio Iguaçu.","-53.364","-25.3228",NA,"Árvore 11 m de altura, latescente. Folhas discolores. cartáceas, glabras, lactescentes. Sicônios verdes. Ponto 332; Borda de Floresta Estacional Semidecidual entre estagio médio de sucessão secundária, solo argiloso. Associação entre","DVPR005827","286",NA,"286",NA,NA,"-53.364","-25.3228",NA,NA,"2018","03","28",NA,NA,NA,NA,NA
"12","2020-11-24 17:10:51-03","UTFPR","DVPR","2824","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Moraceae","Ficus","eximia","Ficus eximia","Schott.","Dias, MC","Fadelli, L; et al.","29","2001","01","18",NA,"Brasil","Paraná","Rancho Alegre","Fazenda Congonhas","-50.9131011962891","-23.0699996948242",NA,"Árvore 30m, infrutescência imatura verde, látex branco. Copa com queda de folhas. CAP aproximado de 4m, projeção 19X20m.; Interior da mata.","DVPR002824",NA,NA,NA,NA,NA,NA,NA,"11419","auto","2001",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:45:22-03","EAO","IAN","140686","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Ficus","eximia","Ficus eximia","Schott","Berg, CC","Pires, JM; Rosa, NA","13789","1974","07",NA,"Southern America","Brasil","Acre",NA,"Seringal Montevideo.",NA,NA,NA,NA,"IAN140686",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2001","03","10",NA,NA,NA,NA,NA
"14","2021-03-30 12:45:22-03","EAO","IAN","82622","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Ficus","eximia","Ficus eximia","Schott","Pelissari, G","Moraes, JC de","1028","1953","11","14","Southern America","Brasil","Paraíba",NA,"Lugares altos e frescos, terras de mata. Alagoa Grande.",NA,NA,NA,"Árvore.","IAN082622",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015","01","09",NA,NA,NA,NA,NA
"15","2021-03-30 12:45:22-03","EAO","IAN","145746","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Ficus","eximia","Ficus eximia","Schott","Berg, CC","Ribeiro, BGS","15332","1975","02","21","Southern America","Brasil","Amazonas","São Gabriel da Cachoeira","(Waupés), Rio Negro.","-67.0892028808594","-0.130278006196022",NA,"Árvore de 11m. e 20cm. de diâmetro, fruto verde.","IAN145746",NA,NA,NA,NA,NA,NA,NA,"377621","auto","1984","03",NA,NA,NA,NA,NA,NA
