"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","615471","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","obscura","Marlierea obscura","O.Berg","C. M. D. E. Legrand","R. Reitz","2035","1954","06","05","South America","Brazil","Santa Catarina","Itajaí","Cunhas","-48.6617","-26.9081","10","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224304' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615471","NY00615471_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","615470","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","obscura","Marlierea obscura","O.Berg","C. M. D. E. Legrand","G. G. Hatschbach","13545","1966","01","19","South America","Brazil","Paraná","Antonina","Estr. Cacatu-Serra Negra","-48.7117","-25.4286",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224306' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615470","NY00615470_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","615477","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","obscura","Marlierea obscura","O.Berg","M. L. Kawasaki","G. G. Hatschbach","14455","1966","05","25","South America","Brazil","Paraná","Morretes","Usina Eletrica Marumbi","-48.8342","-25.4769",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224311' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615477","NY00615477_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","615483","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","obscura","Marlierea obscura","O.Berg","M. L. Kawasaki","G. G. Hatschbach","18491","1968","01","18","South America","Brazil","Paraná","Guaraqueçaba","Serrinha","-48.3289","-25.3069","50","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224302' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615483","NY00615483_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","615479","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","obscura","Marlierea obscura","O.Berg","C. M. D. E. Legrand","G. G. Hatschbach","19919","1968","10","05","South America","Brazil","Paraná","Morretes","Col. Floresta","-48.8342","-25.4769",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224309' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615479","NY00615479_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","615473","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","obscura","Marlierea obscura","O.Berg","C. M. D. E. Legrand","G. G. Hatschbach","18600","1968","02","14","South America","Brazil","Paraná","Paranaguá","Picadao Cambará-Col. Limeira","-48.5092","-25.5203","20","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615473","NY00615473_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","615476","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","obscura","Marlierea obscura","O.Berg","M. L. Kawasaki","G. Jönsson","620a","1914","07","03","South America","Brazil","Paraná","Lapa","Serra do Mar, Volta Grande","-49.7156","-25.7697","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224301' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615476","NY00615476_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","615475","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","obscura","Marlierea obscura","O.Berg","C. M. D. E. Legrand","G. G. Hatschbach","18256","1968","01","06","South America","Brazil","Paraná","Guaratuba","Garuva","-48.5744","-25.8831",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224308' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615475","NY00615475_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","615488","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","obscura","Marlierea obscura","O.Berg","M. L. Kawasaki","G. G. Hatschbach","13545","1966","01","19","South America","Brazil","Paraná","Antonina","Estr. Cacatu-Serra Negra","-48.7117","-25.4286",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224317' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615488","NY00615488_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","615480","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","obscura","Marlierea obscura","O.Berg","G. G. Hatschbach","G. G. Hatschbach","34882","1975","09","11","South America","Brazil","Paraná","Antonina","Cachoeira","-48.7117","-25.4286",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224315' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615480","NY00615480_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
