"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","class","order","continentOcean","occurrenceRemarks","imagecode","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","phylum","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","fieldNumber"
"1","2020-06-29 11:28:57-03","UFRJ","RFA","13143","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","P. Occhioni","L.Th. Dombrowski; Y.Saito Kuniyoshi 1096","1281","1965","01","05","Brasil","Paraná","Curitiba","Campos de Capão da Imbuia","-49.2731018066406","-25.4277992248535","25180","RFA12067","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:28:57-03","UFRJ","RFA","13140","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","P. Occhioni","L.Th. Dombrowski","1006","1964","11","28","Brasil","Paraná","Curitiba","Campo Comprido","-49.2731018066406","-25.4277992248535","25180","RFA12065","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:19:59-03","NBC","NL-BOTANY","L.2726254","PreservedSpecimen","Plantae","Asclepiadaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme",NA,"Hatschbach GG",NA,"1960","11","16","Brazil",NA,NA,"Parana (Brasil) Mun Curitiba. Atuba.",NA,NA,NA,"NL-L2726254",NA,"Magnoliopsidae","Gentianales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2726254 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2726254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:19:59-03","NBC","NL-BOTANY","U.1092414","PreservedSpecimen","Plantae","Asclepiadaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme",NA,"Hatschbach GG",NA,"1960","11","16","Brazil",NA,NA,"Parana (Brasil) Mun Curitiba. Atuba.",NA,NA,NA,"NL-U1092414",NA,"Magnoliopsidae","Gentianales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1092414 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1092414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:35:23-03","MN","R","209010","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Fontella, J.P.","Dombrowski, L.T.H.","6219",NA,NA,NA,"Brasil","Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535","25180",NA,"auto",NA,NA,NA,NA,NA,"1990","06","29",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:35:23-03","MN","R","153008","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Fontella, J.P.","Smith, L.B.; Klein, R.M.",NA,"1956","12","11","Brasil","Santa Catarina","Campo Alegre",NA,"-49.2655982971191","-26.1924991607666","37493",NA,"auto",NA,NA,NA,NA,NA,"2003","11","12","900","900",NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:35:23-03","MN","R","153007","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Fontella, J.P.","Smith, L.B.; Klein, R.M.",NA,"1956","12","07","Brasil","Santa Catarina","Mafra",NA,"-49.8053016662598","-26.111400604248","66490",NA,"auto",NA,NA,NA,NA,NA,"2003","11","12","800","800",NA,NA,NA,NA,NA,NA
"8","2021-03-31 13:35:23-03","MN","R","209011","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Fontella, J.P.","Dombrowski, L.T.H.","5724","1975","01","08","Brasil","Paraná","Curitiba","Orleans","-49.2731018066406","-25.4277992248535","25180",NA,"auto",NA,NA,NA,NA,NA,"1990","06","29",NA,NA,NA,NA,NA,NA,NA,NA
"9","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0013474","PreservedSpecimen","Plantae","Asclepiadaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","A. Rapini","G. Hatschbach","23290","1969","12","30","Brazil","Parana",NA,"Brazil Rio Canguiri (Mun. Campina Grande do Sul) Parana","-49.0833","-25.3",NA,NA,NA,NA,"Gentianales",NA,"Ereta, laticifera, campo limpo, sepalas verdes, petalas creme, corona rosada, apice do ginostemio verde.",NA,NA,NA,NA,"900",NA,"Magnoliophyta",NA,NA,NA,NA,NA
"10","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0013473","PreservedSpecimen","Plantae","Asclepiadaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","A. Rapini","G. Hatschbach","23290","1969","12","30","Brazil","Parana",NA,"Brazil Rio Canguiri (Mun. Campina Grande do Sul) Parana","-49.0833","-25.3",NA,NA,NA,NA,"Gentianales",NA,"Ereta, laticifera, campo limpo, sepalas verdes, petalas creme, corona rosada, apice do ginostemio verde.",NA,NA,NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA
"11","2020-12-21 16:12:47-03","MBM","MBM","258563","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Konno, T.","Motta, J.T.","1499","1988","11","21","Brazil","Minas Gerais","Poços de Caldas","Campo do Saco","-46.5614013671875","-21.7877998352051","23696","MBM258563","auto",NA,NA,"Southern America",NA,"MBM258563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:12:47-03","MBM","MBM","41504","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Pereira, J.F.","Hatschbach, G.","7432","1950","11","16","Brazil","Paraná","Curitiba","Atuba","-49.2731018066406","-25.4277992248535","25180","MBM041504","auto",NA,NA,"Southern America","Sépalos e pétalas creme-esverdeados. Do brejo.","MBM041504","1963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:12:47-03","MBM","MBM","80493","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Fontella, J.","Tessmann, G.","s.n.","1950","12","26","Brazil","Paraná","Curitiba","Bacacheri","-49.2731018066406","-25.4277992248535","25180","MBM080493","auto",NA,NA,"Southern America",NA,"MBM080493",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:12:47-03","MBM","MBM","258590","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Rapini, A.","Dombrowski, L.T.","5724","1975","01","08","Brazil","Paraná","Curitiba","Colônia Orleans","-49.2731018066406","-25.4277992248535","25180","MBM258590","auto",NA,NA,"Southern America","Ereta. Campo.","MBM258590","2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:12:47-03","MBM","MBM","414415","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Antoniuk-Bonato, R.G.","Silva, J.M.; Noguchi, G.; Sayden, D.; Noguchi, G.; Sayden, D.","9955","2017","12","01","Brazil","Paraná","Castro","PCH Rio Iapó, Fazenda do Pulo","-50.142222","-24.716111",NA,"MBM414415",NA,NA,NA,"Southern America","Subarbusto com 40 cm de altura; flor creme.; Estepe Gramíneo-lenhosa (campo).","MBM414415","2018","06","20","975","975",NA,"-50.142222","-24.716111",NA,NA,NA
"16","2020-12-21 16:12:47-03","MBM","MBM","429568","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Lozano, E.D.","Lozano, E.D.; Barboza, E.; Canestraro, B.K.; Barboza, E.; Canestraro, B.K.","4655","2020","01","22","Brazil","Santa Catarina","Campo Alegre","Campos do Quiriri","-48.992278","-26.023194",NA,"MBM429568",NA,NA,NA,"Southern America","Arbusto, 30 cm, flores alvas, em campo limpo.; Campo de Altitude.",NA,"2020",NA,NA,NA,NA,NA,"-48.992278","-26.023194",NA,NA,NA
"17","2020-12-21 16:12:47-03","MBM","MBM","4080","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Fontella, J.","Tessmann, G.","s.n.","1950","12","25","Brazil","Paraná","Curitiba","Bacacheri","-49.2731018066406","-25.4277992248535","25180","MBM004080","auto",NA,NA,"Southern America",NA,"MBM004080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:12:47-03","MBM","MBM","179777","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Occhioni","Dombrowski, L.T.; et al.; et al.","960","1964","11","19","Brazil","Paraná","Curitiba","Capão da Imbuia","-49.2731018066406","-25.4277992248535","25180","MBM179777","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:12:47-03","MBM","MBM","179772","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Silva, N.M.F.","Dombrowski, L.T.","5619","1974","12","13","Brazil","Paraná","Curitiba","Capão da Imbuia","-49.2731018066406","-25.4277992248535","25180","MBM179772","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:12:47-03","MBM","MBM","179771","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Silva, N.M.F.","Dombrowski, L.T.","5639","1974","12","26","Brazil","Paraná","Curitiba","Capão da Imbuia","-49.2731018066406","-25.4277992248535","25180","MBM179771","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:12:47-03","MBM","MBM","257213","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Konno, T.","Poliquesi, C.B.; Cordeiro, J.; Barboza, E.; Cordeiro, J.; Barboza, E.","618","1999","11","24","Brazil","Paraná","Ponta Grossa","Buraco do Padre","-50.1618995666504","-25.0949993133545","46557","MBM257213","auto",NA,NA,"Southern America",NA,"MBM257213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:12:47-03","MBM","MBM","63937","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Fontella, J.","Hatschbach, G.","9002",NA,NA,NA,"Brazil","Paraná","Campina Grande do Sul","Rio Canguiri","-49.0553016662598","-25.3055992126465","55154","MBM063937","auto",NA,NA,"Southern America",NA,"MBM063937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:12:47-03","MBM","MBM","63909","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Fontella, J.","Hatschbach, G.","592","1947","01","09","Brazil","Paraná","Castro","Estrada do Cerne, km 166-177","-50.0119018554688","-24.7910995483398","50779","MBM063909","auto",NA,NA,"Southern America",NA,"MBM063909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-21 16:12:47-03","MBM","MBM","179774","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Occhioni","Dombrowski, L.T.","1006","1964","11","28","Brazil","Paraná","Curitiba","Campo Comprido","-49.2731018066406","-25.4277992248535","25180","MBM179774","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:12:47-03","MBM","MBM","258599","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Farinaccio, M.A.","Dombrowski, L.T.","6843","1977","01","03","Brazil","Paraná","Curitiba","Capão da Imbuia","-49.2731018066406","-25.4277992248535","25180","MBM258599","auto",NA,NA,"Southern America","Ereta, pétalas verde-pálida. Campo.","MBM258599","2003","12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:12:47-03","MBM","MBM","179775","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","dusenii","Oxypetalum dusenii","Malme","Occhioni, P.","Dombrowski, L.T.; et al.; et al.","1281","1965","01","05","Brazil","Paraná","Curitiba","Capão da Imbuia","-49.2731018066406","-25.4277992248535","25180","MBM179775","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
