"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","imagecode","geoFlag","phylum","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","fieldNumber","preparationType","class","order","individualCount","typeStatus","previousCatalogNumber"
"1","2020-11-13 09:19:03-03","UFRJ","RFA","7679","PreservedSpecimen","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","A.P. Duarte","8091","1964","06","19","Brasil","Minas Gerais","Minas Gerais","Serra do Cipó, km 116","RFA27107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:15:56-03","UFV","VIC","8247","PreservedSpecimen","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Moura, L.S. de; et al.","388","1983","05","14","Brasil","Minas Gerais","Ouro Preto","Lavras Novas","VIC008247","Badini, J.","1983","07","07","-43.5080986022949","-20.2875003814697","44599","Subarbusto, flores rosa-vinosas.","VIC008247","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:15:56-03","UFV","VIC","8246","PreservedSpecimen","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Moura, L.S. de; Vieira, M.F.","379","1983","05","14","Brasil","Minas Gerais","Ouro Preto","Lavras Novas","VIC008246","Badini, J.","1983","07","07","-43.5080986022949","-20.2875003814697","44599",NA,"VIC008246","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:06:13-03","UNICAMP","UEC","120430","S","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Semir, J; Mansanares, ME; Belinello, R","01/75","2001","06","20","Brazil","Minas Gerais","Diamantina","5 km da cidade em direção à Gouveia.","UEC128503","Contro, FL","2015","09",NA,"-43.654111","-18.248556",NA,NA,"UEC128503",NA,"Magnoliopsida","-43.654111","-18.248556","1371","1371",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:24:47-03","UNICAMP","UEC","39347","S","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Semir, J; Tamashiro, JY; Leitão Filho, HF; Martins, FR","17284","1985","06","04","Brazil","Minas Gerais",NA,"Estrada para Conselheiro da Mata.","UEC128508","Leitão Filho, HF; et al.","1989","05",NA,NA,NA,NA,"Arbusto até 1,0m; flores brancacentas.; Campo rupestre entre pedras.","UEC128508",NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:24:47-03","UNICAMP","UEC","40167","S","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Tamashiro, JY; Leitão Filho, HF; Semir, J; Martins, FR","17481","1985","06","05","Brazil","Minas Gerais","Diamantina","Estrada Diamantina-Biribiri, km 10","UEC093997",NA,NA,NA,NA,"-43.6002998352051","-18.2493991851807","101169","Arbusto até 2m, flores creme","UEC093997","auto","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:24:47-03","UNICAMP","UEC","2148","S","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Joly, AB; Semir, J; Joly, AM; Martins, F","2306","1972","05","28","Brazil","Minas Gerais","Jaboticatubas","Estrada da Usina.","UEC128504","Leitão Filho, HF",NA,NA,NA,"-43.7449989318848","-19.513599395752","31264","Flores creme. Altura 60 cm.","UEC128504","auto","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:24:47-03","UNICAMP","UEC","2150","S","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Joly, AB; Semir, J; Joly, AM; Martins, F","2238","1972","05","28","Brazil","Minas Gerais","Jaboticatubas","Estrada da Usina.","UEC128509",NA,NA,NA,NA,"-43.7449989318848","-19.513599395752","31264","Arbusto até 60 a 70 cm. Flores brancas.","UEC128509","auto","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:24:47-03","UNICAMP","UEC","2146","S","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Joly, AB; Semir, J; Joly, AM; Martins, F","2218","1972","05","27","Brazil","Minas Gerais","Jaboticatubas","Km 126 ao longo da rodovia Lagoa Santa-Conceição do Mato Dentro-Diamantina.","UEC126193","Leitão Filho, HF",NA,NA,NA,"-43.7449989318848","-19.513599395752","31264","Flores brancas. Arbusto até 1,00 m.","UEC126193","auto","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:24:47-03","UNICAMP","UEC","2149","S","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Joly, AB; Semir, J; Joly, AM; Martins, F","2192","1972","05","27","Brazil","Minas Gerais","Jaboticatubas","Km 127 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","UEC128505",NA,NA,NA,NA,"-43.7449989318848","-19.513599395752","31264","Subarbusto até 1,00m. Flores brancas.","UEC128505","auto","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:24:47-03","UNICAMP","UEC","2147","S","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Joly, AB; Gemtchujnicov, I; Semir, J; Giulietti, AM; Joly, AM; Martins, F","1200","1972","03","05","Brazil","Minas Gerais","Jaboticatubas","Km 2. Estrada da Usina.","UEC128506","Leitão Filho, HF",NA,NA,NA,"-43.7449989318848","-19.513599395752","31264","1,20 m; capítulo creme.","UEC128506","auto","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:24:47-03","UNICAMP","UEC","51246","S","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Leitão Filho, HF; Carvalho-Okano, RM; et al.","21750","1989","07","02","Brazil","Minas Gerais","Santana do Riacho","Cdeia do Espinhaço, Serra do Cipó.","UEC128510",NA,NA,NA,NA,"-43.7144012451172","-19.1688995361328","26557","Sub-arbusto prostrado ca. 0,5m alt., capítulos de flores brancas.; Campo rupestre.","UEC128510","auto","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:24:47-03","UNICAMP","UEC","520100","S","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Vasconcellos, MB; Queiroz, LP; et al.","21640","1989","07","02","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó.","UEC128511",NA,NA,NA,NA,"-43.7144012451172","-19.1688995361328","26557","Arbusto cerca de 2 m, flores brancas.","UEC128511","auto","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-06 10:13:51-03","UFOP","OUPR","30702","PreservedSpecimen","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Pira, J.C.; Echternacht, L.; Pedrosa, L.G. & Dias, J.V.","23","2018","10","02","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha para o Pico Itacolomi, próximo à Pedra do Porco.",NA,"Pedrosa, L.G.","2018","10","02","-43.492883","-20.433528",NA,"Arbusto, ca. 40 - 50 cm.; Solo arenoso com vegetação herbácea rala.",NA,NA,NA,"-43.492883","-20.433528","1569","1569",NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-06 10:13:51-03","UFOP","OUPR","30703","PreservedSpecimen","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Pira, J.C.; Echternacht, L.; Pedrosa, L.G. & Dias, J.V.","24","2018","10","02","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Lagoa seca, borda da trilha para Pico Itacolomi.",NA,"Pedrosa, L.G.","2018","10","02","-43.487597","-20.432097",NA,"Arbusto, ca. 40 - 50 cm.; Solo arenoso com vegetação herbácea rala.",NA,NA,NA,"-43.487597","-20.432097","1609","1609",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-03-12 10:29:00-03","UFOP","OUPR","35085","PreservedSpecimen","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Pira, J.C.; Echternacht, L. & Rosa, R.M.S.","41","2019","03","07","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha para o Pico Itacolomi, ca de 500m adiante da entrada da trilha.",NA,"Pira, J.C.","2019","03","07","-43.494444","-20.431667",NA,"Arbusto com ca de 1,5m, apresentado botões verdes, flores cremes e estames brancos",NA,NA,NA,"-43.494444","-20.431667","1523","1523",NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-05 16:45:14-03","UFOP","OUPR","14768","PreservedSpecimen","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Badini, J.; Silva, J.L.","s.n.","1979","06","09","Brasil","Minas Gerais","Ouro Preto","Alto do Itacolomi",NA,"Badini, J.","1979","06","09","-43.5080986022949","-20.2875003814697","44599","Campo. Subarbusto. Flores pálidas",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-05 16:45:14-03","UFOP","OUPR","14767","PreservedSpecimen","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Badini, J.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Chapada",NA,"Badini, J.","1974","06","23","-43.5080986022949","-20.2875003814697","44599","Campo. Subarbusto. Flores brancas",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-03-12 10:29:00-03","UFOP","OUPR","34138","PreservedSpecimen","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Pedrosa, L.G.","1614","2019","05","02","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi",NA,"Pedrosa, L.G.","2019","05","02","-43.5080986022949","-20.2875003814697","44599","Erva/ subarbusto, 70cm. Flores alvas. Campo rupestre.",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-05 16:45:14-03","UFOP","OUPR","31464","PreservedSpecimen","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Pedrosa, L.G.","454","2018","06","16","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha Pedra do Sal.",NA,"Nakajima, J.N.","2019","06",NA,"-43.5080986022949","-20.2875003814697","44599","Subarbusto, ca. 70cm. Flores alvas/ creme. Campo de altitude.",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-05 16:45:14-03","UFOP","OUPR","14769","PreservedSpecimen","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Badini, J.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Serra do Itatiaia",NA,"Badini, J.","1974","06","23","-43.5080986022949","-20.2875003814697","44599","Campo. Subarbusto. Flores brancas",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:16:42-03","MBM","MBM","38213","PreservedSpecimen","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardn.","Duarte, A.P.","8091","1963","06","19","Brazil","Minas Gerais",NA,"Serra do Cipó, km 116","MBM038213",NA,NA,NA,NA,NA,NA,NA,NA,"MBM038213",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:16:42-03","MBM","MBM","415697","PreservedSpecimen","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardn.","Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","5512","2018","11","05","Brazil","Minas Gerais","Santana do Riacho","Lapinha da Serra, trilha do Pico da Lapinha","MBM415697","Barboza, E.","2019","02","05","-43.669722","-19.1125",NA,"Arbusto com 1,7 m de altura; capítulos brancos.; Campo rupestre.",NA,NA,NA,"-43.669722","-19.1125","1196","1196","Southern America",NA,NA,NA,NA,NA,NA,NA
"24","2020-12-21 16:16:42-03","MBM","MBM","103287","PreservedSpecimen","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardn.","Hatschbach, G.; et al.; et al.","49710","1985","09","15","Brazil","Minas Gerais","Diamantina","Rodovia Guinda - Conselheiro Mata","MBM103287","Robinson, H.",NA,NA,NA,"-43.6002998352051","-18.2493991851807","101169",NA,"MBM103287","auto",NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:16:42-03","MBM","MBM","54486","PreservedSpecimen","Plantae","Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardn.","Gibbs, P.E.; Abbott, R.; Andrade, J.B. de; Abbott, R.; Andrade, J.B. de","5126","1977","05","15","Brazil","Minas Gerais","Montes Claros","30km SE de Montes Claros, estrada para Juramento","MBM054486","Holmes, W.C.",NA,NA,NA,"-43.8616981506348","-16.7350006103516","72568",NA,"MBM054486","auto",NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"26","2015-09-04 05:36:58-03","MNHN","RECOLNAT_MNHN_P","P02694860","PreservedSpecimen",NA,"Asteraceae","Mikania","premnifolia","Mikania premnifolia","Gardner","Pohl",NA,NA,NA,NA,"Brasil",NA,NA,". Brasil, América do Sul","P02694860",NA,NA,NA,NA,NA,NA,NA,". s.d. Hrb. Musei Palat. Vindob <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02694860' target='other'> <mi>dwc_moreinfo</mi></a>","P02694860_01",NA,NA,NA,NA,NA,NA,NA,"235","hb",NA,NA,NA,NA,NA
