"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","dayIdentified","class","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00941983","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Trembleya","chamissoana","Trembleya chamissoana","Naudin","H. L. de M. Barreto","6745","1933","06","24","South America","Brazil","Minas Gerais","Santa Luzia","Serra do Cipó.","-43.539757","-19.388386","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022640' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941983","NY00941983_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:35:27-03","UNICAMP","UEC","159128","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Trembleya","chamissoana","Trembleya chamissoana","Naudin","Almeda, F; Martins, AB; Fritsch, PW; Belinello, R","8580","2001","10","22",NA,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, 20 Km beyond turnoff to Serra Morena off the road from Lagoa Santa to Conceição do Mato Dentro.&nf;Parque Nacional Serra do Cipó at the Vellozia Gigante site ca 0.5 Km from main road. Campo rupreste sur-rounded by campo graminoso. Loca","-43.51","-19.248333",NA,"Shrub 0.5 m tall. Petals magenta. Large anthers red-marron; small anthers yellow like appendages. Filaments connective and style red-pink","UEC032756","UEC032756","Pacifico, R","2015","04","-43.51","-19.248333","1276","1276",NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:35:27-03","UNICAMP","UEC","126140","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Trembleya","chamissoana","Trembleya chamissoana","Naudin","Mello Barreto, HL","6745","1933","06","24",NA,"Brazil","Minas Gerais","Santa Luzia","Serra do Cipó.","-43.8513984680176","-19.7696990966797",NA,"Arbusto 0,70, muito frequente.; Campo.","UEC087853","UEC087853","Pacifico, R","2015","07",NA,NA,NA,NA,"19939","auto",NA,NA,NA,NA
"4","2021-03-01 16:35:27-03","UNICAMP","UEC","197020","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Trembleya","chamissoana","Trembleya chamissoana","Naudin","Pacifico, R; Carmo, A","154","2015","04","29",NA,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Parque Nacional da Serra do Cipó, base ICMBio Alto Palácio","-43.7144012451172","-19.1688995361328",NA,"Arbusto, 0,5m de altura, pétalas rosa forte, filetes rosa, estames menores com anteras amarelas, estames maiores com anteras roxas e apêndice do conectivo amarelo, estilete rosa.; Campo em área de brejo","UEC142377","UEC142377","Pacifico, R","2015","04",NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA
"5","2021-03-01 16:35:27-03","UNICAMP","UEC","104990","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Trembleya","chamissoana","Trembleya chamissoana","Naudin","Kameyama, C; Zappi, DC; Prado, J; Wanderley, MDGL; Dokkedal, AL; Scatena, VL","s.n.","1987","07","12",NA,"Brazil","Minas Gerais","Santana Do Riacho","Rod. Belo Horizonte- Conceição do Mato Dentro km 132 , Serra da Salitreira, Pq Nacional da Serra do Cipó, próximo a sede.","-43.7144012451172","-19.1688995361328",NA,"Subarbusto ca. 30cm alt. Pétalas roxas, filetes vermelhos, anteras amarelas.","UEC108844","UEC108844","Versiane, AFA","2016","03",NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA
"6","2009-06-26 10:33:12-03","MNHN","RECOLNAT_MNHN_P","P00723508","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Trembleya","chamissoana","Trembleya chamissoana","Naudin","Sellow",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Brasilia meridionalis : Serra von Itambé",NA,NA,"hb","Humboldt ded. 1836 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723508' target='other'> <mi>dwc_moreinfo</mi></a>","P00723508","P00723508_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"lectotype",NA,NA,NA
"7","2020-12-11 11:38:43-03","UFMG","BHCB","158907","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Trembleya","chamissoana","Trembleya chamissoana","Naudin","Rocha, MJR; Ribeiro, RC","694","2012","06","18","Southern America","Brasil","Minas Gerais","Morro do Pilar","Parque Nacional da Serra do Cipó. Entroncamento da MG 010 em direção à Morro do Pilar","-43.495389","-19.219444",NA,"Prensado em álcool; Subarbusto ca de 60 cm. Pétalas róseas; estames amarelos","BHCB040191","BHCB040191",NA,"2017","02","-43.495389","-19.219444",NA,NA,NA,NA,NA,"13",NA,NA
"8","2020-12-11 11:38:43-03","UFMG","BHCB","161023","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Trembleya","chamissoana","Trembleya chamissoana","Naudin","Souza, FS; Miranda, E","1639","2012","08","31","Southern America","Brasil","Minas Gerais","Itabira","Serra dos Alves, Cânion Boca da Serra","-43.499444","-19.487778",NA,"Diagnóstico Ambiental; Arbusto com flores roxas; Campo Rupestre Quartzítico","BHCB040009",NA,NA,"2017","02","-43.499444","-19.487778","1462","1462",NA,NA,NA,"13",NA,NA
"9","2020-12-11 11:38:43-03","UFMG","BHCB","186801","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Trembleya","chamissoana","Trembleya chamissoana","Naudin","Rocha, MJR; Oliveira, CT","1312","2017","01","24","Southern America","Brasil","Minas Gerais","Itambé do Mato Dentro",NA,"-43.331944","-19.365833",NA,"Arbusto ca 1,60m de altura. Frutos maduros","BHCB186801",NA,NA,"2017","02","-43.331944","-19.365833",NA,NA,NA,NA,NA,"14",NA,NA
"10","2020-12-11 11:38:43-03","UFMG","BHCB","72773","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Trembleya","chamissoana","Trembleya chamissoana","Naudin","Barreto, HLM","6745","1933","06","24","Southern America","Brasil","Minas Gerais","Santa Luzia","Serra do Cipó","-43.8513984680176","-19.7696990966797",NA,"Arbusto 0,7m, alta frequência.; Campo.","BHCB041723","BHCB041723",NA,"1997","03",NA,NA,NA,NA,"19939","auto",NA,"12",NA,NA
"11","2021-02-11 17:20:25-03","UFPR","UPCB","45768","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Trembleya","chamissoana","Trembleya chamissoana","Naud.","Mello Barreto","6745","1933","06","24",NA,"Brasil","Minas Gerais","Santa Luzia","Serra do Cipó","-43.8513984680176","-19.7696990966797",NA,"Arbusto 70cm, muito frequente. Campo..","UPCB0023064","UPCB0023064","Mello Barreto",NA,NA,NA,NA,NA,NA,"19939","auto",NA,NA,NA,NA
"12","2021-03-15 18:28:52-03","USP","SPF","218463","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Trembleya","chamissoana","Trembleya chamissoana","Naudin","Pena, MA","417","2007","07","08",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 118 da rodovia MG 010. Próximo à estátua do Juquinha.","-43.550556","-19.261389",NA,"Erva. Face abaxial das folhas ferrugínea, flores roxas, estames lilás.","SPF00218463",NA,"Pacífico, RB","2016","02","-43.550556","-19.261389","1326","1326",NA,NA,NA,NA,NA,NA
"13","2019-11-13 11:26:03-03","USP","SPF","65851","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Trembleya","chamissoana","Trembleya chamissoana","Naudin","Kameyama, C","CFSC10403","1987","07","12",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,"SPF00065851",NA,"Pacífico, RB","2014","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-13 11:26:03-03","USP","SPF","225903","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Trembleya","chamissoana","Trembleya chamissoana","Naudin","Mello-Barreto, HL","6745","1933","06","24",NA,"Brasil","Minas Gerais","Santa Luzia","Serra do Cipó","-43.8513984680176","-19.7696990966797",NA,NA,"SPF00225903",NA,"Mello-Barreto, HL",NA,NA,NA,NA,NA,NA,"19939","auto",NA,NA,NA,NA
"15","2019-11-13 11:26:03-03","USP","SPF","153016","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Trembleya","chamissoana","Trembleya chamissoana","Naudin","Mello-Barreto, HL","6745","1933","06","24",NA,"Brasil","Minas Gerais","Santa Luzia","Serra do Cipó","-43.8513984680176","-19.7696990966797",NA,NA,"SPF00153016",NA,"Mello-Barreto, HL",NA,NA,NA,NA,NA,NA,"19939","auto",NA,NA,NA,NA
