"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","phylum","order","scientificNameAuthorship","typeStatus","continentOcean","preparationType","barcode","imagecode","class","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","relatedCatalogItem","previousCatalogNumber"
"1","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4529","S","Plantae","Asteraceae","Lychnophora","reticulata","Lychnophora reticulata","Carlos Alberto Ferreira Júnior","2018","07","15","Carlos Alberto Ferreira Junior; Lucas Assis e Kelen Soares","CAF1673","2018","07","15","Brasil","MG","Santana do Riacho","Serra do Cipó, próximo ao Juquinha","-43.7144012451172","-19.1688995361328","43°33'29","19°16'18","26557","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1239481","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","reticulata","Lychnophora reticulata",NA,NA,NA,NA,"G. Gardner","4828","1840","07",NA,"Brazil","Minas Gerais",NA,"[From protologue: Near Formigas]",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1470623' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Asterales","Gardner","isotype","South America","sheet","NY01239481","NY01239481_01",NA,NA,NA,NA,NA,NA
"3","2019-11-19 15:43:22-03","UNEB","HUNEB","11808","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","reticulata","Lychnophora reticulata",NA,NA,NA,NA,"Almeida, G.S.S.","414","2006","05","30","Brasil","Minas Gerais","Mariana","Parque Estadual do Itacolomi: Trilha do Sertão.","-43.4160995483398","-20.377799987793",NA,NA,"33524",NA,NA,"auto","Angiospermae","Florideophycidae","Gardn.",NA,NA,NA,"HUNEB0011808",NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"4","2019-11-19 15:43:22-03","UNEB","HUNEB","11809","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","reticulata","Lychnophora reticulata",NA,NA,NA,NA,NA,"701","2007","06","06","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi: Trilha da Lagoa Seca.","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,"auto","Angiospermae","Florideophycidae","Gardn.",NA,NA,NA,"HUNEB0011809",NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"5","2019-11-19 15:43:22-03","UNEB","HUNEB","11759","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","reticulata","Lychnophora reticulata",NA,NA,NA,NA,"Almeida, G.S.S.","198","2005","12","02","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi: Trilha do Calais.","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,"auto","Angiospermae","Florideophycidae","Gardn.",NA,NA,NA,"HUNEB0011759",NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"6","2021-03-30 12:34:55-03","EAO","IAN","14102","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","reticulata","Lychnophora reticulata","Barreto, M",NA,NA,NA,"Magalhães, MG","984","1942","03","05","Brasil","Minas Gerais",NA,"Canga. Serra do Rola Moça. Divisa de Betim e Brumadinho.",NA,NA,NA,NA,NA,NA,"Arbusto de 0,80m de altura; flores violáceas. Pouco frequente.",NA,"Dicotiledônea",NA,"Gardner",NA,"Southern America",NA,"IAN014102","IAN014102 IAN014102_e",NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:34:55-03","EAO","IAN","93624","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","reticulata","Lychnophora reticulata",NA,NA,NA,NA,"Glaziou, AFM","14968",NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotiledônea",NA,"Gardner",NA,"Southern America",NA,"IAN093624",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-31 13:36:08-03","MN","R","15575","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","reticulata","Lychnophora reticulata","Semir, J.","1992","11",NA,"Glaziou, A.F.M.","14968","1884","11","11","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central",NA,NA,NA,"Gardner",NA,NA,NA,"R000015575","R000015575_001",NA,NA,NA,NA,NA,NA
"9","2019-02-15 11:34:19-02","IPA","IPA","12536","S","Plantae","Asteraceae","Lychnophora","reticulata","Lychnophora reticulata","Barroso, G.M.","1961","09",NA,"Andrade-Lima","61-3710","1961","02","04","Brasil","Minas Gerais",NA,"Serra do Rola-Moça, Próximo de Belo Horizonte.",NA,NA,NA,NA,NA,NA,"Arbusto 0,40 - 0,60m. Flores roxo-claro; dorso das folhas alvacento.",NA,"Plantae",NA,"Gardner, G.",NA,"Southern America",NA,"IPA0012536","IPA0012536",NA,"1300","1400",NA,NA,NA
"10","2020-12-20 21:15:56-03","UFV","VIC","21884","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","reticulata","Lychnophora reticulata",NA,NA,NA,NA,"Almeida, G.S.S.; Custódio, J.","414","2006","05","30","Brasil","Minas Gerais","Mariana","Parque Estadual do Itacolomi, Trilha do sertão","-43.4160995483398","-20.377799987793",NA,NA,"33524",NA,"Arbusto de 1,5 m, flores liláses e alvas, papilho vináceo.","auto",NA,NA,"Gardner",NA,NA,NA,"VIC021884",NA,NA,NA,NA,NA,NA,NA
