"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","class","relatedCatalogItem","fieldNumber","verbatimLongitude","verbatimLatitude","individualCount","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1731865","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Barylucuma","decussata","Barylucuma decussata","Ducke","type","W. A. Ducke","s.n. [=herb. RB 17607]","1923","04","29","South America","Brazil","Pará","Almeirim","Serra de Tabatinga, nos campos de Arragalhos","-52.5816993713379","-1.52332997322083","564600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1961762' target='other'> <mi>dwc_moreinfo</mi></a>","NY01731865","NY01731865_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:49:27-03","EAO","IAN","135031","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","decussata","Pouteria decussata","(Ducke) Baehni",NA,"Silva, NT da","3176","1970","05","30","Southern America","Brasil","Pará",NA,"Estrada entre São Miguel e Braço. Mata de terra firme.",NA,NA,NA,NA,"Árvore de 15m e 23cm de diâmetro; flor esverdeada.","IAN135031",NA,NA,"Pennington, TD","1990",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:44:12-03","EAO","IAN","XILO4459","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","decussata","Pouteria decussata","(Ducke) Baehni",NA,"Silva, NT da","3176","1970","05","30","Southern America","Brasil","Pará",NA,"Estrada entre São Miguel e Braço. Mata de terra firme.",NA,NA,NA,NA,"Árvore de 15m e 23cm de diâmetro; flor esverdeada.","IANXILO4459",NA,NA,"Pennington, TD","1990",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:04:28-03","NBC","NL-BOTANY","U 0006643","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","decussata","Pouteria decussata","(Ducke) Baehni","isolectotype","Ducke A",NA,"1923","04","29","Southern America","Brazil","Pará",NA,"Serra de Tabatinga prope Arrayollos (civ. Pará)",NA,NA,NA,NA,"silvula in campis<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006643 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006643","NL-U0006643",NA,"Pennington TD",NA,"Magnoliopsidae","63753",NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:04:28-03","NBC","NL-BOTANY","U 0098938","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","decussata","Pouteria decussata","(Ducke) Baehni","syntype","Ducke A",NA,"1918","09","01","Southern America","Brazil","Pará",NA,"Serra de Ubintuba regione Intahy inter Almeirim et Prainha (civ. Pará).",NA,NA,NA,NA,"Silva siciore.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200098938 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0098938","NL-U0098938",NA,NA,NA,"Magnoliopsidae","63752",NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:04:28-03","NBC","NL-BOTANY","U 0250452","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","decussata","Pouteria decussata","(Ducke) Baehni","syntype","Ducke A",NA,"1923","04","17","Southern America","Brazil","Pará",NA,"Circa Serra Pontada regione Intahy inter Almeirim et Prainha. (civ. Pará)",NA,NA,NA,NA,"Campina rana saxosa.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200250452 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0250452","NL-U0250452",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"7","2013-04-01 09:15:19-03","IPT","BCTW","16480","S","Plantae","Magnoliophyta",NA,NA,"Barylucuma","decussata","Barylucuma decussata","Ducke",NA,NA,NA,NA,NA,NA,NA,"Brasil","Pará",NA,"Jari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA
"8","2015-09-25 12:22:40-03","MNHN","RECOLNAT_MNHN_P","P00640566","PreservedSpecimen",NA,NA,NA,"Sapotaceae","Pouteria","decussata","Pouteria decussata","(Ducke) Baehni",NA,"Ducke, A.",NA,"1923","4","29",NA,"Brésil",NA,NA,"In silvula collina Sicciore Serra de Fabatinga prope Arrayollos, civ. Parà",NA,NA,NA,"hb","Reçu le 4 mars 1931 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00640566' target='other'> <mi>dwc_moreinfo</mi></a>","P00640566","P00640566_01",NA,"Pennington",NA,NA,NA,"17607",NA,NA,NA,NA,NA
"9","2021-01-10 20:43:04-03","INPA","INPA","246871","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Barylucuma","decussata","Barylucuma decussata","Ducke",NA,"Ducke, A","JB17607","1923","04","29","Southern America","Brasil","Pará","Almeirim","Serra de Tabatinga, Serra de Tabatinga, nos campos de Arragalhos.","-53","-1.5",NA,NA,NA,"INPA0246871","INPA0246871 INPA0246871_e INPA0246871_num",NA,NA,NA,NA,NA,NA,"-53","-1.5",NA,NA,NA
"10","2021-01-10 20:43:15-03","INPA","INPA","187955","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","decussata","Pouteria decussata","(Ducke) Baehni",NA,"Nascimento, JR do","INPA187955","1982","08","12","Southern America","Brasil","Amazonas","Manaus","Distrito Agropecuário, ZF3., Distrito Agropecuário da SUFRAMA, Rod. BR-174, Km 72, depois 6 Km Oeste da BR, Fazenda Dimona","-60.083333","-2.316667",NA,NA,NA,"INPA0187955","INPA0187955 INPA0187955_e INPA0187955_e1",NA,NA,NA,NA,NA,NA,"-60.083333","-2.316667",NA,NA,NA
"11","2020-08-31 08:54:50-03","INPA","INPA","158596","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","decussata","Pouteria decussata","(Ducke) Baehni",NA,"Silva, NT da","5303","1983","09","13","Southern America","Brasil","Pará","Almeirim","Area do Agua Azul, Area do Agua Azul","-52.2","-0.8",NA,NA,NA,"INPA0158596","INPA0158596 INPA0158596_e INPA0158596_e1",NA,NA,NA,NA,NA,NA,"-52.2","-0.8",NA,NA,NA
"12","2020-09-12 05:00:02-03","US","US","1517594","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Barylucuma","decussata","Barylucuma decussata","Ducke","Isosyntype","A. Ducke","17607","1923","4","29","South America - Neotropics","Brazil","Pará",NA,"Serra de Tabatinga prope Arrayollos.",NA,NA,NA,NA,NA,"US00323767","US00323767_01",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA,NA
"13","2020-09-12 05:00:02-03","US","US","1518606","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Barylucuma","decussata","Barylucuma decussata","Ducke","Isolectotype","A. Ducke","17606","1923","4","17","South America - Neotropics","Brazil","Pará",NA,"Near Serra Pontada.",NA,NA,NA,NA,NA,"US00930737","US00930737_01",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA,NA
"14","2019-09-04 18:53:31-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Barylucuma","decussata","Barylucuma decussata",NA,"Type [status unknown]","A. Ducke",NA,"1923","4","29","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA
"15","2019-09-04 19:26:41-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Barylucuma","decussata","Barylucuma decussata",NA,"Type [status unknown]","A. Ducke",NA,"1913",NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA
"16","2009-11-26 13:56:40-02","INPA","INPAW","9805","S","Plantae",NA,NA,"Velloziaceae","Barylucuma","decussata","Barylucuma decussata","Ducke",NA,"Silva, N.T.","5303","1983","09","13",NA,"Brasil","Par&#225;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N.T. Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-05-22 17:52:56-03","UFMT","UFMT","17606","S","Plantae",NA,NA,"Sapotaceae","Barylucuma","decussata","Barylucuma decussata","Ducke","Isotype","Ducke, A.","s.n.","1923","04","17",NA,"Brasil","Pará",NA,"Região das Serras do Juthay de Almeirim, campinarana dos arredores da Serra Pontada.",NA,NA,NA,NA,"Árvore de 3-5m, flor verde-pardacenta.","UFMT00017606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2014-09-23 10:59:41-03","G","G","G00439485","S","Plantae",NA,NA,"Sapotaceae","Pouteria","decussata","Pouteria decussata","(Ducke) Baehni","ISOLECTOTYPUS of Barylucuma decussata Ducke","Ducke, A.","17607","1923","04","29","AMERIQUE DU SUD","Brazil","Pará",NA,NA,"-52.53","-5.64861111",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00439485",NA,NA,"Pennington, T. D.","1986",NA,NA,NA,"-52.53","-5.64861111",NA,"01","01"
