"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","previousCatalogNumber","typeStatus","fieldNumber","infraspecificEpithet","individualCount"
"1","2021-04-05 14:25:16-03","UNESC","CRI","881","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","micans","Crotalaria micans","Link","Zenaide P. Topanotti","D. P. Cesconeto","1996","05","05","Brasil","Santa Catarina","Siderópolis","Fundo de quintal.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","112","112","CRI002712","CRI002712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","590829","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","anagyroides","Crotalaria anagyroides","Kunth","G. P. Lewis","S. A. Mori","1978","06","07","Brazil","Bahia","Itacaré","Rodovia entre Itacaré e BR-101 (BA-654), a 22.8km de Itacaré","-38.9967","-14.2778",NA,NA,NA,NA,"NY00590829","NY00590829_01","Magnoliophyta","Fabales","10177","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=482877' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","476762","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","anagyroides","Crotalaria anagyroides","Kunth","S. M. Silva","R. X. Lima","1993","03","21","Brazil","Paraná",NA,"Leônidas Marques, margem do Rio Iguaçu","-53.67","-25.5",NA,NA,NA,NA,"NY00476762","NY00476762_01","Magnoliophyta","Fabales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=482880' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","590947","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","anagyroides","Crotalaria anagyroides","Kunth",NA,"C. M. de Souza","1984","01","26","Brazil","São Paulo","Sao Paulo","Vila Albertina, Jardim Dayse","-46.63","-23.5403",NA,NA,NA,NA,"NY00590947","NY00590947_01","Magnoliophyta","Fabales","7254","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=482888' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","590831","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","anagyroides","Crotalaria anagyroides","Kunth","H. C. de Lima","C. M. Lira","1979","02","12","Brazil","Rio de Janeiro","Nova Friburgo","Barracao dos Mendes (km 40 da Rodovia Teresópolis-Nova Friburgo)","-42.5308","-22.2819",NA,NA,NA,NA,"NY00590831","NY00590831_01","Magnoliophyta","Fabales","34","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=482876' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","590827","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","anagyroides","Crotalaria anagyroides","Kunth",NA,"I. Silberbauer-Gottsberger","1978","03","02","Brazil","São Paulo","Botucatu","Vitoriana, road to Botucatu","-48.4167","-22.7667",NA,NA,NA,NA,"NY00590827","NY00590827_01","Magnoliophyta","Fabales","16-2378","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=482883' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","476765","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","anagyroides","Crotalaria anagyroides","Kunth","D. R. Windler","G. Eiten","1960","02","09","Brazil","São Paulo","Moji-Guaçu","Campos das Sete Lagoas. Fazenda Campininha, just north of Rio Moji-Guaçu. 7km NNW of Padua Sales","-47.142","-22.242",NA,NA,"575","625","NY00476765","NY00476765_01","Magnoliophyta","Fabales","1689","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=482884' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","476763","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","anagyroides","Crotalaria anagyroides","Kunth","R. C. Barneby","A. P. Duarte","1966","02","18","Brazil","Rio de Janeiro",NA,"Serra de Friburgo para Terezópolis",NA,NA,NA,NA,NA,NA,"NY00476763","NY00476763_01","Magnoliophyta","Fabales","9577","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=482873' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","590948","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","anagyroides","Crotalaria anagyroides","Kunth","G. P. Lewis","R. M. Harley","1977","03","18","Brazil","Bahia",NA,"Middle NE slopes of the Pico das Almas ca. 25km WNW of the Vila do Rio de Contas","-41.95","-13.55",NA,NA,"1500","1600","NY00590948","NY00590948_01","Magnoliophyta","Fabales","19636","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=482882' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","590828","PreservedSpecimen","Plantae","Fabaceae","Crotalaria","anagyroides","Crotalaria anagyroides","Kunth",NA,"G. K. Gottsberger","1967","02","28","Brazil","São Paulo","Itirapina","2km W of the village","-47.8167","-22.25",NA,NA,NA,NA,"NY00590828","NY00590828_01","Magnoliophyta","Fabales","41-28267","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=482886' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
