"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","occurrenceRemarks","barcode","class","order","day","imagecode","typeStatus","fieldNumber","preparationType","dayIdentified","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","individualCount"
"1","2021-03-30 12:54:35-03","EAO","IAN","107914","PreservedSpecimen","Plantae","Monocotiledônea","Xyridaceae","Xyris","nigricans","Xyris nigricans","A.Nilsson","Wanderley, MGL","1988","01","Magalhães, MG","18005","1960","08","Southern America","Brasil","Minas Gerais","Serra do Cipó","Local arenoso, úmido, plano com tafete herbaceo. Estrada para Conceição.","Frequente em grupos.","IAN107914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:54:35-03","EAO","IAN","35047","PreservedSpecimen","Plantae","Monocotiledônea","Xyridaceae","Xyris","nigricans","Xyris nigricans","A.Nilsson",NA,NA,NA,"Sellow, F","s.n.",NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN035047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:21:08-03","NBC","NL-BOTANY","U.1772384","PreservedSpecimen","Plantae",NA,"Xyridaceae","Xyris","nigricans","Xyris nigricans","(Alb.) Nilsson",NA,NA,NA,"Maguire B; Mendes Magalhaes G; Maguire CK",NA,"1960","08","Southern America","Brazil",NA,NA,"Plants of Minas Gerais, on summit of Serra do Cipo, km 112-128 from Hotel Chapeu do Sol.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1772384 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1772384","Magnoliopsidae","Poales","07","NL-U1772384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:39:17-02","BGBM","B","B 10 0242237","S","Plantae",NA,"Xyridaceae","Xyris","nigricans","Xyris nigricans","L.A.Nilsson",NA,NA,NA,"F. Sellow",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100242237 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100242237",NA,NA,NA,"B100242237","paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-04 03:20:52-03","MNHN","RECOLNAT_MNHN_P","P00752388","PreservedSpecimen",NA,NA,"Xyridaceae","Xyris","nigricans","Xyris nigricans","L.A.Nilsson","Smith",NA,NA,"Glaziou, A.",NA,"1884","6",NA,"Brésil",NA,NA,"Haut de l'Itacolumy","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00752388' target='other'> <mi>dwc_moreinfo</mi></a>","P00752388",NA,NA,"25","P00752388_01","type","15513","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-30 02:42:34-03","MNHN","RECOLNAT_MNHN_P","P00752436","PreservedSpecimen",NA,NA,"Xyridaceae","Xyris","nigricans","Xyris nigricans","L.A.Nilsson","Wanderley",NA,NA,"Glaziou, A.",NA,"1884","6",NA,"Brésil",NA,NA,"Haut de l'Itacolumy","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00752436' target='other'> <mi>dwc_moreinfo</mi></a>","P00752436",NA,NA,"25","P00752436_01","isotype","15513","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-11 11:45:35-03","UFMG","BHCB","192661","PreservedSpecimen","Plantae","Monocotyledon","Xyridaceae","Xyris","nigricans","Xyris nigricans","L.A.Nilsson",NA,"2018","10","Paiva, JAM; Souza, JAM; Silva, SHA","1869","2018","09","Southern America","Brasil","Minas Gerais","Santa Bárbara","RPPN Capanema, Santa Bárbara/Ouro Preto","Erva, 1,15m, terrestre; frutos marrom.; Campo brejoso","BHCB192661",NA,NA,"18",NA,NA,NA,NA,"25","-43.604167","-20.1975","-43.604167","-20.1975","1385","1385",NA,NA,NA
"8","2020-12-11 11:45:35-03","UFMG","BHCB","1887","PreservedSpecimen","Plantae","Monocotyledon","Xyridaceae","Xyris","nigricans","Xyris nigricans","L.A.Nilsson",NA,NA,NA,"Schwacke, CAW","9978","1904",NA,"Southern America","Brasil","Minas Gerais","Ouro Preto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"44599","auto",NA
"9","2020-12-11 11:45:35-03","UFMG","BHCB","10101","PreservedSpecimen","Plantae","Monocotyledon","Xyridaceae","Xyris","nigricans","Xyris nigricans","L.A.Nilsson",NA,NA,NA,"Andrade, IR; Horta, MB","s.n.","1987","07","Southern America","Brasil","Minas Gerais","Santana do Riacho","Fazenda Cachoeira das Capivaras.",NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"26557","auto",NA
"10","2010-08-24 09:46:00-03","MO","MOBOT","3003012","PreservedSpecimen","Plantae",NA,"Xyridaceae","Xyris","nigricans","Xyris nigricans","L.A. Nilsson",NA,NA,NA,"F. Sellow","Sellow s.n.","1814",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-03-30 12:44:00-03","MO","MOBOT","3003116","PreservedSpecimen","Plantae",NA,"Xyridaceae","Xyris","nigricans","Xyris nigricans","L.A. Nilsson","M.G.L. Wanderley",NA,NA,"M.G.L. Wanderley","Wanderley 5540","1979","8","South America","Brazil","Minas Gerais","Santana do Riacho","Km 138 ao longo da rodovia Belo Horizonte-Conccição do Mato Dentro.",NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"26557","auto","1"
"12","2019-09-04 19:48:55-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Xyridaceae","Xyris","nigricans","Xyris nigricans",NA,NA,NA,NA,"F. Sellow",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,"Paratype",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA
"13","2021-01-11 11:20:42-03","IBt","SP","472125","S","Plantae",NA,"Xyridaceae","Xyris","nigricans","Xyris nigricans","L.A.Nilsson",NA,NA,NA,"Cordeiro, I","s.n.","1987","09",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,NA,NA,NA,NA,"09",NA,NA,NA,NA,NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"26557","auto",NA
"14","2019-11-21 10:19:58-03","IBt","SP","221698","S","Plantae",NA,"Xyridaceae","Xyris","nigricans","Xyris nigricans","L.A.Nilsson","Wanderley, MGL",NA,NA,"Wanderley, MGL; et al.","CFSC10696","1987","09",NA,"Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó, Serra das Bandeirinhas. Caminho para Cachoeira das Flores",NA,NA,NA,NA,"09",NA,NA,NA,NA,NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"26557","auto",NA
