"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","relatedCatalogItem","occurrenceRemarks","barcode","imagecode","fieldNumber","preparationType","recordNumber","individualCount","yearIdentified","monthIdentified","dayIdentified","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude"
"1","2020-02-08 09:07:40-03","NBC","NL-BOTANY","U 0008271","PreservedSpecimen","Plantae","Magnoliopsidae","Fabales","Leguminosae-Caes.","Macrolobium","palustre","Macrolobium palustre","Ducke","Cowan RS","isotype","Ducke A","1935","09","19","Southern America","Brazil","Amazonas","Cucuhy, Rio Negro (civ. Amazonas), Igarapé, Macacuny ad ripas inundatas.","40647 A","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200008271 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0008271","NL-U0008271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2012-07-26 15:19:16-03","MNHN","RECOLNAT_MNHN_P","P00835914","PreservedSpecimen",NA,NA,NA,"Fabaceae","Macrolobium","palustre","Macrolobium palustre","Ducke","Ducke","isotype","Ducke, A.","1935","9","19",NA,"Brésil",NA,"Rio Curicuriary, affl. Rio Negro (civ. Amazonas)",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00835914' target='other'> <mi>dwc_moreinfo</mi></a>","P00835914","P00835914_01","35193","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","1694243","PreservedSpecimen","Plantae","Dicotyledonae","Rosales","Fabaceae","Macrolobium","palustre","Macrolobium palustre","Ducke",NA,"Isotype","A. Ducke","1935","9","19","South America - Neotropics","Brazil","Amazonas","Cucuhy, Rio Negro, Igarape, Macacuny.",NA,NA,"US00001198","US00001198_01",NA,NA,"35193","1",NA,NA,NA,NA,NA,NA,NA
"4","2014-09-23 10:57:49-03","G","G","G00371114","S","Plantae",NA,NA,"Fabaceae","Macrolobium","palustre","Macrolobium palustre","Ducke","Ducke, A.","ISOTYPUS of Macrolobium palustre Ducke","Ducke, A.","1935","09","19","AMERIQUE DU SUD","Brazil","Amazonas",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00371114",NA,NA,NA,"35193",NA,"1938","01","01","-65.08583333","-4.14444444","-65.08583333","-4.14444444"
