"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","492052","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Justicia","catharinensis","Justicia catharinensis","Lindau","D. C. Wasshausen","M. Kuhlmann","3772","1956","04","12","South America","Brazil","São Paulo","Salesópolis","Salesópolis, Boracéia. Barrancas juntos ao caminho matas do DAE, junto à estaçao Biológica de Boracéia","-45.84","-23.5303","sheet","Instituto de Botânica Sao Paulo - Brasil <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=152551' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492052","NY00492052_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","778345","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Justicia","catharinensis","Justicia catharinensis","Lindau","C. Kameyama","C. Kozera","1256","1999","10","03","South America","Brazil","Paraná","Paranaguá","Ilha do Mel, Morro Bento Alves","-48.35","-25.45","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83569' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778345","NY00778345_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","492054","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Justicia","catharinensis","Justicia catharinensis","Lindau","D. C. Wasshausen","G. T. Prance","58661","1964","08","10","South America","Brazil","Tocantins",NA,"Road Estreita to Tocantinopólis.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=152550' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492054","NY00492054_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","492053","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Justicia","catharinensis","Justicia catharinensis","Lindau","D. C. Wasshausen","R. Callejas Posada","1788","1983","11","22","South America","Brazil","Bahia","Una","Area da CEPLAC. Estaçao experimental Djalma, 2 km NW de Una.","-39.0753","-15.2933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=152552' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492053","NY00492053_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-27 21:08:57-03","PUCPR","HUCP","23491","S","Plantae","Eudicotiledonea",NA,"Acanthaceae","Justicia","catharinensis","Justicia catharinensis","Lindau.",NA,"Hekavey, C","058","2011","09","22",NA,"Brasil","Paraná","São José dos Pinhais","RPPN Nhandara Guaricana da Usina","-49.2064018249512","-25.5347003936768",NA,NA,"HUCP00006096","HUCP00006096","45291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 10:58:34-03","ESALQ","ESA","22111","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Acanthaceae","Justicia","pygmaea","Justicia pygmaea",NA,"Kameyama, C.","Souza, J.P.; Miyagi, P.H.; Zandoval, J.A.","75.0","1995","02","14",NA,"Brasil","São Paulo","Barra do Turvo",NA,"-48.5046997070312","-24.7563991546631",NA,NA,"ESA022111","ESA022111","38172","auto","2006",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-07-02 14:55:12-03","JBP","HPL","6676","S","Plantae",NA,NA,"Acanthaceae","Justicia","pygmaea","Justicia pygmaea","Lindau","A. Indriunas/C. Kameyama","V.C. Souza & H. Lorenzi et al.","28994","2003","02","13",NA,"Brasil","SP","Salesópolis","Coletado no Parque Estadual da Serra do Mar - Núcleo Caraguatatuba, em local alagável.","-45.7","-23.616667",NA,NA,NA,NA,NA,NA,"2010","07","09","45° 42' W","23° 37' S","1100","1100",NA,NA,NA
"8","2021-03-01 16:21:04-03","UNICAMP","UEC","114872","S","Plantae","Magnoliopsida",NA,"Acanthaceae","Justicia","catharinensis","Justicia catharinensis","Lindau","Kameyama, C","Kozera, C; Kozera, OP; Cieniuch, N","1254","1999","10","03",NA,"Brazil","Paraná","Paranaguá","Morro Bento Alves, Ilha do Mel.","-48.5092010498047","-25.5200004577637",NA,"Herbácea com flores brancas e detalhes róseos. Sub-bosque, Floresta Ombrófila Densa de Encosta.","UEC022283","UEC022283","24916","auto","2000","08",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:21:04-03","UNICAMP","UEC","76370","S","Plantae","Magnoliopsida",NA,"Acanthaceae","Justicia","catharinensis","Justicia catharinensis","Lindau","Kameyama, C","Souza, JP; Miyagi, PH; Zandoval, JA","75","1995","02","14",NA,"Brazil","São Paulo","Barra do Turvo","10 Km de Barra do Turvo em direção a Pariquera-açú.","-48.5046997070312","-24.7563991546631",NA,"Erva, flores com lábio superior vináceo, inferior lilás, fauce e tubo da corola brancos.","UEC022285","UEC022285","38172","auto","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-10-14 09:57:55-03","FURB","FURB","10268","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Justicia","catharinensis","Justicia catharinensis","Lindau","Funez, L.A.","Luz, D.R. da","66","2007","11","19",NA,"Brasil","Santa Catarina","Blumenau","Parque Nacional da Serra do Itajaí, terceira vargem.","-49.1119444","-27.0602778",NA,NA,"FURB13702","FURB13702",NA,NA,"2018","06","14","-49.1119444","-27.0602778","350","350",NA,NA,NA
