"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1104705","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M.Barroso","isotype","E. Pereira","2010","1956","09","10","South America","Brazil","Bahia","Moro do Chapéu","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1289459' target='other'> <mi>dwc_moreinfo</mi></a>","NY01104705","NY01104705_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","260232","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M.Barroso","isotype","E. Pereira","2010","1956","09","10","South America","Brazil","Bahia","Morro do Chapéu","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207009' target='other'> <mi>dwc_moreinfo</mi></a>","NY00260232","NY00260232_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:11:22-03","UFBA","ALCB","127541","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M. Barroso",NA,"Staudt, MG; Barres, L","87","2015","09","15","Southern America","Brasil","Bahia","Tabuleiro do Tigre.","1102","1102",NA,"ca. 80 cm alt. Brácteas involucrais verdes, corola e estilete alvos.; Solo arenoso.","ALCB044844",NA,"Staudt, MG","2015","09","Morro do Chapéu","-41.164444","-11.599722","-41.164444","-11.599722",NA,NA,NA,NA,NA
"4","2019-10-09 11:11:22-03","UFBA","ALCB","127567","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M. Barroso",NA,"Staudt, MG; Barres, L","113","2015","09","17","Southern America","Brasil","Bahia","Fazenda Areia Branca.","1059","1059",NA,"ca. 30 cm alt. Brácteas involucrais verdes, corola e estilete alvos.; Solo arenoso.","ALCB044870",NA,"Staudt, MG","2015","09","Morro do Chapéu","-41.177778","-11.5575","-41.177778","-11.5575",NA,NA,NA,NA,NA
"5","2021-02-08 21:31:51-03","UFBA","ALCB","128264","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M. Barroso",NA,"Wanderley, MGL; Fortius, GA","s/n","1985","09","24","Southern America","Brasil","Bahia","9 Km de Morro do Chapéu, em direção à Jacobina.",NA,NA,NA,"2 m alt. Folhas verdes-escura acima de nervuras largas verde-claro abaixo-parece pontuada. Flor branca, capítulo verde-claro-amarelado.; Carrasco de baixada branda com afloramento de arenito.","ALCB045614","ALCB045614","Ferreira, SC","2007","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:11:22-03","UFBA","ALCB","67756","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M. Barroso",NA,"Roque, N; Alunos de Botânica III","1146","2004","09","04","Southern America","Brasil","Bahia","Piemonte da Diamantina","903","903",NA,"ca. 1,2m de altura. Brácteas involucrais verdes, corola alva.",NA,NA,"Ferreira, SC","2010","05","Morro do Chapéu","-41.001944","-11.636111","-41.001944","-11.636111",NA,NA,NA,NA,NA
"7","2019-10-09 11:11:22-03","UFBA","ALCB","80516","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M. Barroso",NA,"França, F; Lima, CT de","5517","2006","08","27","Southern America","Brasil","Bahia","Piemonte da Diamantina, c. 5km a L de Morro na BA 052","925","925",NA,"c. 50cm. Folha coriácea, concolor. Corola branca.",NA,NA,"Ferreira, SC","2009","05","Morro do Chapéu","-41.091944","-11.584167","-41.091944","-11.584167","22",NA,NA,NA,NA
"8","2020-12-21 16:17:25-03","MBM","MBM","424015","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M. Barroso",NA,"Staudt, M.G.; Barres, L.; Barres, L.","113","2015","09","17","Southern America","Brazil","Bahia","Fazenda Areia Branca","1059","1059",NA,"Subarbusto ca. 30cm alt. Brácteas involucrais verdes, corola e estiletes alvos.; Tabuleiro, solo arenoso.","MBM424015",NA,"Staudt, M.G.","2015","09","Morro do Chapéu","-41.177778","-11.5575","-41.177778","-11.5575",NA,NA,NA,NA,NA
"9","2020-12-21 16:17:25-03","MBM","MBM","352603","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M. Barroso",NA,"Pereira, E.; Pereira, E.","2010","1956","09","10","Southern America","Brazil","Bahia",NA,"1000","1000",NA,NA,"MBM352603","MBM352603",NA,NA,NA,"Morro do Chapéu","-41.1561012268066","-11.5500001907349",NA,NA,NA,"98143","auto",NA,NA
"10","2020-09-12 05:00:02-03","US","US","3580471","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M. Barroso",NA,"E. Pereira","2010","1956","9","10","South America - Neotropics","Brazil","Bahia","Brasil, Bahia (BA). Morro do Chapéu","1000",NA,NA,NA,"US01643705","US01643705_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
