"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","894765","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","venosissimus","Lessingianthus venosissimus","(Sch.Bip. ex Baker) H.Rob.","H. S. Irwin","15642","1966","05","06","South America","Brazil","Distrito Federal","Brasília","Universidade de Brasília","-47.875","-15.758","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965338' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894765","NY00894765_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01214100","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","venosissimus","Lessingianthus venosissimus","(Sch.Bip. ex Baker) H.Rob.","M. G. da Silva","4551","1979","05","22","South America","Brazil","Rondônia",NA,"Vilhena, arredores do aeroporto","-60.099174","-12.694217",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1457922' target='other'> <mi>dwc_moreinfo</mi></a>","NY01214100","NY01214100_01","M. G. da Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","887942","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","venosissimus","Lessingianthus venosissimus","(Sch.Bip. ex Baker) H.Rob.","A. F. M. Glaziou","21660","1894","10",NA,"South America","Brazil","Goiás",NA,"Ponte Alta, dans le campo.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887942","NY00887942_01",NA,"not a type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","887943","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","venosissimus","Lessingianthus venosissimus","(Sch.Bip. ex Baker) H.Rob.","A. F. M. Glaziou","21660","1894","10",NA,"South America","Brazil","Goiás",NA,"Ponte Alta, dans le campo.",NA,NA,NA,NA,"sheet","Collection Data from NY 887942 and protologue. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987462' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887943","NY00887943_01",NA,"not a type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","894767","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","venosissimus","Lessingianthus venosissimus","(Sch.Bip. ex Baker) H.Rob.","G. G. Hatschbach","66618","1997","08","11","South America","Brazil","Mato Grosso","Chapada dos Guimarães","Mirante da Chapada dos Guimarães.","-55.7494","-15.4608",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894767","NY00894767_01","H. E. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","894769","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","venosissimus","Lessingianthus venosissimus","(Sch.Bip. ex Baker) H.Rob.","H. S. Irwin","15314","1966","04","08","South America","Brazil","Distrito Federal","Brasília",NA,"-47.9167","-15.7833","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894769","NY00894769_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","894770","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","venosissimus","Lessingianthus venosissimus","(Sch.Bip. ex Baker) H.Rob.","E. P. Heringer","8314","1961","05","12","South America","Brazil","Distrito Federal","Brasília","Horto Guará.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965363' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894770","NY00894770_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","894768","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","venosissimus","Lessingianthus venosissimus","(Sch.Bip. ex Baker) H.Rob.","H. S. Irwin","14113","1966","03","19","South America","Brazil","Distrito Federal","Brasília","Setor Industrial, ca. 5 km W of Brasília","-47.95","-15.8","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894768","NY00894768_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","887944","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","venosissimus","Lessingianthus venosissimus","(Sch.Bip. ex Baker) H.Rob.","A. F. M. Glaziou","21660","1894","10",NA,"South America","Brazil","Goiás",NA,"Ponte Alta, dans le campo.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987459' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887944","NY00887944_01",NA,"not a type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","894766","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","venosissimus","Lessingianthus venosissimus","(Sch.Bip. ex Baker) H.Rob.","E. Santos","1689","1963","04","12","South America","Brazil","Distrito Federal","Brasília","Universidade de Brasília.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894766","NY00894766_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
