"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","minimumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","504153","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","hecatonandrus","Croton hecatonandrus","Müll.Arg.","A. F. M. Glaziou","5983","1872","01","10","South America","Brazil","Rio de Janeiro","Itatiaia","Itatiaia","-44.5631","-22.4961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=723218' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504153","NY00504153_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","504509","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","vulnerarius","Croton vulnerarius","Baill.","R. Kummrow","468","1974","03","28","South America","Brazil","Paraná","Jaguariaíva","Rod. PR 11","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591396' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504509","NY00504509_01","R. Riina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1281020","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","vulnerarius","Croton vulnerarius","Baill.","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1660071' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281020","NY01281020_01",NA,"not a type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","504721","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","vulnerarius","Croton vulnerarius","Baill.","L. Riedel","237","1824",NA,NA,"South America","Brazil","São Paulo",NA,"St. Paulo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591443' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504721","NY00504721_01","R. Riina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02330238","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","vulnerarius","Croton vulnerarius","Baill.","S. J. da Silva Neto","741","1996","05","31","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, estrada para o abrigo Maceiras","-44.658","-22.358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523211' target='other'> <mi>dwc_moreinfo</mi></a>","NY02330238","NY02330238_01","R. Riina",NA,"1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:30:16-03","UFRJ","RFA","18375","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","vulnerarius","Croton vulnerarius","Baill.","P. Occhioni","8153","1977","05","08",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia - Macieiras, km 8","-44.5633010864258","-22.4960994720459",NA,"Arbusto, 4 - 6 m de altura, flor creme","RFA15508",NA,"A. P. N. Pereira",NA,NA,"2019","05","14","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:19:39-03","UFRJ","RFA","28102","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","vulnerarius","Croton vulnerarius","Baill.","O.M. Barth","I 201","1960","02","17",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,"RFA19910",NA,"G. F. Silva",NA,NA,"2019","05","14","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:30:16-03","UFRJ","RFA","18094","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","vulnerarius","Croton vulnerarius","Baill.","P. Occhioni","8153","1977","05","08",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Macieiras, km 8","-44.5633010864258","-22.4960994720459",NA,"Arbursto, 4 - 6 m de altura, flor creme","RFA15344",NA,"G. F. Silva",NA,NA,"2019","05","14","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:38:08-03","EAO","IAN","14572","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Croton","exuberans","Croton exuberans","Müll.Arg.","Magalhães, M","904b","1941","11","25","Southern America","Brasil","Minas Gerais","Governador Valadares","Mata, campo de sementes; muito frequente.","-41.9494018554688","-18.8511009216309",NA,"Árvore 4,00 metros de altura; flores alvas.","IAN014572","IAN014572 IAN014572_e","Barreto, M",NA,NA,NA,NA,NA,"50833","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:38:08-03","EAO","IAN","14573","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Croton","exuberans","Croton exuberans","Müll.Arg.","Magalhães, M","904a","1941","11","25","Southern America","Brasil","Minas Gerais","Governador Valadares","Mata, campo de sementes; muito frequente.","-41.9494018554688","-18.8511009216309",NA,"Árvore 4,00 metros de altura; flores alvas.","IAN014573","IAN014573 IAN014573_e","Barreto, M",NA,NA,NA,NA,NA,"50833","auto",NA,NA,NA,NA,NA,NA,NA,NA
