"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","coordinatePrecision","geoFlag","individualCount","previousCatalogNumber","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","138814","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Petunia","serrulata","Petunia serrulata","L.B.Sm. & Downs","type","R. Reitz","7446","1958","10","23","South America","Brazil","Santa Catarina","Serra do Oratório, Bom Jardim, S. Joaquim","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00138814","NY00138814_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-02-10 11:45:49-02","BM","SOLANACEAE_SOURCE_BR","37694","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Calibrachoa","serrulata","Calibrachoa serrulata","(L.B.Sm. & Downs) Stehmann & J.Semir",NA,"Hashimoto, G.; Ando, T.; Tsukamoto, T.; Kanaya, T.","B1031","1995","12","04","Southern America","Brazil","Santa Catarina","Serra Geral",NA,NA,NA,NA,"BM000941618",NA,"Dicotyledoneae","Ando, T.","Bom Jardim da Serra","-49.543611","-28.3875","-49.543611","-28.3875",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:35:37-03","NBC","NL-BOTANY","L 0003613","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Petunia","serrulata","Petunia serrulata","L.B.Sm. & Downs","isotype","Reitz R; Klein RM",NA,"1958","10","23","Southern America","Brazil","Santa Catarina","Santa CatarinaBrasilSerra do Oratorio, Bom Jardim, S. Joachim",NA,NA,NA,"Aparados da serraErva<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200003613 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0003613","NL-L0003613","Magnoliopsidae","Smith LB",NA,NA,NA,NA,NA,"137042",NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:45:34-03","MBM","MBM","42905","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Petunia","serrulata","Petunia serrulata","L.B. Sm. & Downs","ISOTYPE","Reitz; Klein, R.M.; Klein, R.M.","7446","1958","10","23","Southern America","Brazil","Santa Catarina","Serra do Oratório, Bom Jesus","1400","1400",NA,"erva; Erva, flor vermelha.; Aparados da Serra","MBM042905","MBM042905",NA,"Smith, L.B.","São Joaquim","-49.9317016601562","-28.2938995361328",NA,NA,NA,"1964","48290","auto",NA,NA,NA,NA
"5","2020-12-11 11:41:44-03","UFMG","BHCB","116965","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Calibrachoa","serrulata","Calibrachoa serrulata","(L.B.Sm. & Downs) Stehmann & Semir",NA,"Fregonezi, J; Ramos, A","36","2007","11","15","Southern America","Brasil","Santa Catarina",NA,NA,NA,NA,"Arbusto de ca. 1,0m dealtura",NA,NA,NA,NA,"Bom Jardim da Serra","-49.624698638916","-28.3369007110596",NA,NA,NA,NA,"32577","auto",NA,NA,NA,NA
"6","2020-12-11 11:41:44-03","UFMG","BHCB","116964","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Calibrachoa","serrulata","Calibrachoa serrulata","(L.B.Sm. & Downs) Stehmann & Semir",NA,"Fregonezi, J; Ramos, A","35","2007","11","15","Southern America","Brasil","Santa Catarina",NA,NA,NA,NA,"arbusto de aproximadamente 1m encontrado em área de campo sujo",NA,NA,NA,NA,"Bom Jardim da Serra","-49.624698638916","-28.3369007110596",NA,NA,NA,NA,"32577","auto",NA,NA,NA,NA
"7","2020-12-11 11:41:44-03","UFMG","BHCB","99775","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Calibrachoa","serrulata","Calibrachoa serrulata","(L.B.Sm. & Downs) Stehmann & Semir",NA,"Stehmann, JR; Mentz, LA; Fregonezi, JN; Teles, AM","4394","2005","11","26","Southern America","Brasil","Santa Catarina","Serra do Rio do Rastro.","1432","1432",NA,"Erva, junto a afloramento rochoso na borda do perau; flores purpura a avermelhada. material preservado em alcool antes da secagem.","BHCB002009","BHCB002009",NA,NA,"Bom Jardim da Serra","-49.624698638916","-28.3369007110596",NA,NA,NA,NA,"32577","auto",NA,NA,NA,NA
"8","2018-06-22 05:25:00-03","MO","MOBOT","100512491","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Petunia","serrulata","Petunia serrulata","L.B. Sm. & Downs",NA,"Pe. Raulino Reitz|Klein","Reitz 7160","1958","9","18","South America","Brazil","Santa Catarina","Serra do Oratório, Bom Jardim, S. Joaquim.","1500.00000000",NA,NA,NA,NA,NA,NA,"L.B. Smith & R.J. Downs",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","3386850","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Calibrachoa","serrulata","Calibrachoa serrulata","(L.B. Sm. & Downs) Stehmann & Semir",NA,"G. Hashimoto, T. Ando, T. Tsukamoto & T. Kanaya","s.n.","1995","12","4","South America","Brazil","Santa Catarina","Mun. Bom Jardim da Serra: Serra Geral",NA,NA,NA,NA,"US02849920","US02849920_01","Dicotyledonae","Ando, T.",NA,"-49.5436","-28.3875",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2323489","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Petunia","serrulata","Petunia serrulata","L.B. Sm. & Downs","Holotype","R. Reitz & R. M. Klein","7446","1958","10","23","South America","Brazil","Santa Catarina","Serra do Oratorio, Bomjardim.",NA,NA,NA,NA,"US00067627","US00067627_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"11","2016-08-23 10:22:56-03","NHMLondon","NHM-LONDON-BOT","BM000941618","S","Plantae",NA,NA,"Solanaceae","Calibrachoa","serrulata","Calibrachoa serrulata","(L.B.Sm. & Downs) Stehmann & Semir",NA,"Goro Hashimoto; b.1913; Hashim.; Toshio Ando; b.1946; T.Ando; T. Tsukamoto; Taro Kanaya; Kanaya","B1031","1995","12","04",NA,"Brasil","Santa Catarina","Serra Geral",NA,NA,NA,NA,NA,NA,NA,"Toshio Ando; b.1946; T.Ando",NA,"-49.543611","-28.3875","-49.543611","-28.3875",NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4338848",NA,NA
"12","2020-08-20 15:00:36-03","UFSC","FLOR","1142","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Calibrachoa","serrulata","Calibrachoa serrulata","(L.B.Sm. & Downs) Stehmann & Semir","Isotypus","Reitz, R.; Klein, R.M.","7446","1958","10","23",NA,"Brasil","Santa Catarina","Serra do Oratório, Bom Jardim.","1400","1400",NA,"erva, flor vermelha. Isotypus Petunia serrulata. Habitat: aparados da serra","FLOR0001142",NA,NA,"Stehmann, J.R.","São Joaquim","-49.9317016601562","-28.2938995361328",NA,NA,NA,"1996","48290","auto",NA,NA,"12",NA
"13","2021-02-08 12:45:30-03","UFRGS","ICN","184945","S","Plantae","Dicotyledon",NA,"Solanaceae","Calibrachoa","serrulata","Calibrachoa serrulata","(L. B. Sm. & Downs) Stehmann & Semir",NA,"John, A L W; Mäder, G","ALWJ21","2015","12","09","América do Sul","Brasil","SC",NA,NA,NA,NA,"borda do cânion","ICN00033321",NA,NA,NA,"Bom Jardim da Serra","-49.551389","-28.362778","-49.551389","-28.362778",NA,"2015",NA,NA,NA,NA,"12","09"
"14","2021-02-08 12:45:30-03","UFRGS","ICN","184921","S","Plantae","Dicotyledon",NA,"Solanaceae","Calibrachoa","serrulata","Calibrachoa serrulata","(L. B. Sm. & Downs) Stehmann & Semir",NA,"John, AL W; Mäder, G","ALWJ9","2015","12","08","América do Sul","Brasil","SC",NA,NA,NA,NA,NA,"ICN00033323",NA,NA,NA,"Bom Jardim da Serra","-49.546111","-28.387222","-49.546111","-28.387222",NA,"2015",NA,NA,NA,NA,"12","08"
"15","2021-02-08 12:45:30-03","UFRGS","ICN","184922","S","Plantae","Dicotyledon",NA,"Solanaceae","Calibrachoa","serrulata","Calibrachoa serrulata","(L. B. Sm. & Downs) Stehmann & Semir",NA,"John, AL W; Mäder, G","ALWJ10","2015","12","08","América do Sul","Brasil","SC",NA,NA,NA,NA,"borda do cânion","ICN00033322",NA,NA,NA,"Bom Jardim da Serra","-49.543889","-28.387778","-49.543889","-28.387778",NA,"2015",NA,NA,NA,NA,"12","08"
"16","2021-02-08 12:45:30-03","UFRGS","ICN","184944","S","Plantae","Dicotyledon",NA,"Solanaceae","Calibrachoa","serrulata","Calibrachoa serrulata","(L. B. Sm. & Downs) Stehmann & Semir",NA,"John, A L W; Mäder, G","ALWJ20","2015","12","08","América do Sul","Brasil","SC",NA,NA,NA,NA,"borda do cânion","ICN00033325",NA,NA,NA,"Bom Jardim da Serra","-49.543889","-28.387778","-49.543889","-28.387778",NA,"2015",NA,NA,NA,NA,"12","08"
"17","2021-02-08 12:45:30-03","UFRGS","ICN","186686","S","Plantae","Dicotyledon",NA,"Solanaceae","Calibrachoa","serrulata","Calibrachoa serrulata","(L. B. Sm. & Downs) Stehmann & Semir",NA,"Stehmann, JR; Mentz, LA; Fregonezi, JN; Teles, AM","4394","2005","11","26","América do Sul","Brasil","SC","Serra do Rio do Rastro","1432","1432",NA,"Material preservado em álcool antes da secagem.; Flores púrpura a avermelhadas.; Erva junto a afloramento rochoso na borda do perau.","ICN00033343",NA,NA,NA,"Bom Jardim da Serra","-49.544167","-28.387778","-49.544167","-28.387778",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-02-08 12:45:30-03","UFRGS","ICN","184923","S","Plantae","Dicotyledon",NA,"Solanaceae","Calibrachoa","serrulata x c. sellowiana","Calibrachoa serrulata x c. sellowiana",NA,NA,"John, AL W; Mäder, G","ALWJ11","2015","12","08","América do Sul","Brasil","SC",NA,NA,NA,NA,"Indivíduo de morfologia intermediária entre C. serrulata e C. sellowiana. Provável híbrido; borda do cânion","ICN00033324",NA,NA,NA,"Bom Jardim da Serra","-49.543889","-28.387778","-49.543889","-28.387778",NA,"2015",NA,NA,NA,NA,"12","08"
