"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","scientificNameAuthorship","recordNumber","continentOcean","preparationType","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","sex","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","infraspecificEpithet"
"1","2021-04-05 14:33:32-03","UNESC","CRI","3667","PreservedSpecimen","Plantae","Fabaceae","Senna","alata","Senna alata","Marcos Sobral","R. Záchia; et al.","1993","02","11","Brasil","Rio Grande do Sul","Santo Antônio das Missões","São José.","-55.228056","-28.511944","55º13'41''W","28º30'43''S","200","200","CRI003197","CRI003197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1586245","PreservedSpecimen","Plantae","Fabaceae","Senna","alata","Senna alata","H. S. Irwin; R. C. Barneby","M. Mélinon",NA,NA,NA,"French Guiana",NA,NA,"(Maroni)",NA,NA,NA,NA,NA,NA,"NY01586245",NA,"Magnoliophyta","Fabales","(L.) Roxb.","s.n.","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1923330' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1586271","PreservedSpecimen","Plantae","Fabaceae","Senna","alata","Senna alata","H. S. Irwin; R. C. Barneby","A. L. Woolston","1958","03","18","Paraguay","Alto Paraguay","San Pedro","Primavera.",NA,NA,NA,NA,NA,NA,"NY01586271",NA,"Magnoliophyta","Fabales","(L.) Roxb.","944","South America","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1923851' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1586281","PreservedSpecimen","Plantae","Fabaceae","Senna","alata","Senna alata","D. A. Neill","J. Campos","1996","02","07","Peru","Cajamarca","San Ignacio","Distrito San Ignacio: Tomaque",NA,NA,NA,NA,"800","1000","NY01586281","NY01586281_01","Magnoliophyta","Fabales","(L.) Roxb.","2482","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1923970' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1586292","PreservedSpecimen","Plantae","Fabaceae","Senna","alata","Senna alata","H. S. Irwin; R. C. Barneby","H. H. Rusby","1886","05",NA,"Venezuela",NA,NA,"Sacupana, Lower Orinoco",NA,NA,NA,NA,NA,NA,"NY01586292","NY01586292_01","Magnoliophyta","Fabales","(L.) Roxb.","19","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1924221' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01776204","PreservedSpecimen","Plantae","Fabaceae","Senna","alata","Senna alata",NA,"J. A. Steyermark","1961","01","14","Venezuela","Bolívar",NA,"Between camp and Agua Linda, 7 km. E of Hato de Nuria, E. of Miamo Altiplanicie de Nuria",NA,NA,NA,NA,"400","400","NY01776204","NY01776204_01","Magnoliophyta","Fabales","(L.) Roxb.","88437","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2027121' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1586264","PreservedSpecimen","Plantae","Fabaceae","Senna","alata","Senna alata","H. S. Irwin; R. C. Barneby","E. Hassler","1913","01",NA,"Paraguay",NA,NA,"Paraguaria Centralis: in regione lacus Ypacaray",NA,NA,NA,NA,NA,NA,"NY01586264",NA,"Magnoliophyta","Fabales","(L.) Roxb.","12466","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1923738' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1586284","PreservedSpecimen","Plantae","Fabaceae","Senna","alata","Senna alata","H. S. Irwin; R. C. Barneby","B. Maguire","1963","07","02","Suriname",NA,NA,"2 km below affluence of Oost Rivier","-56.625","3.433",NA,NA,"225",NA,"NY01586284","NY01586284_01","Magnoliophyta","Fabales","(L.) Roxb.","53916","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1924052' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1586194","PreservedSpecimen","Plantae","Fabaceae","Senna","alata","Senna alata","H. S. Irwin; R. C. Barneby","A. Krapovickas","1976","02","01","Argentina","Corrientes","Santo Tome","Santo Tomé",NA,NA,NA,NA,NA,NA,"NY01586194","NY01586194_01","Magnoliophyta","Fabales","(L.) Roxb.","29073","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1560309' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-30 08:58:00-03","NY","NYBG","1586261","PreservedSpecimen","Plantae","Fabaceae","Senna","alata","Senna alata","T. R. van Andel","T. R. van Andel","1997","08","24","Guyana",NA,NA,"Koko. Moruca River. North-West District",NA,NA,NA,NA,NA,NA,"NY01586261",NA,"Magnoliophyta","Fabales",NA,"1816","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1923655' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
