"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","individualCount","typeStatus","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","00942185","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","G. L. Esteves","R. de Mello-Silva","767","1992","11","20","South America","Brazil","Minas Gerais","Porteirinha","Ao norte da cidade, saída pela BR 122.","-43.0281","-15.7433","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942185","NY00942185_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00942186","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","S. R. Hill","W. Gregory","10489","1961","04","28","South America","Brazil","Minas Gerais","Patos de Minas",NA,"-46.5181","-18.5792",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942186","NY00942186_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1550950","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","S. R. Hill","J. M. Pires","58024","1964","06","20","South America","Brazil","Minas Gerais","João Pinheiro","João Pinheiro.","-46.1725","-17.7428",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1838417' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550950","NY01550950_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00942187","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.",NA,"A. Krapovickas","42896","1989","01","12","South America","Brazil","Minas Gerais","Buritizeiro","BR-365 - 47 km SW de Pirapora.","-44.9619","-17.3511",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026413' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942187","NY00942187_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1550946","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","S. R. Hill","F. C. Hoehne","29728","1932","06","09","South America","Brazil","São Paulo","Moji-Mirim","Mogy-Mirim, S. Paulo.","-46.96013","-22.425035",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1838412' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550946","NY01550946_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:10-03","UFRJ","RFA","12432","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K. Schum.",NA,"A. Castellanos","25954","1966","04","01",NA,"Brasil","Bahia","Boquira","Mina Boquira, Morro Cruzeiro","-42.730598449707","-12.8231000900269",NA,NA,NA,NA,"RFA11666",NA,"36950","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:43:49-03","EAO","IAN","14689","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","Takeuchi, C","Magalhães, MG","3275","1942","08","15","Southern America","Brasil","Minas Gerais","Belo Horizonte","Sujo, Horto Florestal. Pouco frequente.","-43.937801361084","-19.9207992553711",NA,NA,NA,"Arbusto de 2 metros de altura; flores amarelas.","IAN014689","IAN014689 IAN014689_e","17082","auto","2013","08","05",NA,NA,NA,NA,NA
"8","2020-02-08 09:59:21-03","NBC","NL-BOTANY","U.1364869","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.",NA,"Castellanos A",NA,"1966","04","01","Southern America","Brazil",NA,NA,"Bahia, Mina Boquira, Morro Cruzeiro.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1364869 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1364869","NL-U1364869",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"9","2015-07-02 14:02:42-03","JBP","HPL","3946","S","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","G.L. Esteves","E.R. Salviani & H. Lorenzi","945","2000","01","19",NA,"Brasil","SP","Jaboticabal","Estrada seguindo sentido a Luiz Antonio.","-48.32","-21.25",NA,NA,NA,NA,NA,NA,"22420","auto","2005","06","08",NA,NA,NA,NA,NA
"10","2019-08-20 10:17:48-03","UNICAMP","UEC","10054","S","Plantae","Magnoliopsida",NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","Esteves, GL","Gibbs, PE; Kinoshita, LS; Semir, J","1930","1976","04","27",NA,"Brazil","São Paulo","Mogi Guaçu","indo para Pinha","-46.9421997070312","-22.372200012207",NA,NA,NA,"Plantas arbustivas até 1,50m de altura, flores amarelo-salmão",NA,NA,"39309","auto","1997","05",NA,NA,NA,NA,NA,NA
