"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","continentOcean","individualCount"
"1","2021-03-01 16:21:53-03","UNICAMP","UEC","67793","S","Plantae","Magnoliopsida","Apocynaceae","Macroditassa","marianae","Macroditassa marianae","Fontella & M.V.Ferreira","Matozinhos, CN","2012","06","holotypus","Kim, AC; et al.","30096","1993","11","16","Brazil","São Paulo","Ubatuba","Praia de Maranduba","-45.25","-23.383333","-45.25","-23.383333","Liana. Flores brancas com odor adocicado e suave. Beira de trilha na planicie.","UEC053549","UEC053549",NA,NA
"2","2011-02-18 16:17:00-02","MO","MOBOT","1407071","PreservedSpecimen","Plantae",NA,"Apocynaceae","Macroditassa","marianae","Macroditassa marianae","Fontella & M. V. Ferreira",NA,NA,NA,"Holotype","A.C. Kim|et al.","Kim 30096","1993","11","16","Brazil","São Paulo",NA,"Mpio. de Ubatuba, Praia de Maranduba","-45.25","-23.3833333",NA,NA,NA,NA,NA,"South America","1"
"3","2021-03-15 18:24:42-03","USP","SPF","99181","PreservedSpecimen","Plantae",NA,"Apocynaceae","Macroditassa","marianae","Macroditassa marianae","Fontella & M.V.Ferreira",NA,NA,NA,"holotype","Kim, AC; et al.","30096","1993","11","16","Brasil","São Paulo","Ubatuba","Praia de Maranduba","-45.25","-23.383333","-45.25","-23.383333","Liana. Flores brancas, com odor adocicado e suave. Beira de trilha.","SPF00099181",NA,NA,NA
