"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00918189","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","umbrosa","Nectandra umbrosa","(Kunth) Mez","Y. E. J. Mexia","4588","1930","04","09","South America","Brazil","Minas Gerais","Viçosa","Viçosa Agricultural College lands; Barbado watershed","-42.860644","-20.766686","710","710","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918189","NY00918189_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00918190","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","umbrosa","Nectandra umbrosa","(Kunth) Mez","G. Schüch","275",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988909' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918190","NY00918190_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","539647","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","tabacifolia","Ocotea tabacifolia","(Meisn.) Rohwer","A. F. M. Glaziou","17730","1888","08","05","South America","Brazil","Rio de Janeiro","Nova Friburgo","Alto Macahé","-42.5308","-22.2819",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539647","NY00539647_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01203100","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","tabacifolia","Ocotea tabacifolia","(Meisn.) Rohwer","G. T. Prance","9961","1969","02","15","South America","Brazil","Roraima",NA,"Plateau of Serra dos Surucucus","-63.575","2.742","1800","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1416508' target='other'> <mi>dwc_moreinfo</mi></a>","NY01203100","NY01203100_01","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02852752","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","tabacifolia","Ocotea tabacifolia","(Meisn.) Rohwer","D. da Silva Costa","32","2012","07","22","South America","Brazil","Acre","Xapuri","Projeto de Assentamento Cachoeira, BR 317, km 16, beira do ramal.","-68.364033","-10.896764",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2706432' target='other'> <mi>dwc_moreinfo</mi></a>","NY02852752","NY02852752_01","H. H. van der Werff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2017-05-17 10:21:00-03","NY","NYBG","02610071","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","tabacifolia","Ocotea tabacifolia",NA,"J. M. A. Braga","4014","1997","05","06","South America","Brazil","Rio de Janeiro","Duque de Caxias","Trilha ao redor do lago da barragem. Reserva da Petrobras","-43.266667","-22.55",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2916851' target='other'> <mi>dwc_moreinfo</mi></a>","NY02610071","NY02610071_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","539648","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","tabacifolia","Ocotea tabacifolia","(Meisn.) Rohwer","A. F. M. Glaziou","17730",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"sheet","donné par Mme Simard, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539648","NY00539648_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","539646","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","tabacifolia","Ocotea tabacifolia","(Meisn.) Rohwer","D. M. Vital","s.n.","1977","05","22","South America","Brazil","São Paulo","Sao Miguel Arcanjo","Reserva Florestal Carlos Botelho. Ca. 55 km S de Itapetininga","-47.989753","-24.144027",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325643' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539646","NY00539646_01","H. H. van der Werff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","504958","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","tabacifolia","Ocotea tabacifolia","(Meisn.) Rohwer","S. Tsugaru","B-2324","1987","12","08","South America","Brazil","São Paulo","Registro","Vicinity of Registro, 200km SW from Sao Paulo, along the Rt. BR-116","-47.84","-24.48",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325645' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504958","NY00504958_01","P. L. R. de Moraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 11:07:00-03","NY","NYBG","539649","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","tabacifolia","Ocotea tabacifolia",NA,"P. A. C. L. Assunção","542","1997","07","15","South America","Brazil","Amazonas",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Floresta de Platô","-59.97","-2.883333",NA,NA,"sheet","Duplicatas distribuidas: MO SP INPA K MG NY RB U UEC <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539649","NY00539649_01","A. Vicentini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-30 01:27:00-03","NY","NYBG","01203099","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","tabacifolia","Ocotea tabacifolia",NA,"W. A. Rodrigues","5808","1964","04","30","South America","Brazil","Amazonas","Manaus","Boca do Rio Preto, picada B, próximo a quadra 34","-60.025","-3.1019",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305261' target='other'> <mi>dwc_moreinfo</mi></a>","NY01203099","NY01203099_01","A. Vicentini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","355862","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","tabacifolia","Persea tabacifolia","Meisn.","J. B. E. Pohl","3604",NA,NA,NA,"South America","Brazil",NA,NA,"Itambé monte.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530431' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355862","NY00355862_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
