"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","fieldNumber","verbatimLongitude","verbatimLatitude","class","individualCount","typeStatus","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1145298","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Micropolypodium","perpusillum","Micropolypodium perpusillum","(Maxon) A.R.Sm.","R. Y. Hirai","R. Y. Hirai","574","2008","06","02","South America","Brazil","Minas Gerais","Catas Altas","Cadeia do Espinhaço, RPPN Caraça. Bocaina.","-43.4647","-20.1236","1270","1270","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1309626' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145298","NY01145298_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:20:43-03","UFRJ","RFA","23487","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Polypodium","perpusillum","Polypodium perpusillum","Maxon","Morton, C.V.","F. Segadas-Vianna",NA,"1945","03","02",NA,"Brasil","Rio de Janeiro","Itatiaia","Rio Bonito","-44.5633010864258","-22.4960994720459","1000","1000",NA,NA,"RFA57820",NA,"1964","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:20:43-03","UFRJ","RFA","23495","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Polypodium","perpusillum","Polypodium perpusillum","Maxon","Lellinger, D.B.","F. Segadas-Vianna; Brade, A.C. 20298","5126","1950","05",NA,NA,"Brasil","Rio de Janeiro","Resende","Serra de Itatiaia","-44.4467010498047","-22.468900680542","2400","2400",NA,NA,"RFA57821",NA,"1964","36089","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:53:26-03","UFJF","CESJ","57192","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Polypodiaceae","Moranopteris","perpusilla","Moranopteris perpusilla","(Maxon) R.Y.Hirai & J. Prado","A. Salino","A. Salino","6616","2001","04","17","América do Sul","Brasil","São Paulo","Itanhaém","Parque Estasdual da Serra do Mar, Núcleo de Curucutu, Trilha do Campo, 24º09'59 S, 46º49'43 W, a 100-120m de altitude.","-46.7799987792969","-24.1800003051758",NA,NA,NA,"Floresta ombrófila densa baixo-montatana. Rupícola em rocha no meio do rio.","CESJ057192",NA,"2017","26998","auto","08",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:29:18-03","MBM","MBM","1129","PreservedSpecimen","Plantae",NA,NA,"Grammitidaceae","Micropolypodium","perpusillum","Micropolypodium perpusillum","(Maxon) A.R. Smith","Sehnem, A.","Hatschbach, G.","14146","1966","03","24","Southern America","Brazil","Paraná","Antonina","Rio Cotia","-48.7118988037109","-25.4286003112793",NA,NA,NA,NA,"MBM001129","MBM001129",NA,"38300","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:29:18-03","MBM","MBM","611","PreservedSpecimen","Plantae",NA,NA,"Grammitidaceae","Micropolypodium","perpusillum","Micropolypodium perpusillum","(Maxon) A.R. Smith","Sehnem, A.","Hatschbach, G.","13441","1966","01","04","Southern America","Brazil","Paraná","Morretes","Rio Ipiranga","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"MBM000611","MBM000611",NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:29:18-03","MBM","MBM","50991","PreservedSpecimen","Plantae",NA,NA,"Grammitidaceae","Micropolypodium","perpusillum","Micropolypodium perpusillum","(Maxon) A.R. Smith","Sehnem, A.","Reitz, R.; Klein, R.M.; Klein, R.M.","6421","1958","02","05","Southern America","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim","-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,"MBM050991","MBM050991",NA,"37493","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-21 10:46:22-03","MNHN","RECOLNAT_MNHN_P","P00632717","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Moranopteris","perpusilla","Moranopteris perpusilla","(Maxon) R.Y.Hirai & J.Prado",NA,"Ule, E.",NA,"1892","3",NA,NA,"Brésil",NA,NA,"Serra de Coraça em Minas Geraes",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00632717' target='other'> <mi>dwc_moreinfo</mi></a>","P00632717","P00632717_01",NA,NA,NA,NA,"3249",NA,NA,NA,NA,NA,NA
"9","2015-02-23 10:49:52-03","MNHN","RECOLNAT_MNHN_P","P00632718","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Moranopteris","perpusilla","Moranopteris perpusilla","(Maxon) R.Y.Hirai & J.Prado",NA,"Ule, E.",NA,"1892","3",NA,NA,"Brésil",NA,NA,"Serra de Coraça em Minas Geraes",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00632718' target='other'> <mi>dwc_moreinfo</mi></a>","P00632718","P00632718_01",NA,NA,NA,NA,"3249",NA,NA,NA,NA,NA,NA
"10","2020-09-29 14:53:37-03","UFPR","UPCB","77726","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Moranopteris","perpusilla","Moranopteris perpusilla","(Maxon) R.Y.Hirai & J.Prado","Hirai, R.Y.","Hirai, R.Y. et al.","583","2008","06","02",NA,"Brasil","Minas Gerais","Catas Altas","RPPN do Caraça, Bocaina, próximo a cachoeira.","-43.464722","-20.123611",NA,NA,NA,"Rupícola..","UPCB0009381","UPCB0009381","2011",NA,NA,"07",NA,"-43.464722","-20.123611",NA,NA,NA,NA
