"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","class","typeStatus","decimalLongitude","decimalLatitude","stateProvince","county","locality","verbatimLongitude","verbatimLatitude"
"1","2021-04-08 17:44:13-03","EAO","IAN","40629","PreservedSpecimen","Plantae","Dicotiledônea","Simaroubaceae","Simaba","suaveolens","Simaba suaveolens","A.St.-Hil.","Saint-Hilaire","s.n.","Southern America","Brasil","IAN040629",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-09-04 19:17:23-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Simaroubaceae","Simaba","suaveolens","Simaba suaveolens",NA,"A. Saint-Hilaire",NA,"South America","Brazil",NA,"Dicotyledoneae","Type [status unknown]","-52.8731","-10.8339",NA,NA,NA,NA,NA
"3","2017-09-11 16:28:46-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Simaroubaceae","Simaba","suaveolens","Simaba suaveolens","A.St.-Hil.","Saint-Hilaire, AFCP","s.n.","Southern America","Brazil",NA,NA,NA,"-43.23","-19.62","Minas Gerais","Itabira","prov. Minarum silvis primaeris montis dicti Piriquito pr. Itabira-do-mato-dentro.","-43.23","-19.62"
