"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","barcode","class","order","typeStatus","locality","relatedCatalogItem","occurrenceRemarks","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","preparationType","fieldNumber","verbatimLongitude","verbatimLatitude"
"1","2021-03-30 12:46:56-03","EAO","IAN","93987","PreservedSpecimen","Plantae","Dicotiledônea","Podostemaceae","Podostemum","saldanhanum","Podostemum saldanhanum","Warm. & C.P. Bove","Bove, CP","2014","09","26","Glaziou, AFM","13147","1918","05","13","Southern America","Brasil","Rio de Janeiro","IAN093987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0442912","PreservedSpecimen","Plantae",NA,"Podostemaceae","Podostemum","saldanhanum","Podostemum saldanhanum","(Warm.) C.T.Philbrick & Novelo","Philbrick CT","2004","01","01","Glaziou AFM",NA,"1882","02","11","Southern America","Brazil","Rio de Janeiro","NL-L0442912","Magnoliopsidae","Malpighiales","isotype","Brasilie. Rio de Janeiro. Rio Bengala near Nova Friburgo","96238850","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200442912 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0442912",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0442913","PreservedSpecimen","Plantae",NA,"Podostemaceae","Podostemum","saldanhanum","Podostemum saldanhanum","(Warm.) C.T.Philbrick & Novelo","Philbrick CT","2004","01","01","Glaziou AFM",NA,"1882","02","11","Southern America","Brazil","Rio de Janeiro","NL-L0442913","Magnoliopsidae","Malpighiales","isotype","Brasilie. Rio de Janeiro. Rio Bengala near Nova Friburgo","96238871","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200442913 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0442913",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857980","PreservedSpecimen","Plantae",NA,"Podostemaceae","Podostemum","saldanhanum","Podostemum saldanhanum","(Warm.) C.T.Philbrick & Novelo","Philbrick CT","2004","01","01","Glaziou AFM",NA,"1887","12","23","Southern America","Brazil",NA,"NL-L1857980","Magnoliopsidae","Malpighiales",NA,NA,"L 0442914","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857980 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857980",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857981","PreservedSpecimen","Plantae",NA,"Podostemaceae","Podostemum","saldanhanum","Podostemum saldanhanum","(Warm.) C.T.Philbrick & Novelo","Philbrick CT","2004","01","01","Glaziou AFM",NA,"1887","12","23","Southern America","Brazil",NA,"NL-L1857981","Magnoliopsidae","Malpighiales",NA,NA,"L 0442915","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857981 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857981",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-19 19:46:58-03","MN","R","213075","PreservedSpecimen","Plantae",NA,"Podostemaceae","Podostemum","saldanhanum","Podostemum saldanhanum","(Warm.) C.T. Philbrick & Novelo","Philbrick, C.T.","2011","06","01","Bove, C.P.; Costa, W. & Costa, B.B.","720","2000","06","17",NA,"Brasil","Rio de Janeiro","R010072043",NA,NA,NA,NA,NA,NA,"R010072043",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:33:12-03","MN","R","215901","PreservedSpecimen","Plantae",NA,"Podostemaceae","Podostemum","saldanhanum","Podostemum saldanhanum","(Warm.) C.T. Philbrick & Novelo","Bove, C.P.","2013","04","30","Bove, C.P.; Silva, I.C. & Ribeiro, E.A.","2306","2013","04","30",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"Cacheoira",NA,NA,NA,"Magé","-43.040599822998","-22.6527996063232","20531","auto",NA,NA,NA,NA
"8","2021-01-14 15:33:12-03","MN","R","215216","PreservedSpecimen","Plantae",NA,"Podostemaceae","Podostemum","saldanhanum","Podostemum saldanhanum","(Warm.) C.T. Philbrick & Novelo","Bove, C.P.","2001","12","21","Bove, C.P.; Gil, A. & Moreira, A.","938","2001","12","21",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"Cascatinha",NA,"Coleção líquida Podostemaceae",NA,"Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto","Álcool 70%",NA,NA,NA
"9","2021-01-14 15:33:12-03","MN","R","215248","PreservedSpecimen","Plantae",NA,"Podostemaceae","Podostemum","saldanhanum","Podostemum saldanhanum","(Warm.) C.T. Philbrick & Novelo","Bove, C.P.","2002","04","30","Bove, C.P.; Aguiar, A.C.","1033","2002","04","30",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"Cascatinha",NA,"Coleção líquida Podostemaceae",NA,"Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto","Álcool 70%",NA,NA,NA
"10","2021-01-14 15:33:12-03","MN","R","215218","PreservedSpecimen","Plantae",NA,"Podostemaceae","Podostemum","saldanhanum","Podostemum saldanhanum","(Warm.) C.T. Philbrick & Novelo","Bove, C.P.","2002","05","14","Bove, C.P.; Moreira, A. & Occhi, R.","1043","2002","05","14",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"Lumiar",NA,"Coleção líquida Podostemaceae",NA,"Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto","Álcool 70%",NA,NA,NA
