"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","class","dayIdentified","individualCount","infraspecificEpithet"
"1","2016-09-29 20:49:00-03","NY","NYBG","00837812","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","filifolia","Aristida filifolia","H. M. Longhi-Wagner","B. Rambo","43727","1949","10","03","South America","Brazil","Rio Grande do Sul","Morro Sta. Teresa pr. P. Alegre","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932184' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837812","NY00837812_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-08 11:09:49-03","UNESP-IBB","BOTU","24003","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","filifolia","Aristida filifolia",NA,"Campos, C.J.",NA,"2002","03","27",NA,"Brasil","São Paulo","Rodovia Gastáo Dal Farra, km 3",NA,"Biota - Cerrado Pratânia","BOTU024003",NA,"Arechav. Herter","Botucatu","-48.523917","-22.815417","48°31'26.1w","22°48'55.5s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:32:00-03","UFRJ","RFA","20971","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","filifolia","Aristida filifolia","Severo, Branca","Severo , Branca",NA,"1977","12","10",NA,"Brasil","Rio Grande do Sul","Coxilha, Km 20.",NA,NA,"RFA30557",NA,"(Arechav.) Herter","Passo Fundo","-52.4067001342773","-28.2628002166748",NA,NA,"25060","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:18:35-03","ESALQ","ESA","80536","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Aristida","filifolia","Aristida filifolia",NA,"Longhi-Wagner, H. et al.","3049.0","1996","01","23",NA,"Brasil","São Paulo",NA,NA,NA,"ESA080536","ESA080536",NA,"São José do Barreiro","-44.5699996948242","-22.6399993896484",NA,NA,"30784","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-19 10:24:45-03","CPAP","CPAP","12576","PreserverdSpecimen","Plantae",NA,NA,"Poaceae","Aristida","filifolia","Aristida filifolia","I. J. Boldrini","Pott, A.","6602","1993","12","01",NA,"Brasil","RS","Estação Experimental Agronômica (UFRGS)",NA,"Erva cespitosa. FLOR: . FRUTO: . INTERESSE: Forrageira. FREQUÊNCIA: Frequente. AMBIENTE: Campo natural, bem drenado. SUBSTRATO: solo argilo-arenoso. RELEVO: suave ondulado/ondulado.",NA,NA,"(Arechav.) Herter","Porto Alegre","-51.216667","-30.033333","51°13' W","30°02' S",NA,NA,"1993","12","50","50",NA,NA,NA,NA
"6","2019-08-27 13:25:44-03","IAP","PACA-AGP","57442","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Aristida","filifolia","Aristida filifolia","B. Severo","Rambo, B.",NA,"1955","10","09",NA,"Brasil","RS","in summo monte Sapucaia",NA,"Habitat: in rupestribus alte graminosis Fenofase: flor","PACA057442",NA,"(Arechav.) Herter","São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,"10287","auto","1979","01",NA,NA,"Liliatae",NA,NA,NA
"7","2019-08-27 13:25:44-03","IAP","PACA-AGP","74337","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Aristida","filifolia","Aristida filifolia","H. Longhi-Wagner","I. Fernandes","756","1989","12","15",NA,"Brasil","RS","Casa de Pedra, no topo de rochedos",NA,"Habitat: sobre rocha com solo pedregoso","PACA074337",NA,"(Arechav.) Herter","Bage","-54.1068992614746","-31.3313999176025",NA,NA,"74087","auto",NA,NA,NA,NA,"Liliatae",NA,NA,NA
"8","2019-08-27 13:25:44-03","IAP","PACA-AGP","96059","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Aristida","filifolia","Aristida filifolia","C. Mondin","C. Mondin & A. Iob","2146","2001","01","03",NA,"Brasil","RS","BR 290, Km 78",NA,"HASU 10687","PACA096059",NA,"(Arechav.) Herter","Butiá","-51.9622001647949","-30.1196994781494",NA,NA,"39953","auto","2001","01",NA,NA,"Liliatae",NA,NA,NA
"9","2019-08-27 13:25:44-03","IAP","PACA-AGP","67083","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Aristida","filifolia","Aristida filifolia",NA,"B. Severo",NA,NA,NA,NA,NA,"Brasil","RS","logo apos a saida de Vacaria",NA,"Herb. Univ. Passo Fundo 0576;","PACA067083",NA,"(Arechav.) Herter","Lagoa Vermelha","-51.5257987976074","-28.2085990905762",NA,NA,"42261","auto",NA,NA,NA,NA,"Liliatae",NA,NA,NA
"10","2019-08-27 13:25:44-03","IAP","PACA-AGP","109322","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Aristida","filifolia","Aristida filifolia","C.A.D. Welker","Longhi-Wagner & Welker","9887","2005","11","23",NA,"Brasil","RS","Morro Santana.",NA,"ICN 153113","PACA109322",NA,"(Arechav.) Herter","Porto Alegre","-51.2299995422363","-30.0331001281738",NA,NA,"29946","auto",NA,NA,NA,NA,"Liliatae",NA,NA,NA
"11","2019-08-27 13:25:44-03","IAP","PACA-AGP","43727","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Aristida","filifolia","Aristida filifolia","B. Severo","Rambo, B.",NA,"1949","10","03",NA,"Brasil","RS","Morro Sta. Teresa",NA,"Habitat: in campestribus siccis alte gram. Fenofase: fruto","PACA043727",NA,"(Arechav.) Herter","Porto Alegre","-51.2299995422363","-30.0331001281738",NA,NA,"29946","auto","1979","01",NA,NA,"Liliatae",NA,NA,NA
"12","2021-04-07 11:47:12-03","UFMS","CGMS","20512","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","filifolia","Aristida filifolia","H.M. Longhi-Wagner","F.J.M. Caporal","570","2007","10","13",NA,"Brasil","Rio Grande do Sul","Cerro Branco, Fazenda São Maximiano, Morro São Maximiano.",NA,"Habito: Erva.","CGMS1049905",NA,"(Arechav.) Herter","Guaíba","-51.3250007629395","-30.113899230957",NA,NA,"28343","auto","2009","09",NA,NA,NA,"24",NA,NA
"13","2021-03-01 16:20:22-03","UNICAMP","UEC","95819","S","Plantae","Liliopsida",NA,"Poaceae","Aristida","filifolia","Aristida filifolia",NA,"Longhi-Wagner, HM; Boechat, SC; et al.; Araújo, AC","3049","1996","01","23",NA,"Brazil","São Paulo","Descida da Bocaina para São José do Barreiro.",NA,"Folhagem ereta.","UEC071885","UEC071885","(Arechav.) Herter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-16 17:54:27-03","UCS","HUCS","35089","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Aristida","filifolia","Aristida filifolia","Boldrini, I.O.","Setubal, R.","913","2008","09","25",NA,"Brasil","Rio Grande do Sul","Morro São Pedro",NA,"em campo seco",NA,NA,"(Arechav.) Herter","Porto Alegre","-51.2299995422363","-30.0331001281738",NA,NA,"29946","auto",NA,NA,NA,NA,NA,NA,NA,NA
