"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","year","month","locality","day","decimalLongitude","decimalLatitude","county","minimumElevationInMeters","identifiedBy","maximumElevationInMeters","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","2269950","PreservedSpecimen","Plantae","Magnoliophyta","Nymphaeales","Cabombaceae","Cabomba","aquatica","Cabomba aquatica","Aubl.","A. Goeldi","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2434621' target='other'> <mi>dwc_moreinfo</mi></a>","NY02269950","NY02269950_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","424064","PreservedSpecimen","Plantae","Magnoliophyta","Nymphaeales","Cabombaceae","Cabomba","aquatica","Cabomba aquatica","Aubl.","G. Gardner","South America","Brazil","Alagoas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85596' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424064","NY00424064_01","1235","1838","02","In provinica Dos Alagoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02270252","PreservedSpecimen","Plantae","Magnoliophyta","Nymphaeales","Cabombaceae","Cabomba","aquatica","Cabomba aquatica","Aubl.","G. T. Prance","South America","Brazil","Roraima","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2434625' target='other'> <mi>dwc_moreinfo</mi></a>","NY02270252","NY02270252_01","4043","1967","01","Igarapé Água Boa, Rio Mucajaí between Pratinha and Rio Apiaú","23","-61.1558676","2.7613911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02270253","PreservedSpecimen","Plantae","Magnoliophyta","Nymphaeales","Cabombaceae","Cabomba","aquatica","Cabomba aquatica","Aubl.","Y. E. J. Mexia","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2434627' target='other'> <mi>dwc_moreinfo</mi></a>","NY02270253","NY02270253_01","5966","1931","07","Thomé Assú; down Rio Acará about 5 km","24","-48.1967","-1.96083","Acará","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 04:30:00-03","NY","NYBG","424065","PreservedSpecimen","Plantae","Magnoliophyta","Nymphaeales","Cabombaceae","Cabomba","aquatica","Cabomba aquatica",NA,"J. Cuatrecasas","South America","Colombia","Valle del Cauca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85594' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424065",NA,"19655","1945","07","Entre Jamundí y río Pance","04",NA,NA,NA,"1000","N. C. Fassett","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2269948","PreservedSpecimen","Plantae","Magnoliophyta","Nymphaeales","Cabombaceae","Cabomba","aquatica","Cabomba aquatica","Aubl.","F. E. Drouet","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2434619' target='other'> <mi>dwc_moreinfo</mi></a>","NY02269948","NY02269948_01","1933","1935","06","Museu Paraense.","27","-48.5043983459473","-1.4558299779892","Belém",NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2269949","PreservedSpecimen","Plantae","Magnoliophyta","Nymphaeales","Cabombaceae","Cabomba","aquatica","Cabomba aquatica","Aubl.","P. R. P. Bouças","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2434620' target='other'> <mi>dwc_moreinfo</mi></a>","NY02269949","NY02269949_01","16","1975","03","Municipio de Mojú - Igarapé Marachimbé.","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","424062","PreservedSpecimen","Plantae","Magnoliophyta","Nymphaeales","Cabombaceae","Cabomba","aquatica","Cabomba aquatica","Aubl.","M. R. C. Sales de Melo","South America","Brazil","Pernambuco","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85593' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424062","NY00424062_01","23","1994","11","Recife. Dois Irmaos, Campus da UFRPE","28","-34.948563","-8.017196","Recife",NA,"M. R. C. Sales de Melo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02270251","PreservedSpecimen","Plantae","Magnoliophyta","Nymphaeales","Cabombaceae","Cabomba","aquatica","Cabomba aquatica","Aubl.","G. T. Prance","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2434624' target='other'> <mi>dwc_moreinfo</mi></a>","NY02270251","NY02270251_01","23322","1975","03","Estrada Rosa de Maio, 6 km north of Manaus","08","-60.0182998","-3.0428544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","424066","PreservedSpecimen","Plantae","Magnoliophyta","Nymphaeales","Cabombaceae","Cabomba","aquatica","Cabomba aquatica","Aubl.","A. M. Raynal-Roques","South America","French Guiana",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85597' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424066",NA,"24717","1999","11","Sinnamary. Route de l'Anse. Pont du canal Philippon, près de son embouchure dans le fl. Sinnamary","28","-53.9628","5.38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
