"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","dayIdentified","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordedBy","year","month","day","locality","infraspecificEpithet","barcode","recordNumber","class","continentOcean","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","2890","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","camposportoi","Nidularium camposportoi","(L.B.Sm.) Wand. & B.A.Moreira","Elton. C. M. Leme","2011","08","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","2846","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","camposportoi","Nidularium camposportoi","(L.B.Sm.) Wand. & B.A.Moreira","Elton. C. M. Leme","2009","05","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","1106","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","camposportoi","Nidularium camposportoi","(L.B.Sm.) Wand. & B.A.Moreira",NA,"2008","04",NA,"254","28","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","32","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","camposportoi","Nidularium camposportoi","(L.B.Sm.) Wand. & B.A.Moreira","Elton. C. M. Leme","2011","08","1","254",NA,"Brasil","Bahia","Una","-39.0752983093262","-15.2932996749878","36070","auto","Elton M. C. Leme; A. M de Carvalho, J.Kent, R. L. Fraseir, L. A. M. Silva","1983","01","08","Estrada entre Una-Canavieiras em ramal distando a 5 KM ao sul da Rodovia BA001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","101","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","camposportoi","Nidularium camposportoi forma robustum","(L.B.Sm.) Wand. & B.A.Moreira","Elton. C. M. Leme","2009","05","1","254",NA,"Brasil","Rio de Janeiro","Angra dos Reis","-44.3180999755859","-23.0067005157471","32988","auto","Elton M. C. Leme; Roberto Menescal; R. Bello","1986","12",NA,"Próximo a Mambucaba","forma robustum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","64","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","camposportoi","Nidularium camposportoi var. campos-portoi","(L.B.Sm.) Wand. & B.A.Moreira","Elton. C. M. Leme","2011","08","1","254",NA,"Brasil","Rio de Janeiro","Distrito de Mambucaba, em Angra dos Reis",NA,NA,NA,NA,"Roberto Menescal;","1985",NA,NA,NA,"var. campos-portoi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","412","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","camposportoi","Nidularium camposportoi var. campos-portoi","(L.B.Sm.) Wand. & B.A.Moreira","Elton. C. M. Leme","2011","08","1","254",NA,"Brasil","Rio de Janeiro","Mangaratiba","-44.040599822998","-22.9596996307373","17272","auto","Elton M. C. Leme; H. Luther; D. Benzing; L. Correia de Araújo; Luiz Felipe Nevares de Carvalho","1996","12","13","Fazenda Três Orelhas","var. campos-portoi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","408","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","camposportoi","Nidularium camposportoi var. robustum","(L.B.Sm.) Wand. & B.A.Moreira","Elton. C. M. Leme","2011","08","1","254",NA,"Brasil","Rio de Janeiro","Mangaratiba","-44.040599822998","-22.9596996307373","17272","auto","Elton M. C. Leme; H. Luther; D. Benzing; L. Correia de Araújo; Luiz Felipe Nevares de Carvalho","1996","12","13","Sertão do Rio Claro","var. robustum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:25:59-03","MN","R","191275","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","camposportoi","Nidularium camposportoi","(L.B. Sm.) Wand. & B.A. Moreira","Leme, E.M.C.","1990","05",NA,NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"Smith, L.B. 15403; McWilliams, E.L.","1968","02","06","southwest of São Sebastião",NA,"R010006372",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:25:59-03","MN","R","126447","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","camposportoi","Nidularium camposportoi var.camposportoi","(L.B. Sm.) Wand. & B.A. Moreira","Melo, L.","2001","09",NA,NA,"24","Brasil","Rio de Janeiro","Angra dos Reis","-44.3180999755859","-23.0067005157471","32988","auto","Smith, L.B. 15369; McWilliams, E.L.","1968","02","01",NA,"var.camposportoi","R010006373",NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-06-10 10:10:27-03","FZB-BH","BHZB","11806","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","camposportoi","Nidularium camposportoi",NA,"Elton. C. M. Leme",NA,NA,NA,"UNICATA /Planta com folhas verdes. Inflorescência com brácteas ápice de cor laranja. Flores com ápice de cor amarela e base de cor verde. Planta originalmente do município de Una - Bahia",NA,"Brasil","MG","Belo Horizonte","-43.937801361084","-19.9207992553711","17082","auto","Swerts, M.","2016","11","16","FZBBH #?# Coleção de Mata Atlântica e Florestas Tropicas. CVJBFZB 0032",NA,NA,"78",NA,NA,NA,NA,NA,NA,NA
"12","2020-09-12 05:00:02-03","US","US","2169523","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Nidularium","campos-portoi","Nidularium campos-portoi","(L.B. Sm.) Leme",NA,NA,NA,"1",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"R. Reitz",NA,NA,NA,NA,NA,NA,"s.n.","Monocotyledonae","South America",NA,NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","2902669","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Nidularium","campos-portoi","Nidularium campos-portoi","(L.B. Sm.) Leme",NA,NA,NA,"1",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"A. Seidel","1980","3","13","At Angra dos Reis.",NA,NA,"827","Monocotyledonae","South America - Neotropics",NA,NA,NA,NA,NA
