"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","typeStatus","imagecode"
"1","2019-08-27 13:30:16-03","IAP","PACA-AGP","55149","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Lamiales","Labiatae","Hyptis","tetracephala","Hyptis tetracephala","Bordignon","S. Bordignon","1990","03","Reitz, R.","4929","1950","04","11","Brasil","SC","Brusque","-48.9174995422363","-27.0981006622314","19684","VULNERÁVEL&nf;Smith det. H.lorentziana Hoffm. em 10.4.1955.; Habitat: in duemtosis subpaludosis","PACA055149","auto",NA,NA,NA,NA,NA,NA
"2","2008-05-27 22:02:00-03","MO","MOBOT","2455699","PreservedSpecimen","Plantae",NA,NA,NA,"Lamiaceae","Hyptis","tetracephala","Hyptis tetracephala","Bordignon","Bordignon, S. A. L.",NA,NA,"S.A. de Loreto Bordignon","Bordignon 94",NA,NA,NA,"Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,"South America","Parobé. Morro do Pinhal",NA,NA,NA,NA
"3","2021-02-08 12:42:48-03","UFRGS","ICN","122717","S","Plantae","Dicotyledon",NA,NA,"Lamiaceae","Hyptis","cf. tetracephala","Hyptis cf. tetracephala","Bordig","Azevedo-Gonçalves, CF; Gon",NA,NA,"Azevedo-Gonçalves, CF; Gonçalves, CN","282","2000","03","03","Brasil","RS","Arroio do Conde",NA,NA,NA,"Espécie ameaçada de extinção (Vulnerável).",NA,NA,"América do Sul","Eldorado do Sul","15","15",NA,NA
"4","2021-02-08 12:42:48-03","UFRGS","ICN","122763","S","Plantae","Dicotyledon",NA,NA,"Lamiaceae","Hyptis","cf. tetracephala","Hyptis cf. tetracephala","Bordig","Azevedo-Gonçalves, CF",NA,NA,"Azevedo-Gonçalves, CF; Gonçalves, CN","342","2000","04","22","Brasil","RS","Arroio do Conde",NA,NA,NA,"Espécie ameaçada de extinção (Vulnerável).",NA,NA,"América do Sul","Eldorado do Sul","15","15",NA,NA
"5","2021-02-08 12:42:48-03","UFRGS","ICN","067199","S","Plantae","Dicotyledon",NA,NA,"Lamiaceae","Hyptis","tetracephala","Hyptis tetracephala","Bordignon","Bordignon, SAL",NA,NA,"Bordignon, SAL","91","1986","07","24","Brasil","RS","Tramandaí","-50.1335983276367","-29.9846992492676","21077",NA,"ICN00000217","auto","América do Sul","açude proóximo a Lagoa Emboaba",NA,NA,"Paratypus","ICN00000217"
"6","2021-02-08 12:42:48-03","UFRGS","ICN","086540","S","Plantae","Dicotyledon",NA,NA,"Lamiaceae","Hyptis","tetracephala","Hyptis tetracephala","Bordignon","Bordignon, SAL",NA,NA,"Bordignon, SAL","607","1984","04","23","Brasil","RS","Osório","-50.2696990966797","-29.8866996765137","27350","Sinonímia de Hyptis tetracepala.","ICN00000211","auto","América do Sul","Lagoa da Pinguela",NA,NA,"Paratypus","ICN00000211"
"7","2021-02-08 12:42:48-03","UFRGS","ICN","067202","S","Plantae","Dicotyledon",NA,NA,"Lamiaceae","Hyptis","tetracephala","Hyptis tetracephala","Bordignon","Bordignon, SAL",NA,NA,"Bordignon, SAL","94","1986","04","03","Brasil","RS","Parobé","-50.8347015380859","-29.6285991668701","11610","Inflorescência saindo aos pares nas axilas das folhas.; Beira do açude no Morro do Pinhal","ICN00000212","auto","América do Sul","Sta. Cristina do Pinhal",NA,NA,"Holotypus","ICN00000212"
"8","2021-02-08 12:42:48-03","UFRGS","ICN","034112","S","Plantae","Dicotyledon",NA,NA,"Lamiaceae","Hyptis","tetracephala","Hyptis tetracephala","Bordignon","Bordignon, SAL",NA,NA,"Lima, DA; et al.","s.n.","1977","03","11","Brasil","RS","Tramandaí","-50.1335983276367","-29.9846992492676","21077","Espécie ameaçada de extinção (Vulnerável).",NA,"auto","América do Sul","próximo a lagoa",NA,NA,NA,NA
