"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","scientificNameAuthorship","class","coordinatePrecision","geoFlag","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-04-05 14:33:32-03","UNESC","CRI","2674","PreservedSpecimen","Plantae","Fabaceae","Pomaria","stipularis","Pomaria stipularis","A. Burkart","R. M. Klein","1962","12","12","Brasil","Santa Catarina","Itaiópolis","-49.906111","-26.339444","49º54'22''W","26º20'22''S","CRI002622","CRI002622",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:19-03","UNESC","CRI","7009","PreservedSpecimen","Plantae","Fabaceae","Pomaria","stipularis","Pomaria stipularis","Burkat, A","klein, R. M.","1962","12","12","Brasil","Santa Catarina","Itaiópolis","-49.906389","-26.336389","49º54'23''W","26º20'11''S","CRI013829","CRI013829","1962","12","12","3954","Capoeira","750","750","Habito: Arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:48-03","E","E","178603","PreservedSpecimen","Plantae","Leguminosae","Pomaria","stipularis","Pomaria stipularis",NA,"Dusen, P.","1908","11","18","BR",NA,NA,NA,NA,NA,NA,"E00178603",NA,NA,NA,NA,"7131",NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00178603 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:185328",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","594511","PreservedSpecimen","Plantae","Fabaceae","Pomaria","stipularis","Pomaria stipularis",NA,"G. G. Hatschbach","1973","10","25","Brazil","Paraná","Ponta Grossa","-50.1617","-25.095",NA,NA,"NY00594511","NY00594511_01",NA,NA,NA,"32960","Fda. Cambiju",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708993' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales","(Vogel) B.B.Simpson & G.P.Lewis",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","594507","PreservedSpecimen","Plantae","Fabaceae","Pomaria","stipularis","Pomaria stipularis",NA,"L. B. Smith","1957","03","14","Brazil","Santa Catarina","Mafra","-49.8053","-26.1117",NA,NA,"NY00594507","NY00594507_01",NA,NA,NA,"12127","41 km west of Mafra","800","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708994' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales","(Vogel) B.B.Simpson & G.P.Lewis",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","594508","PreservedSpecimen","Plantae","Fabaceae","Pomaria","stipularis","Pomaria stipularis",NA,"G. G. Hatschbach","1971","02","21","Brazil","Paraná","Marmeleiro","-53.0258","-26.1494",NA,NA,"NY00594508","NY00594508_01",NA,NA,NA,"26395","Estr. Marmeleiro-Campo Ere",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708990' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales","(Vogel) B.B.Simpson & G.P.Lewis",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","594512","PreservedSpecimen","Plantae","Fabaceae","Pomaria","stipularis","Pomaria stipularis",NA,"L. Gurgel","1931","10","30","Brazil","Paraná","Porto Amazonas","-49.8903","-25.5447",NA,NA,"NY00594512","NY00594512_01",NA,NA,NA,"s.n.","Porto Amazonas",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708992' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales","(Vogel) B.B.Simpson & G.P.Lewis",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","594509","PreservedSpecimen","Plantae","Fabaceae","Pomaria","stipularis","Pomaria stipularis",NA,"E. Pereira","1964","01","13","Brazil","Paraná",NA,"-50.048917","-25.240899",NA,NA,"NY00594509","NY00594509_01",NA,NA,NA,"8241","Lagoa Dourada",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708989' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales","(Vogel) B.B.Simpson & G.P.Lewis",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","594513","PreservedSpecimen","Plantae","Fabaceae","Pomaria","stipularis","Pomaria stipularis",NA,"P. K. H. Dusén","1918","11","18","Brazil","Paraná",NA,NA,NA,NA,NA,"NY00594513","NY00594513_01",NA,NA,NA,"7065","Tamarandúa",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708987' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales","(Vogel) B.B.Simpson & G.P.Lewis",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","594514","PreservedSpecimen","Plantae","Fabaceae","Pomaria","stipularis","Pomaria stipularis","B. B. Simpson","G. F. J. Pabst","1961","10","18","Brazil","Paraná",NA,NA,NA,NA,NA,"NY00594514",NA,NA,NA,NA,"5902","Estr. Curitiba-Ponta Grossa, km 21",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708988' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Fabales","(Vogel) B.B.Simpson & G.P.Lewis",NA,NA,NA,NA,NA,NA
