"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","individualCount","typeStatus","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","798933","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stevia","catharinensis","Stevia catharinensis","Cabrera","H. E. Robinson","J. M. Silva","2947","1999","04","16","South America","Brazil","Paraná","Guarapuava","Rod. BR-277, próximo do trevo para a Colonia Sao Judas Tadeu","-51.4581","-25.3956","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=305342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798933","NY00798933_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-04 15:24:54-03","PUCPR","HUCP","7901","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Stevia","catharinensis","Stevia catharinensis","Cabrera. & Vittet.",NA,"Klas, CM","004","1986","03","30",NA,"Brasil","Paraná","Palmeira",NA,"-50.0064010620117","-25.4293994903564",NA,NA,"HUCP00008287","HUCP00008287","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:24:54-03","PUCPR","HUCP","15529","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Stevia","catharinensis","Stevia catharinensis","Cabrera. & Vittet.","Potrich, FB","Moraes, JG","006","2003","03","23",NA,"Brasil","Paraná","Palmeira","Recanto dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,"HUCP00008227","HUCP00008227","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:02:12-03","ESALQ","ESA","66159","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Stevia","catharinensis","Stevia catharinensis","Cabrera","Robinson, H.","Silva, J.M. ; Maschio, W.","2947.0","1999","04","16",NA,"Brasil","Paraná","Guarapuava",NA,"-51.4580993652344","-25.395299911499",NA,NA,"ESA066159","ESA066159","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-16 17:51:07-03","UCS","HUCS","45990","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Stevia","catharinensis","Stevia catharinensis","Cabrera & Vittet","Ribas, O.S.; Canestraro, B.K.","Silva, M.J.","7746","2011","03","21",NA,"Brasil","Paraná","Canta Galo","Três Pinheiros",NA,NA,NA,"Ereta, capitulos rosados.&nf;&nf;&nf;Permuta HCF 19739; Campo rochoso",NA,NA,NA,NA,"2011","03",NA,NA,NA,NA,NA,NA
"6","2019-08-16 08:38:39-03","UTFPR","HCF","19739","S","Plantae",NA,NA,"Asteraceae","Stevia","catharinensis","Stevia catharinensis","Cabrera & Vittet","O.S. Ribas & B.K. Canestraro","J.M. Silva","7746","2011","03","21",NA,"Brasil","PR","Cantagalo","Três Pinheiros","-52.1263999938965","-25.3743991851807",NA,"ereta, capítulos rosados. Campo rochoso.",NA,NA,"29583","auto","2011","03",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:17:21-03","MBM","MBM","238296","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","catharinensis","Stevia catharinensis","Cabrera & Vittet","Robinson, H.","Silva, J.M.; Maschio, W.; Maschio, W.","2947","1999","04","16","Southern America","Brazil","Paraná","Guarapuava","Rod. BR-277, próximo ao trevo para a Colônia São Judas Tadeu","-51.4580993652344","-25.395299911499",NA,NA,"MBM238296","MBM238296","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:17:21-03","MBM","MBM","10274","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","catharinensis","Stevia catharinensis","Cabrera & Vittet","Nakajima, J.N.","Lindeman, J.; Haas, H.; Haas, H.","1143","1966","05","01","Southern America","Brazil","Paraná","Clevelândia","Fazenda Brandalize","-52.4707984924316","-26.3957996368408",NA,NA,"MBM010274","MBM010274","30860","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:17:21-03","MBM","MBM","53680","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","catharinensis","Stevia catharinensis","Cabrera & Vittet","Nakajima, J.N.","Hatschbach, G.","11187","1964","04","15","Southern America","Brazil","Paraná","Guarapuava","Alto Cavernoso","-51.4580993652344","-25.395299911499",NA,NA,"MBM053680","MBM053680","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","2489919","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","catharinensis","Stevia catharinensis","Cabrera","Cabrera, A. L.","Isabel Basualdo","Basualdo 1056","1986","4","4","South America","Paraguay","Concepción",NA,"Entre Horqueta y Brasilcue","-57.05","-23.36666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2012-07-28 05:08:00-03","MO","MOBOT","3376468","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","catharinensis","Stevia catharinensis","Cabrera",NA,"* SILVA","SILVA 2947","1999",NA,NA,"South America","Brazil","Paraná",NA,"Rod Br-277, proximo do trevo para a Colonia Judas Tadeu (Mun, Guarapuava)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-09-12 05:00:02-03","US","US","3387162","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Stevia","catharinensis","Stevia catharinensis","Cabrera",NA,"J. M. Silva & W. Maschio","2947","1999","4","16","South America","Brazil","Paraná",NA,"Rod. BR-277, proximo do trevo para a Colonia Sao Judas Tadeu (Mun. Guarapuava)",NA,NA,NA,NA,"US01647904","US01647904_01",NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","2557994","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Stevia","catharinensis","Stevia catharinensis","Cabrera",NA,"L. B. Smith & R. M. Klein","11534","1957","2","20","South America","Brazil","Santa Catarina","Chapecó","Campo Ere.","-52.6183013916016","-27.096399307251",NA,NA,"US00146013","US00146013_01","22671","auto",NA,NA,"Dicotyledonae","1","Isotype",NA,NA,NA
"14","2019-04-02 09:30:47-03","URICER","HPBR","2889","S","Plantae",NA,NA,"Asteraceae","Stevia","catharinensis","Stevia catharinensis","Cabr.","ZANIN, E. M.","ZANIN, E. M.",NA,"1986","05","03",NA,"Brasil","RS","Marcelino Ramos","ESTREITO AUGUSTO CÉSAR","-51.9063987731934","-27.4617004394531",NA,"37cm de altura","HPBR002889","HPBR002889","18635","auto",NA,NA,NA,"1",NA,NA,NA,NA
"15","2019-11-01 14:54:33-03","UnB","UB","123188","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Stevia","catharinensis","Stevia catharinensis","Cabrera & Vittet","Nakajima, JN","Lindeman, JC","1143","1966","05","01","Southern America","Brasil","Paraná",NA,"Serra Brandalize ao N do Rio Chopim, ca 20km N de Clevelândia",NA,NA,NA,"Florulas purpureas, tubo mais escuro; Erva.; Campo num topo duma colina",NA,NA,NA,NA,"1991","03",NA,NA,NA,"26",NA,NA
"16","2021-02-08 12:38:35-03","UFRGS","ICN","063387","S","Plantae","Dicotyledon",NA,"Asteraceae","Stevia","catharinensis","Stevia catharinensis","Cabrera","Nakajima, JN","Sobral, M","3266","1984","11","13","América do Sul","Brasil","RS","Uruguaiana","Beira de estrada.","-57.0882987976074","-29.7546997070312",NA,"Erva de capítulos brancos.; Campo.",NA,NA,"93142","auto","1991","03",NA,NA,NA,"26",NA,NA
"17","2021-02-08 12:38:35-03","UFRGS","ICN","200278","S","Plantae","Dicotyledon",NA,"Asteraceae","Stevia","catharinensis","Stevia catharinensis","Cabrera","Christ, AL","Richit, JF","s.n.","2019","01","05","América do Sul","Brasil","RS","Maximiliano de Almeida",NA,"-51.793056","-27.538889",NA,"Material Testemunho; Subarbusto com flores brancas; Campo aberto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-51.793056","-27.538889"
"18","2019-11-21 10:01:23-03","IBt","SP","471038","S","Plantae",NA,NA,"Asteraceae","Stevia","catharinensis","Stevia catharinensis","Cabrera & Vittet","Ribas, OS","Silva, JM; Poliquesi, CB; Coraiola, R","7746","2011","03","21",NA,"Brasil","Paraná","Cantagalo","Três Pinheiros","-52.1263999938965","-25.3743991851807",NA,NA,NA,NA,"29583","auto","2011","03",NA,NA,NA,NA,NA,NA
"19","2019-11-21 10:01:23-03","IBt","SP","345188","S","Plantae",NA,NA,"Asteraceae","Stevia","catharinensis","Stevia catharinensis","Cabrera & Vittet","Robinson, H","Silva, JM; Maschio, W","2947","1999","04","16",NA,"Brasil","Paraná","Guarapuava","BR-277, próximo do trevo para a Colônia São Judas Tadeu","-51.4580993652344","-25.395299911499",NA,NA,NA,NA,"53832","auto","2000",NA,NA,NA,NA,NA,NA,NA
