"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","470750","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Gleditsia","amorphoides","Gleditsia amorphoides","(Griseb.) Taub.","G. G. Hatschbach","G. G. Hatschbach","45238","1982","08","21","South America","Brazil","Paraná","Guairá","Parque Nacional","-54.2556","-24.08","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127878' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470750","NY00470750_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","470751","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Gleditsia","amorphoides","Gleditsia amorphoides","(Griseb.) Taub.","L. B. Smith","G. G. Hatschbach","15857","1967","01","23","South America","Brazil","Paraná","Xambrê","Porto Byington","-53.49","-23.7361","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127876' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470751","NY00470751_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","470754","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Gleditsia","amorphoides","Gleditsia amorphoides","(Griseb.) Taub.","L. B. Smith","G. G. Hatschbach","15857","1967","01","23","South America","Brazil","Paraná","Xambrê","Porto Byington","-53.49","-23.7361","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127877' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470754","NY00470754_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","470752","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Gleditsia","amorphoides","Gleditsia amorphoides","(Griseb.) Taub.","J. C. Lindeman","J. C. Lindeman","4393","1967","01","23","South America","Brazil","Paraná",NA,"Vicinity of Porto Byington. In forest on high bank of the Rio Paraná",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127875' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470752","NY00470752_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","470753","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Gleditsia","amorphoides","Gleditsia amorphoides","(Griseb.) Taub.",NA,"G. G. Hatschbach","56473","1991","10","16","South America","Brazil","Paraná","Cantagalo","Cavernoso","-52.1264","-25.3744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127879' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470753","NY00470753_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:19:47-03","UFRJ","RFA","10044","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Gleditsia","amorphoides","Gleditsia amorphoides","(Griseb.) Taub.","L.B. Smith","G.G. Hatschbach","15857","1967","01","23",NA,"Brasil","Paraná","Xambrê","Porto Byington","-53.4900016784668","-23.7360992431641",NA,"Árvore de 20m, mata pluvial. Espinhos longos na base do tronco. rara.","RFA12886",NA,"1968","01","05","25930","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-24 17:10:40-03","UTFPR","DVPR","6019","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Gleditsia","amorphoides","Gleditsia amorphoides","(Griseb.) Taub","Silva, DR","Rocha Filho, JA; Piva, J; Machado, C","731","2018","05","07",NA,"Brasil","Paraná","Capitão Leonidas Marques","Lado direito da Rodovia BR-163, Sentido Capitão Leonidas Marques.","-53.3547","-25.301",NA,"Árvore 10 m de altura. Folhas verde-discolores, cartáceas. Frutos secos, verdes quando imaturos, negros quando maduros. Ponto 008b; Árvore remanescente área com cobertura vegetal de atividade agrária, pastagem.","DVPR006019",NA,"2018","05","20",NA,NA,"-53.3547","-25.301","375","375",NA,NA,NA,NA
"8","2020-11-24 17:10:40-03","UTFPR","DVPR","6309","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Gleditsia","amorphoides","Gleditsia amorphoides","(Griseb.) Taub","Silva, DR","Silva, DR; Piva, J; Machado, C","272","2018","05","07",NA,"Brasil","Paraná","Capitão Leonidas Marques","Lado direito da Rodovia BR-163, senido Capitão Leonidas Marques.","-53.614200592041","-25.4792003631592",NA,"Árvore 12 m de altura. Folhas verde-discolores, cartáceas, glabras. Frutos secos, enegrecidos, verdes e quando imaturos.; Árvore remanescente área com cobertura vegetal de atividades agrárias, pastagem.","DVPR006309",NA,"2018","05","20","14258","auto",NA,NA,"375","375",NA,NA,NA,NA
"9","2019-10-09 11:16:04-03","UFBA","ALCB","135916","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Gleditsia","amorphoides","Gleditsia amorphoides","(Gris.) Taub.",NA,"Cardoso, D","3829","2015","11","11","Southern America","Brasil","Rio de Janeiro","Rio de Janeiro","Arboredo do Jardim Botânico do Rio de Janeiro.","-43.2075004577637","-22.9027996063232",NA,NA,"ALCB066920","ALCB066920",NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:16:04-03","UFBA","ALCB","10320","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Gleditsia","amorphoides","Gleditsia amorphoides","(Gris.) Taub.",NA,"Ferrucci, MS; Vanni, R; Ferraro, S","133","1979","05","21","Southern America","Argentina","Corrientes","San Cosme",NA,NA,NA,NA,NA,"ALCB026954","ALCB026954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
