"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","class","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","669953","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N.Hind","D. J. N. Hind","W. Ganev","588","1992","06","25","South America","Brazil","Bahia","Abaíra","Caminho Guarda Mor- Agua Limpa, volteando o morro do cuscus por tráz","-41.66","-13.25","1480","1480","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=300655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669953","NY00669953_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:09:43-03","UFBA","ALCB","135378","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N.Hind","Amorim, VO","Amorim, VO; Coelho, JC","448","2015","10","28","Southern America","Brasil","Bahia","Abaíra","campo do Ouro Fino.","-41.901667","-13.255278","1558","1558",NA,"Alt.: 0,40. Folhas coriáceas, concolores. Inflorescência em capítulos, bráctea involucrais verdes, flores alvas e ramos do estilete alvas.. DNA: S. População: P.; Preso na rocha.","ALCB063651","ALCB063651","2015","10","-41.901667","-13.255278",NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:09:43-03","UFBA","ALCB","62669","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N.Hind","Hind, DJN","Ganev, W","1886","1993","07","12","Southern America","Brasil","Bahia","Abaíra","Chapada Diamantina, Rio de Contas: Guarda Mor, encosta Serra dos Frios","-42.333333","-13.866667","1350","1350",NA,"Até 70 cm alt. Folhas verdes, brácteas verdes com ápice vináceo. Flores alvas.; Vegetação de encosta com solo areno-argiloso com rochas.",NA,NA,"1996","11","-42.333333","-13.866667",NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:09:43-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N.Hind","Hind, DJN","Ganev, W","1886","1993","07","19","Southern America","Brasil","Bahia","Abaíra","Chapada Diamantina, Rio de Contas. Guarda Mor. Encosta Serra dos Frios","-42.333333","-13.866667","1350","1350",NA,"De até 70cm. Folhas verdes. Brácteas verdes com ápice vináceo. Flores alvas.; Vegetação de encosta. Solo areno-argiloso. Com rochas.",NA,NA,"1996","11","-42.333333","-13.866667",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:14:01-03","MBM","MBM","266955","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","Hind, D.J.N.","Hind, D.J.N.","Ganev, W.","648","1992","07","14","Southern America","Brazil","Bahia","Abaíra","Campos do Ouro Fino","-41.6636009216309","-13.2496995925903",NA,NA,NA,NA,"MBM266955","MBM266955",NA,NA,NA,NA,"26531","auto",NA,NA,NA,NA,NA
"6","2020-12-11 11:32:14-03","UFMG","BHCB","70424","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N.Hind",NA,"Harley, RM; Hind, DJN; E.N. Lughadha; R.F. Queiroz; W. Ganev","s.n.","1991","12","31","Southern America","Brasil","Bahia","Abaíra","Campo de Ouro Fino.","-41.9","-13.25","1600","1700",NA,"Projeto Campos Rupestres do Brasil. Entre e sobre rochas, encostas da face sul e sudoeste. Arbusto até aprox. 0,7m. Ramos frondosos somente no ápice. Brácteas involucrais verde-vivas na base, purpúreas no ápice, indistinguíveis das folhas dos ramos.",NA,NA,NA,NA,"-41.9","-13.25",NA,NA,NA,NA,NA,NA,NA
"7","2019-06-13 04:36:00-03","MO","MOBOT","3282627","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N. Hind",NA,"T. Læssøe|T. Silva","Læssøe 53315","1992",NA,NA,"South America","Brazil","Bahia",NA,"Mun. Abaíra: Campo de Ouro Fino (baixo). Entre rochas, perto de curso d'água seco.","-41.9","-13.25","1600.00000000","1700.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-08-13 05:50:00-03","MO","MOBOT","3282861","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N. Hind","D.J.N. Hind","R.M. Harley","Harley 50594","1991",NA,NA,"South America","Brazil","Bahia",NA,"Mun. Abaíra: Campo de Ouro Fino. Entre e sobre rochas, encostas da face sul e sudoeste.","-41.9","-13.25","1600.00000000","1700.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-04 11:04:26-03","UFRB","HURB","24175","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N.Hind","V.O.Amorim","Amorim, V.O.; Coelho, J.C.","448","2015","10","28",NA,"Brasil","Bahia","Abaíra","Campo do Ouro Fino;","-41.901667","-13.255278","1558","1558",NA,"subarbusto, 40cm, folhas coriáceas, concolores, inflorescência em capítulos, bráctea involucrais verdes, flores alvas e ramos do estilete alvas. DNA: S. População: P. ALCB 135378","HURB000024175",NA,"2015","10","41º54'06W","13º15'19S",NA,NA,NA,NA,NA,NA,NA
"10","2021-01-26 14:12:08-03","CPACT","ECT","6024","PreservedSpecimen","Plantae","Embryophyta",NA,"Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N.Hind","V.O.Amorim","V.O.Amorim; J.C.Coelho","448","2015","10","28",NA,"Brasil","Bahia","Abaíra","Campo do Ouro Fino.","-41.540556","-13.151944","1558","1558",NA,NA,"ECT0006024","ECT0006024","2015","10","41º32'26''W","13º9'7''S",NA,NA,"01",NA,NA,NA,NA
