"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","county","decimalLongitude","decimalLatitude","month","day","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","484140","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","prismatica","Aphelandra prismatica","(Vell.) Hiern","D. C. Wasshausen","L. Riedel","1830","South America","Brazil","Rio de Janeiro","Rio de Janeiro","sheet","N° 0,36 L. Riedel: Iter Brasiliense 1829-30. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491286' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484140","NY00484140_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","484137","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","prismatica","Aphelandra prismatica","(Vell.) Hiern","D. C. Wasshausen","Wilkes Expedition","1832","South America","Brazil","Rio de Janeiro","Brazil, near Rio Janeiro.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484137","NY00484137_01","s.n.","Rio de Janeiro","-43.448386","-22.913514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","484135","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","prismatica","Aphelandra prismatica","(Vell.) Hiern","E. Pereira","E. Pereira","1963","South America","Brazil","Rio de Janeiro","Estado do Rio de Janeiro Guanabara. Serra do Corcovado, Quebra.","sheet","Herbarium Bradeanum Rio de Janeiro - Brasil <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491283' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484135","NY00484135_01","7246","Rio de Janeiro","-43.2075","-22.9031","01","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","484141","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","prismatica","Aphelandra prismatica","(Vell.) Hiern","L. A. McDade","P. Clausen","1842","South America","Brazil","Rio de Janeiro",NA,"sheet","Aug. - April. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491285' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484141","NY00484141_01","39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","484142","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","prismatica","Aphelandra prismatica","(Vell.) Hiern","L. A. McDade","J. C. Mikan",NA,"South America","Brazil",NA,"Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484142","NY00484142_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","484139","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","prismatica","Aphelandra prismatica","(Vell.) Hiern","D. C. Wasshausen","L. Riedel","1833","South America","Brazil","Rio de Janeiro","Tijuca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484139","NY00484139_01","1229","Rio de Janeiro","-43.274528","-22.95583","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","484134","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","prismatica","Aphelandra prismatica","(Vell.) Hiern","E. Pereira","E. Pereira","1963","South America","Brazil","Rio de Janeiro","Estado do Rio de Janeiro Guanabara. Serra do Corcovado, Quebra.","sheet","Herbarium Bradeanum Rio de Janeiro - Brasil <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491282' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484134","NY00484134_01","7246","Rio de Janeiro","-43.2075","-22.9031","01","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","484136","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","prismatica","Aphelandra prismatica","(Vell.) Hiern","D. C. Wasshausen","D. S. D. de Araújo","1976","South America","Brazil","Rio de Janeiro","Mun. Parati-Mirim, à beira do riacho.","sheet","FEEMA Departamento de Conservaçao Ambiental <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491280' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484136","NY00484136_01","1440","Paratí","-44.7131","-23.2181","12","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","484138","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","prismatica","Aphelandra prismatica","(Vell.) Hiern","D. C. Wasshausen","L. Riedel","1833","South America","Brazil","Rio de Janeiro","Tijuca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491287' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484138","NY00484138_01","1229","Rio de Janeiro","-43.274528","-22.95583","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1546541","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","prismatica","Aphelandra prismatica stenophylla","Rizzini",NA,"A. P. Duarte","1947","South America","Brazil","Rio de Janeiro","Corcovado","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1893662' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546541","NY01546541_01","894[=herb. RB 58964]","Rio de Janeiro","-43.212076","-22.951842","01","02","stenophylla","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
