"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","locality","year","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","fieldNumber","individualCount"
"1","2016-09-30 00:15:00-03","NY","NYBG","01067340","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Onagraceae","Ludwigia","anastomosans","Ludwigia anastomosans","T. P. Ramamoorthy","Martii Herbar. Florae Brasil.","993","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1210962' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067340","NY01067340_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 00:15:00-03","NY","NYBG","01067339","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Onagraceae","Ludwigia","anastomosans","Ludwigia anastomosans","E. M. Zardini","G. H. von Langsdorff","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1210960' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067339","NY01067339_01","Minas Gerais","Brasilia: ad Minas-Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 12:17:22-03","ESALQ","ESA","1586","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Onagraceae","Jussiaea","anastomosans","Jussiaea anastomosans",NA,"Santoro, J. ; Killip, E.P.","446.0",NA,"Brasil",NA,NA,"ESA001586","ESA001586","São Paulo",NA,"1936","04","08","Campinas","-47.060001373291","-22.8999996185303","23900","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:17:22-03","ESALQ","ESA","82453","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Onagraceae","Ludwigia","anastomosans","Ludwigia anastomosans",NA,"Mello Barreto","11375.0",NA,"Brasil",NA,NA,"ESA082453","ESA082453","Minas Gerais",NA,"1942","04","08","Santos Dumont","-43.5525016784668","-21.4566993713379","25699","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:32:21-03","MN","R","10167","PreservedSpecimen","Plantae",NA,NA,"Onagraceae","Ludwigia","anastomosans","Ludwigia anastomosans","Ramamoorthy, T.P.","Glaziou, A.F.M.","14705",NA,"Brasil",NA,"Plantas do Brasil Central","R000010167","R000010167_001","Minas Gerais",NA,"1884","02","12","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto","(DC.) H. Hara","1976","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:18:43-03","UFV","VIC","412","PreservedSpecimen","Plantae",NA,NA,"Onagraceae","Ludwigia","anastomosans","Ludwigia anastomosans",NA,NA,"s.n.",NA,"Brasil",NA,NA,"VIC000412","VIC000412","Minas Gerais",NA,"1930","10","03","Viçosa","-42.8819007873535","-20.7539005279541","13937","auto","(DC) H.Hara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:40:36-03","UFJF","CESJ","11958","PreservedSpecimen","Plantae","Angiosperma",NA,"Onagraceae","Ludwigia","anastomosans","Ludwigia anastomosans","A.O.S. Vieira","L. Krieger; Vasco; Marilia","CESJ11958","América do Sul","Brasil",NA,"Árvore pequena (4-5m) no brejo, flores amarelas. Caule leitoso.","CESJ011958",NA,"Minas Gerais","Pedra do Sino","1972","12","09","Conselheiro Lafaiete","-43.7860984802246","-20.6602993011475","15602","auto","(DC.) H.Hara","2008","12","10",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:37:26-03","UNICAMP","UEC","162512","S","Plantae","Magnoliopsida",NA,"Onagraceae","Ludwigia","anastomosans","Ludwigia anastomosans",NA,"Stehmann, JR; Teles, AM; Mota, RC; Troncoso, C; Vasconcelos, M","5042",NA,"Brazil",NA,"Árvore, ca 5 m de altura, muito ramificada, próximo a brejo; flores com pétalas amarelas.","UEC038470","UEC038470","Minas Gerais","Reserva Florestal Uaimi, Trilha para a Serra do Batatal.","2008","04","12","Ouro Preto","-43.535","-20.263472",NA,NA,"(DC) H.Hara",NA,NA,NA,"-43.535","-20.263472","1385","1385",NA,NA,NA,NA
"9","2020-03-12 10:29:23-03","UFOP","OUPR","24448","PreservedSpecimen","Plantae",NA,NA,"Onagraceae","Ludwigia","anastomosans","Ludwigia anastomosans","Zeferino, L.C.","Magalhães-Gomes, F.P.; Magalhães-Gomes, C.T.","s.n.",NA,"Brasil",NA,"Cor lutea. In humidis. Ex Herb. Magalhães Gomes No. 218. Ex Escola de Pharmacia No. 4753. Ex Herbario José Badini Ouro Preto No. 10269.",NA,NA,"Minas Gerais",NA,"1891",NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto","(DC.) H.Hara","2019","09","14",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-03-12 10:29:23-03","UFOP","OUPR","30898","PreservedSpecimen","Plantae",NA,NA,"Onagraceae","Ludwigia","anastomosans","Ludwigia anastomosans","Zeferino, L.C.","Pedrosa, L.G.","88",NA,"Brasil",NA,"Arbusto, aprox. 2,5m. Flores amarelas. Mata ciliar / campo úmido.",NA,NA,"Minas Gerais","Cachoeira do Bom Despacho","2018","03","25","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto","(DC.) H.Hara","2019","06","03",NA,NA,NA,NA,NA,NA,NA,NA
