"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:33:55-03","UNESC","CRI","3891","PreservedSpecimen","Plantae","Poaceae","Briza","juergensii","Briza juergensii","Hackel","Hilda M. Longhi-Wagner","J. A. Jarenkow","1988","10","29","Brasil","Rio Grande do Sul","Capão do Leão","-52.484167","-31.763889","52º29'3''W","31º45'50''S","CRI006285","CRI006285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-11-01 14:07:00-02","NY","NYBG","783962","PreservedSpecimen","Plantae","Poaceae","Briza","juergensii","Briza juergensii",NA,"L. Essi","J. da Costa Sacco","1954","11","03","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"NY00783962","NY00783962_01","Magnoliophyta","Poales","213","South America","I.A.S. - Pelotas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=250620' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","641528","PreservedSpecimen","Plantae","Poaceae","Briza","juergensii","Briza juergensii","Hack.",NA,"J. R. Swallen","1945","10","27","Brazil","Rio Grande do Sul","Pelotas","-52.3422","-31.7719",NA,NA,"NY00641528","NY00641528_01","Magnoliophyta","Poales","7195","South America","Pelotas, Instituto Agronomico do Sul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=26230' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-01 14:07:00-02","NY","NYBG","630657","PreservedSpecimen","Plantae","Poaceae","Briza","juergensii","Briza juergensii",NA,"L. Essi","L. B. Smith","1956","12","20","Brazil","Santa Catarina","Porto Uniao","-51.0781","-26.2383",NA,NA,"NY00630657","NY00630657_01","Magnoliophyta","Poales","8926","South America","South of matos Costa on the road to Calmon (22 km)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=250604' target='other'> <mi>dwc_moreinfo</mi></a>","900","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","821731","PreservedSpecimen","Plantae","Poaceae","Briza","juergensii","Briza juergensii","Hack.","L. Essi","J. E. Leite","1942","10",NA,"Brazil","Rio Grande do Sul",NA,"-51.143791","-29.75136",NA,NA,"NY00821731","NY00821731_01","Magnoliophyta","Poales","3080","South America","São Leopoldo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=904072' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","630662","PreservedSpecimen","Plantae","Poaceae","Briza","juergensii","Briza juergensii","Hack.","L. Essi","R. Reitz","1958","12","09","Brazil","Santa Catarina","Sao Joaquim","-49.9317","-28.2942",NA,NA,"NY00630662","NY00630662_01","Magnoliophyta","Poales","7642","South America","Serra do Oratório, Bom Jardim, S. Joaquim","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=250610' target='other'> <mi>dwc_moreinfo</mi></a>","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:53:09-03","EAO","IAN","103989","PreservedSpecimen","Plantae","Poaceae","Briza","juergensii","Briza juergensii","Hack.","Parodi, LR","Sacco, JC da","1954","11","03","Brasil","Rio Grande do Sul","Pelotas","-52.3424987792969","-31.771900177002",NA,NA,"IAN103989",NA,"Monocotiledônea",NA,"213","Southern America","I.A.S.",NA,NA,NA,NA,"51462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:16:32-03","NBC","NL-BOTANY","L.1225100","PreservedSpecimen","Plantae","Gramineae","Briza","juergensii","Briza juergensii","Hack.","Essi L","Reitz R; Klein RM","1958","12","09","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"NL-L1225100","NL-L1225100",NA,"Poales",NA,"Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1225100 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Magnoliopsidae","2005","08","18","L 0532841",NA,NA,NA,NA
"9","2020-11-04 12:18:36-03","ESALQ","ESA","19999","PreservedSpecimen","Plantae","Poaceae","Briza","juergensii","Briza juergensii","Hack.","Longhi-Wagner, H.M.","Jarenkow, J.A.","1988","08","29","Brasil","Rio Grande do Sul","Capão do Leão","-52.4838981628418","-31.7632999420166",NA,NA,"ESA019999","ESA019999","Magnoliophyta",NA,"1002.0",NA,NA,NA,NA,NA,NA,"28605","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 12:18:36-03","ESALQ","ESA","49769","PreservedSpecimen","Plantae","Poaceae","Briza","juergensii","Briza juergensii","Hack.","Parodi, L.R. - conf. Longhi-Wagner, H.M.","Sacco, J.C.","1954","11","03","Brasil","Rio Grande do Sul","Pelotas","-52.3424987792969","-31.771900177002",NA,NA,"ESA049769","ESA049769","Magnoliophyta",NA,"231.0",NA,NA,NA,NA,NA,NA,"51462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-02-02 14:38:17-02","BGBM","B","B 10 0176903","S","Plantae","Gramineae","Poidium","juergensii","Poidium juergensii",NA,NA,"Lyman B. Smith & R. Reitz",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"B100176903","B100176903",NA,NA,"25250","Middle and South America",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100176903 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-02-15 11:47:30-02","IPA","IPA","11245","S","Plantae","Poaceae","Briza","juergensii","Briza juergensii","Hack.","Parodi, L.R.","Sacco, J.C.","1954","11","03","Brasil","Rio Grande do Sul","Pelotas","-52.3424987792969","-31.771900177002",NA,NA,"IPA0011245",NA,"Plantae",NA,"213","Southern America","I.A.S.",NA,"HHB. Nº 384.",NA,NA,"51462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-08-27 13:25:45-03","IAP","PACA-AGP","54022","PreservedSpecimen","Plantae","Gramineae","Briza","juergensii","Briza juergensii","Hack.","L. Essi","Rambo, B.","1953","02","20","Brasil","RS","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,"PACA054022",NA,"Magnoliophyta","Cyperales",NA,NA,"Taimbesinho",NA,"Habitat: in humidis dense graminosis Fenofase: fruto",NA,NA,"76715","auto","Liliatae","2006","11",NA,NA,NA,NA,NA,NA
"14","2020-12-20 21:18:55-03","UFV","VIC","4824","PreservedSpecimen","Plantae","Poaceae","Chascolytrum","juergensii","Chascolytrum juergensii juergensii","(Hack.) L. Essi, Souza-Chies & Longhi-Wagner","Parodi, L.R.","Sacco, J.C. da","1954","11","03","Brasil","Rio Grande do Sul","Pelotas","-52.3424987792969","-31.771900177002",NA,NA,"VIC004824","VIC004824",NA,NA,"213",NA,"I.A.S.",NA,NA,NA,NA,"51462","auto",NA,NA,NA,NA,NA,"juergensii",NA,NA,NA
