"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","502823","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","grazielae","Simira grazielae","Peixoto","A. Peixoto","I. A. Silva","85","1979","10","12","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal de Linhares. Estrada Flamengo. Km 6,95. 25 m antes da Torre, próximo a uma Sapucaia mirim e uma Bo","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502823","NY00502823_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","502824","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","grazielae","Simira grazielae","Peixoto","D. A. Folli","D. A. Folli","2288","1994","04","12","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal de Linhares. Aceiro do Caldara. Km 0. Ao lado do aceiro com a antiga fazenda em Santa Terezinha","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502824","NY00502824_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1546726","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","grazielae","Simira grazielae","Peixoto",NA,"J. G. Kuhlmann","427[=herb. RB 110697]","1930","09","30","South America","Brazil","Espírito Santo","Linhares","Córrego do Durão, Vale de Rio Doce","-40.0722007751465","-19.3910999298096","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1911837' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546726","NY01546726_01","paratype","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:48:22-03","EAO","IAN","183537","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rubiaceae","Simira","grazielae","Simira grazielae","Peixoto","Queiroz, LP de","Queiroz, LP de; Gross, E","8056","2003","11","29","Southern America","Brasil","Bahia","Casa Nova","Estrada para Fazenda Santarém","-40.9707984924316","-9.16193962097168",NA,"Árvore ca. 2 à 4m altura.Folhas cartáceas, estípulas semi-persistentes, castanhas. Flores com cálice verde, corola creme esverdeada, estames brancos. Polinizada por abelhas.","IAN183537",NA,NA,"116505","auto","2003","11","430","430",NA,NA,NA,NA,NA
"5","2021-03-30 12:48:22-03","EAO","IAN","183502","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rubiaceae","Simira","grazielae","Simira grazielae","Peixoto","Queiroz, LP de","Queiroz, LP de; Gross, E","7981","2003","11","27","Southern America","Brasil","Bahia","Remanso","entrada para Lagoinha, ca. 100m da entrada. Caatinga arbustiva, arbórea aberta sobre relevo plano.","-42.0814018249512","-9.62166976928711",NA,"Arbusto ca. 1,5 m de altura, muito ramificado. Folhas papiráceas. Botões verdes com ápice rosado. DNA.","IAN183502",NA,NA,"75033","auto","2003","11","427","427",NA,NA,NA,NA,NA
"6","2020-11-04 11:19:03-03","ESALQ","ESA","118604","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Simira","grazielae","Simira grazielae",NA,NA,"Kuhlmann, J.G.","427.0","1930","09","01",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"ESA118604","ESA118604",NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:19:22-03","UFV","VIC","018031","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Simira","grazielae","Simira grazielae","Peixoto",NA,"Ana Luiza","s.n.","1995","08","31",NA,"Brasil","Bahia",NA,"FLONA Rio Preto",NA,NA,NA,"Altura de 17 m, P16 n°34","VIC018031","VIC018031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-24 17:09:56-03","UFES","SAMES","7908","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Simira","grazielae","Simira grazielae","Peixoto",NA,"Ribeiro,M.; AmeliaC.Tuler.;Giaretta,A.O.;TatianaT.Carrijo.","976","2014","01","12",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica Córrego Grande. Próximo a sede.","-39.7322006225586","-18.5932998657227",NA,"Folhas novas, verde-clara, as recém-emitidas com face abaxial verde-avermelhada clara, Inflorescência verde-claro. Habito: Arvoreta","SAMES07908",NA,NA,"41644","auto",NA,NA,NA,NA,"-398055556.0","-182661111.0",NA,NA,NA
"9","2019-06-27 10:26:40-03","UFES","VIES","34835","S","Plantae",NA,NA,"Rubiaceae","Simira","grazielae","Simira grazielae","Peixoto",NA,"Peluzio, T.M.O.; Silva, A.G.","3","2015","11","26",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim","Floresta Nacional de Pacotuba","-41.1128005981445","-20.8488998413086",NA,NA,"VIES034835","VIES034835",NA,"35694","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-19 16:37:03-03","UNESP-IBB","BOTUW","1071","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Simira","grazielae","Simira grazielae","A. L. Peixoto",NA,NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo",NA,"Comp. Vale do Rio Doce","-40.533333","-19.866667",NA,NA,"BOTUW001071",NA,NA,NA,NA,NA,NA,NA,NA,"40°32'W","19°52'S",NA,NA,NA
