"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","identifiedBy","county","typeStatus","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","individualCount","class","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00932564","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","adamantina","Mimosa adamantina","Barneby","M. M. Arbo","5063","1991","02","14","South America","Brazil","Minas Gerais","9-13 km NW de Diamantina, camino a Biribiri, cerca del Rio das Pedras","-43.6","-18.15","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006463' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932564","NY00932564_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00932565","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","adamantina","Mimosa adamantina adamantina","Barneby","M. M. Arbo","5038","1991","02","14","South America","Brazil","Minas Gerais","6 km N camino a Biribiri","-43.6","-18.18","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932565","NY00932565_01","adamantina","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00932566","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","adamantina","Mimosa adamantina","Barneby","G. G. Hatschbach","27996","1971","11","15","South America","Brazil","Minas Gerais","Biri-Biri","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006467' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932566","NY00932566_01",NA,NA,"Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00932589","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","adamantina","Mimosa adamantina hebecarpa","Barneby","W. R. Anderson","35495","1972","02","05","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 14 km SW of Diamantina on road to Gouveia","-43.68695","-18.3159","1300","1360","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006469' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932589","NY00932589_01","hebecarpa","R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00932590","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","adamantina","Mimosa adamantina hebecarpa","Barneby","I. Silberbauer-Gottsberger","13-251085","1985","10","25","South America","Brazil","Minas Gerais","3 km W of Diamantina","-43.62","-18.28","1260","1260","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006471' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932590","NY00932590_01","hebecarpa","R. C. Barneby","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2653","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","adamantina","Mimosa adamantina","Barneby","H. S. Irwin","28415","1970","03","27","South America","Brazil","Minas Gerais","Serra do Espinhaço. Ca. 10 km S of Sao Joao da Chapada. Alt. 1150 m.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=370997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002653","NY00002653_01",NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00932588","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","adamantina","Mimosa adamantina","Barneby","H. S. Irwin","28554","1970","03","28","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 7 km N. of São João da Chapada, road to Inhaí.","-43.6002998352051","-18.2493991851807","1150",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006462' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932588","NY00932588_01",NA,NA,"Diamantina",NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2654","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","adamantina","Mimosa adamantina hebecarpa","Barneby","H. S. Irwin","22312","1969","01","20","South America","Brazil","Minas Gerais","Serra do Espinhaço. Ca. 20 km SW of Diamantina.",NA,NA,"1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648616' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002654","NY00002654_01","hebecarpa",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:29:51-03","MN","R","170797","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","adamantina","Mimosa adamantina var.adamantina","Barneby","Irwin, H.S.; Fonsêca, S.F.; Souza, R.; Santos, R.R. & Ramos, J.","s.n.","1970","03","28",NA,"Brasil","Minas Gerais",NA,"-43.6002998352051","-18.2493991851807","1150","1150",NA,NA,NA,NA,"var.adamantina","Barneby, R.C.","Diamantina",NA,"101169","auto","1984",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:29:51-03","MN","R","169932","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","adamantina","Mimosa adamantina var.hebecarpa","Barneby","Anderson, W.R.; Stieber, M.T. & Kirkbride Jr., J.H.","s.n.","1972","02","05",NA,"Brasil","Minas Gerais",NA,"-43.6002998352051","-18.2493991851807","1360","1360",NA,NA,NA,NA,"var.hebecarpa","Barneby, R.C.","Diamantina",NA,"101169","auto","1984",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-20 21:17:36-03","UFV","VIC","19923","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","adamantina","Mimosa adamantina adamantina","Barneby","Arbo, M.M.; et al.","5063","1991","02","14",NA,"Brasil","Minas Gerais","Caminho a Biriri, Perdo do Rio de Pedras. Campo rupestre, solo arenoso. Em brejo, entre pedras.","-43.6","-18.15",NA,NA,NA,"Arbusto, c.a. de 1,0-2,0 metros de altura; flores rosadas.","VIC019923","VIC019923","adamantina","Barneby, R.",NA,NA,NA,NA,"1991","-43.6","-18.15",NA,NA,NA,NA,NA,NA
