"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","previousCatalogNumber","typeStatus","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00846785","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","galioides","Polygala galioides","Poir.","J. J. Wurdack","G. G. Hatschbach","36265","1975","02","18","South America","Brazil","Goiás","São João d'Aliança","10 km N, S. João da Aliança.","-47.5244","-14.7058","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=928052' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846785","NY00846785_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","818574","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","galioides","Polygala galioides","Poir.","J. A. Kallunki","H. S. Irwin","24263","1969","03","11","South America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 10 km south of Cavalcante","-47.5","-13.89039","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=864840' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818574","NY00818574_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00846799","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","galioides","Polygala galioides","Poir.","J. J. Wurdack","H. S. Irwin","28458","1970","03","28","South America","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, ca. 3 km N. of São João da Chapada, road to Inhaí","-43.7833","-18.0833","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=928132' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846799","NY00846799_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00856590","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","galioides","Polygala galioides","Poir.",NA,"D. Philcox","4355","1968","02","26","South America","Brazil","Mato Grosso",NA,"Road between Base Camp and road.","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929435' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856590","NY00856590_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","634576","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","galioides","Polygala galioides","Poir.","J. J. Wurdack","Martii Herbar. Florae Brasil.","1190",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","Annotation by J. F. Pastore indicates the collection should be duplicate of Claussen & L. Riedel, 146, II.1839., from Minas Gerais: Cachoeira do Campo. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=371656' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634576","NY00634576_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","818551","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","galioides","Polygala galioides","Poir.","J. J. Wurdack","H. S. Irwin","18519","1968","01","13","South America","Brazil","Goiás","Cocalzinho de Goiás","25 km N. of Corumbá de Goiás on road to Niquelândia, in valley of Rio Corumbá. Serra dos Pirineus.","-48.77","-15.8","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=864582' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818551","NY00818551_01","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1581493","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","galioides","Polygala galioides","Poir.","J. F. B. Pastore","P. B. Cavalcante","2578","1970","03","02","South America","Brazil","Pará",NA,"Parque Indigena do Tumucumaque, Rio Parú de Oeste, Missao Tiriyo. Arredores da Missao.","-55.75","2.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1605083' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581493","NY01581493_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00846629","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","galioides","Polygala galioides","Poir.","J. F. B. Pastore","H. S. Irwin","13238","1966","03","02","South America","Brazil","Goiás","Cristalina","Serra dos Cristais, ca. 3 km N. of Cristalina","-47.6","-16.72289","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=926488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846629","NY00846629_01","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00846591","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","galioides","Polygala galioides","Poir.","J. A. Kallunki","H. S. Irwin","23920","1969","02","25","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Serra dos Três Irmãos, ca. 3 km southwest of Agua Boa, road to Jequitaí","-42.3894","-17.99645","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=926342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846591","NY00846591_01","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00856437","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","galioides","Polygala galioides","Poir.","J. J. Wurdack","H. S. Irwin","35010","1972","01","25","South America","Brazil","Goiás","Niquelândia","ca. 5 km W. of Niquelândia","-48.49637","-14.45","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=928560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856437",NA,"750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
