"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00956978","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","mosenii","Peperomia mosenii","Dahlst.","R. Callejas Posada","H. S. Irwin","28056","1970","03","22","South America","Brazil","Minas Gerais","Serra do Espinhaço, Ca. 20 km E. of Diamantina","-43.5197222","-18.18055","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084120' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956978","NY00956978_01",NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00956979","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","mosenii","Peperomia mosenii","Dahlst.","R. Callejas Posada","G. G. Hatschbach","31636","1973","02","16","South America","Brazil","Minas Gerais","Serra do Espinhaço.","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084121' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956979","NY00956979_01","Diamantina",NA,NA,NA,NA,NA
"3","2020-12-21 16:39:32-03","MBM","MBM","25341","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","mosenii","Peperomia mosenii","Dahlst.","Callejas, R.","Hatschbach, G.; et al.; et al.","31636",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Serra do Espinhaço","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"MBM025341","MBM025341","Diamantina","101169","auto",NA,NA,NA
"4","2016-05-27 14:13:45-03","MNHN","RECOLNAT_MNHN_P","P00868355","PreservedSpecimen",NA,NA,NA,"Piperaceae","Peperomia","mosenii","Peperomia mosenii","Dahlst.",NA,"Mosén, C.W.H.",NA,"1873","12","25",NA,"Brasil",NA,"Prov. de S. Paulo",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00868355' target='other'> <mi>dwc_moreinfo</mi></a>","P00868355","P00868355_01",NA,NA,NA,"1663",NA,NA
"5","2015-09-03 18:40:34-03","MNHN","RECOLNAT_MNHN_P","P01644511","PreservedSpecimen",NA,NA,NA,"Piperaceae","Peperomia","mosenii","Peperomia mosenii","Dahlst.",NA,"Mosén, C.W.H.",NA,"1874","4","1",NA,"Brasil",NA,"Prov. de S. Paulo",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01644511' target='other'> <mi>dwc_moreinfo</mi></a>","P01644511","P01644511_01 P01644511_02",NA,NA,NA,"1664",NA,NA
"6","2014-08-23 05:35:00-03","MO","MOBOT","2868024","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","mosenii","Peperomia mosenii","Dahlst.","Ricardo Callejas P.","Howard S. Irwin|S.F. da Fonsêca|R. Souza|R. Reis dos Santos|J. Ramos","Irwin 27818","1970","3","18","South America","Brazil","Minas Gerais","Outcrops, gallery margin. Cerrado with outcrops and gallery forest, ca. 15 km E. of Diamantina.",NA,NA,"950.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2014-08-23 05:35:00-03","MO","MOBOT","2868100","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","mosenii","Peperomia mosenii","Dahlst.","Ricardo Callejas P.","Howard S. Irwin|S.F. da Fonsêca|R. Souza|R. Reis dos Santos|J. Ramos","Irwin 27111","1970","3","7","South America","Brazil","Minas Gerais","Cerrado & low forest among sandstone outcrops, summit of Serra do Cabral, gray sandy soil, ca. 8 km W of Joaquim Felicio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2013-04-09 10:05:00-03","MO","MOBOT","100582587","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","mosenii","Peperomia mosenii","Dahlst.","R. Callejas P.","Gert G. Hatschbach|Luisa Z. Ahumada","Hatschbach 31636","1973","2","16","South America","Brazil","Minas Gerais","Serra do Espinhaço.","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,NA,NA,"Diamantina","101169","auto",NA,"1",NA
"9","2019-07-09 14:05:22-03","F","FMNH-SEEDPLANTS","V0454745F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Piperaceae","Peperomia","mosenii","Peperomia mosenii",NA,NA,"H. S. Irwin & et al.","30509","1971","1","16","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0454745F","V0454745F_01",NA,NA,NA,NA,NA,"Dicotyledoneae"
