"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount","infraspecificEpithet"
"11","2021-03-15 16:37:00-03","NY","NYBG","01199943","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeckeler","G. S. Pinheiro","193","1974","04","04","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1437848' target='other'> <mi>dwc_moreinfo</mi></a>","NY01199943","NY01199943_01","R. Kral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00938694","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeckeler","W. R. Anderson","7460","1973","03","19","South America","Brazil","Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010527' target='other'> <mi>dwc_moreinfo</mi></a>","NY00938694","NY00938694_01","T. M. Koyama","Teresina de Goiás","Chapada dos Veadeiros, 9 km by road S of Terezina.","-47.2647","-13.85775","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01199942","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeckeler","G. S. Pinheiro","134","1974","04","04","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1437847' target='other'> <mi>dwc_moreinfo</mi></a>","NY01199942","NY01199942_01","R. Kral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01199940","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeckeler","G. S. Pinheiro","259","1974","04","06","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1437841' target='other'> <mi>dwc_moreinfo</mi></a>","NY01199940","NY01199940_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00938689","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeckeler","Y. E. J. Mexia","5656","1931","04","18","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00938689","NY00938689_01","Svenson","Corinto","Fazenda do Diamante; Campo Tiririca.","-44.4564","-18.3808","590","590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-01-06 11:42:09-03","UFPI-MRV","HDELTA","5831","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeckeler","Cerqueira, E.C.","100","2018","03","10",NA,"Brasil","Piauí",NA,NA,"HDELTA005831",NA,"Cerqueira,E.C.","Cajueiro da Praia","São Domingos","-41.378889","-3.064444",NA,NA,"2018","11","10","41°22'44,00''W","3°03'52,00''S",NA,NA,NA,NA,NA,NA,NA
"17","2021-01-06 11:42:09-03","UFPI-MRV","HDELTA","5833","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeckeler","Cerqueira, E.C.","86","2016","04","07",NA,"Brasil","Piauí",NA,NA,"HDELTA005833",NA,"Cerqueira,E.C.","Parnaíba","Lagoa do Bebedouro","-41.771111","-2.929167",NA,NA,"2018","11","10","41°46'16,00''W","2°55'45,00''S",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-30 12:52:11-03","EAO","IAN","84009","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Black, GA; Pires, JM","16611","1954","07","06","Southern America","Brasil","Maranhão",NA,NA,"IAN084009",NA,"Barros, M",NA,"Perizes Capoeira.",NA,NA,NA,NA,"1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:52:11-03","EAO","IAN","138073","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Irwin, HS; Souza, R","15167","1966","04","20","Southern America","Brasil","Goiás",NA,"Caespitose, the culms to ca. 30 cm tall.","IAN138073",NA,"Koyama, T",NA,"Wet meadow, near Córrego Estrema, ca. 40 km NE of Formosa.",NA,NA,"800","800","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:52:11-03","EAO","IAN","138073","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Irwin, HS; Souza, R","15167","1966","04","20","Southern America","Brasil","Goiás",NA,"Caespitose, the culms to ca. 30cm. tall. wet meadow, near corrego Estrema, ca. 40 km. N. E. of formosa.","IAN138073",NA,"Koyama, T",NA,"Serra do Morcego.",NA,NA,"800","800","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-30 12:52:11-03","EAO","IAN","138073","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Irwin, HS; Souza, R","15167","1966","04","20","Southern America","Brasil","Goiás",NA,"Caespitose, the culms to ca. 30cm. tall. wet meadow, near corrego Estrema, ca. 40 km. N. E. of formosa.","IAN138073",NA,"Koyama, T",NA,"Serra do Morcego.",NA,NA,"800","800","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
