"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","country","occurrenceRemarks","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","barcode","imagecode","county","infraspecificEpithet","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem","typeStatus","coordinatePrecision","geoFlag","individualCount","sex"
"1","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1369","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Melocactus","violaceus","Melocactus violaceus","Pfeiff.","Brasil","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","645836","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Melocactus","violaceus","Melocactus violaceus","Pfeiff.","Brazil","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=475037' target='other'> <mi>dwc_moreinfo</mi></a>","N. P. Taylor; D. C. Zappi","L. B. Smith","6384","1952","04","04","South America","Rio de Janeiro","Distrito Federal. Praia de Sernambetiba (Recreio dos Bandeirantes)","-43.3469","-23.0036","sheet","NY00645836","NY00645836_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","645834","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Melocactus","violaceus","Melocactus violaceus","Pfeiff.","Brazil","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=475036' target='other'> <mi>dwc_moreinfo</mi></a>","E. A. Rocha","E. A. Rocha","568","2000","02","16","South America","Bahia","6.5 km ao Norte da Praia de Saquaira, na Area de Proteçao Ambiental Península de Maraú","-38.9522","-13.9883","sheet","NY00645834","NY00645834_01","Maraú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","645838","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Melocactus","violaceus","Melocactus violaceus margaritaceus","N.P.Taylor","Brazil","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=135168' target='other'> <mi>dwc_moreinfo</mi></a>","N. P. Taylor; D. C. Zappi","J. N. Rose","19691","1915","05","29","South America","Bahia","Vicinity of Bahia",NA,NA,"sheet","NY00645838","NY00645838_01 NY00645838_02",NA,"margaritaceus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","645835","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Melocactus","violaceus","Melocactus violaceus","Pfeiff.","Brazil","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=475035' target='other'> <mi>dwc_moreinfo</mi></a>","N. P. Taylor; D. C. Zappi","J. N. Rose","20698","1915","08","08","South America","Rio de Janeiro","Vicinity of Cabo Frio, Rio de Janeiro","-42.032149","-22.874703","sheet","NY00645835","NY00645835_01 NY00645835_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","645837","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Melocactus","violaceus","Melocactus violaceus","Pfeiff.","Brazil","Cultivated from original collection, Rose 2036 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=475038' target='other'> <mi>dwc_moreinfo</mi></a>","N. P. Taylor; D. C. Zappi","J. N. Rose","47923","1920",NA,NA,"South America","Bahia","Pituba",NA,NA,"sheet","NY00645837","NY00645837_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:29:43-03","UFRJ","RFA","39010","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Melocactus","violaceus","Melocactus violaceus","Pfeiff.","Brasil",NA,NA,"Seixas, R.; Konno, T.U.P; Machado, N. C","10","2011","10","26",NA,"Rio de Janeiro","Paque Nacional da Restinga de Jurubatiba.","-41.422222","-22.141389",NA,"RFA32639",NA,"Carapebus",NA,"41º25'20''W","22º8'29''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-19 15:43:35-03","UNEB","HUNEB","4321","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Cactaceae","Melocactus","depressus","Melocactus depressus","Hook","Brasil","Restinga interna, solos de areias brancas, após o rio.",NA,"Fonseca, M.R.","111","2001","01","12",NA,"Bahia","Restinga de Massarandupió.",NA,"-12.329167",NA,"HUNEB0004321",NA,"Entre Rios",NA,"37W52'84''","12S19'45''","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:12:21-03","UFBA","ALCB","78152","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Melocactus","violaceus","Melocactus violaceus","Pfeiffer","Brasil",NA,"Meiado, MV","Lima, STC; Sr., Edinho","78","2007","03","28","Southern America","Bahia","Região Metropolitana Salvador, Feira de São Joaquim","-38.5","-12.966667",NA,NA,NA,"Salvador",NA,"-38.5","-12.966667",NA,"2010","11","16",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:12:21-03","UFBA","ALCB","81783","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Melocactus","violaceus","Melocactus violaceus","Pfeiffer","Brasil","em solo arenoso. Flores lilases.","Liro, RM","Roque, N; Carvalho, G; Alunos de Botânica III","1670","2007","11","09","Southern America","Bahia","Piemonte da Diamantina, Rodovia para Mundo Novo, Rio Ferro Doido, Cachoeira do Ferro Doido","-41.001389","-11.635833",NA,NA,NA,"Morro do Chapéu",NA,"-41.001389","-11.635833",NA,"2007","11",NA,"903","903",NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:12:21-03","UFBA","ALCB","98820","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Melocactus","violaceus","Melocactus violaceus","Pfeiffer","Brasil","globoso. Flores rosas.; Restinga arbustiva.","Gomes, FS","Gomes, FS; Guedes, ML; Costa, AS","914","2011","01","28","Southern America","Bahia","Litoral Norte, Subaúma. No fundo do povoado","-37.774444","-12.240278",NA,NA,NA,"Entre Rios",NA,"-37.774444","-12.240278",NA,"2011","11",NA,"3","3",NA,NA,NA,NA,NA,NA
