"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:43:11-03","E","E","177910","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","monogynum","Zanthoxylum monogynum","Riedel","E. Tropical South America","BR","Brasilia","herbarium specimen of unspecif","BGBASE:194128","<a href=http://data.rbge.org.uk/herb/E00177910 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00177910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","382622","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","monogynum","Zanthoxylum monogynum monogynum","H. de F. Leitão Filho","South America","Brazil","Nativo no Bosque dos Jequitibas.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249400' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382622","Magnoliophyta","Sapindales","monogynum","A.St.-Hil.","C. R. Reynel","2608","1976","08","18","São Paulo","Campinas","-47.06","-22.9","NY00382622_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1145593","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","monogynum","Zanthoxylum monogynum","J. R. Pirani","South America","Brazil","Cardeal Mota, Serra do Cipó, APA Morro da Pedreira. Alto dos afloramentos do localmente denominados como Grupo I do Morro da Pedreira.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320569' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145593","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","J. R. Pirani","5557","2007","01","17","Minas Gerais","Santana do Riacho","-43.6139","-19.30536","NY01145593_01","920","920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01141956","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","monogynum","Zanthoxylum monogynum paraense","M. G. da Silva","South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1507539' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141956","Magnoliophyta","Sapindales","paraense","A.St.-Hil.","C. R. Reynel","2963","1977","03","31","Pará",NA,NA,NA,"NY01141956_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01141954","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","monogynum","Zanthoxylum monogynum paraense","M. G. da Silva","South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1507527' target='other'> <mi>dwc_moreinfo</mi></a>","NY01141954","Magnoliophyta","Sapindales","paraense","A.St.-Hil.","C. R. Reynel","3043","1977","04","05","Pará",NA,NA,NA,"NY01141954_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1184180","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","monogynum","Zanthoxylum monogynum","R. de Mello-Silva","South America","Brazil","Sítio Morro ALto. Estrada pavimentada que liga a Rodovia do Sol (ES 060) à BR 101. Ca. de 4 km da Rodovia do Sol, em trevo, sentido oposto à entrada para Lameirão,","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1465124' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184180","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","J. R. Pirani","3119","2008","10","23","Espírito Santo","Guarapari","-40.57392","-20.72167","NY01184180_01","20","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","382619","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","monogynum","Zanthoxylum monogynum monogynum","G. T. Prance","South America","Brazil","Serra do Caiapó. 66 km north of Jatai.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382619","Magnoliophyta","Sapindales","monogynum","A.St.-Hil.","C. R. Reynel","59561","1964","10","22","Goiás","Jataí","-51.7142","-17.8817","NY00382619_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","382617","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","monogynum","Zanthoxylum monogynum","J. R. Pirani","South America","Brazil","Ca. 3 km S do Morro do Aghá, na rodovia ES-060.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=634950' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382617","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","J. R. Pirani","3492","1994","12","08","Espírito Santo","Piúma","-40.77","-20.87","NY00382617_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","382623","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","monogynum","Zanthoxylum monogynum monogynum","J. R. Pirani","South America","Brazil","Rodovia do Sol, estrada que liga a BR-101 à Praia do Sol e Praia Setiba na ES-060, a 4 km da BR 101.","sheet",NA,"Voucher para estudos quimícos. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249397' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382623","Magnoliophyta","Sapindales","monogynum","A.St.-Hil.","C. R. Reynel","2417","1988","02","23","Espírito Santo","Guarapari","-40.45","-20.52","NY00382623_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","632089","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","monogynum","Zanthoxylum monogynum","K. Almeida","South America","Brazil","Estaçao Ecológica do Tapacurá","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=634955' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632089","Magnoliophyta","Sapindales",NA,"A.St.-Hil.",NA,"64","2000","07","26","Pernambuco","Sao Lourenço da Mata","-34.95027778","-8.0127778","NY00632089_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
