"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","recordNumber","phylum","order","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-04-05 14:25:20-03","UNESC","CRI","12514","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","devosiana","Codonanthe devosiana","Lem.","Aline Votri Guislon & Peterson T. Padilha","2017","07","25","Alexandre Medeiros","2017","05","08","Brasil","Santa Catarina","Balneário Camboriú","Barra- Morro Guaramirim","-48.595556","-27.006111","48º35'44''W","27º0'22''S","Coleta 289. Habito: Herbácea","CRI010721","CRI010721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:20-03","UNESC","CRI","8764","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","devosiana","Codonanthe devosiana","Lem.","Jorge Waechter","2009","10","14","Lisiane Cardoso de Oliveira; Peterson T. Padilha","2009","10","14","Brasil","Santa Catarina","Criciúma",NA,"-49.373333","-28.6725","49º22'24''W","28º40'21''S",NA,"CRI003234","CRI003234","46","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:20-03","UNESC","CRI","8953","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","devosiana","Codonanthe devosiana","Lem.","Lislaine Cardoso de Oliveira","2011","05","26","Lislaine Cardoso de Oliveira","2011","05","26","Brasil","Santa Catarina","Araranguá","Sanga do Veado.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","Floresta brejosa","CRI003215","CRI003215","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:32-03","UNESC","CRI","12038","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","devosiana","Codonanthe devosiana","Lem.","Guilherme Lodetti",NA,NA,NA,"Guilherme Alves Elias; Guilherme Lodetti; Robson dos Santos & Peterson Teodoro Padilha","2016","07","28","Brasil","Santa Catarina","Grão Pará",NA,"-49.392222","-28.156389","49º23'32''W","28º9'23''S","Habito: Epífita","CRI010216","CRI010216","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:20-03","UNESC","CRI","14866","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","devosiana","Codonanthe devosiana","Lem.","Jorge L. Waechter","1998","12","22","Claudio Ricken","1998","08","09","Brasil","Santa Catarina","Forquilhinha",NA,"-49.472778","-28.748056","49º28'22''W","28º44'53''S","Habito: Herbácea","CRI014200","CRI014200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:32-03","UNESC","CRI","1672","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","devosiana","Codonanthe devosiana","Lem.","Vanilde Citadini- Zanette",NA,NA,NA,"V. Citadini-Zanette; C. E. Dário & C. M. Martinello","1993","02","19","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","Habito: epifítica","CRI003216","CRI003216","110","110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:39:25-03","E","E","162566","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","devosiana","Codonanthe devosiana",NA,NA,NA,NA,NA,"Davis, P.H., Shepherd, G.J., Makino, H., Silvestre, M.S. & Jung, S.L.","1976","08","20","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00162566 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00162566",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:170471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:39:25-03","E","E","162573","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","devosiana","Codonanthe devosiana",NA,NA,NA,NA,NA,"Argent, G.C.G.",NA,NA,NA,"BR","Est. Do Sao Paulo",NA,"Jureia.","-47.25","-24.5","-47.250000","-24.500000","<a href=http://data.rbge.org.uk/herb/E00162573 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00162573",NA,NA,"700","E. Tropical South America","herbarium specimen of unspecif","BGBASE:170489","691",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:39:25-03","E","E","162565","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","devosiana","Codonanthe devosiana",NA,NA,NA,NA,NA,"Davis, P.H. & Shepherd, G.J.","1976","09","07","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00162565 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00162565",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:170466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:39:25-03","E","E","162568","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","devosiana","Codonanthe devosiana",NA,NA,NA,NA,NA,"Davis, P.H.,Shepherd, G.J., Makino, H., Silvestre, S. & Jung, S.L.","1976","08","22","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00162568 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00162568",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:170484",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:39:25-03","E","E","162570","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","devosiana","Codonanthe devosiana",NA,NA,NA,NA,NA,"Mason, L. Maurice",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00162570 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00162570",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:170486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-09-23 10:39:25-03","E","E","162572","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","devosiana","Codonanthe devosiana",NA,NA,NA,NA,NA,"Davis, Peter H.","1905","05","29","BR","Est. Do Sao Paulo",NA,"Sete Barras Reserve or Ilha do Cardoso.",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00162572 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00162572",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:170488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-23 10:39:25-03","E","E","162567","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","devosiana","Codonanthe devosiana",NA,NA,NA,NA,NA,"Davis, P.H. & Shepherd, G.J.","1976","09","08","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00162567 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00162567",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:170483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","441897","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","devosiana","Codonanthe devosiana","Lem.","F. C. Hoehne",NA,NA,NA,"R. Reitz","1956","06","21","Brazil","Santa Catarina","Itajaí","Braço Joaquim, Luis Alves","-48.941177","-26.748537",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=271720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441897","NY00441897_01","350","350","South America","sheet",NA,"3301","Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","312583","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","digna","Codonanthe digna","Wiehler",NA,NA,NA,NA,"Collector unspecified",NA,NA,NA,"Brazil",NA,NA,"Probably southeastern Brazil",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=199808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00312583","NY00312583_01",NA,NA,"South America","sheet",NA,"s.n.","Magnoliophyta","Lamiales","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-06-29 11:30:48-03","UFRJ","RFA","16942","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","devosiana","Codonanthe devosiana","Lem.","Thereza Lopes","2002","02","25","P. Occhioni","1975","07","30","Brasil","Rio de Janeiro","Magé","Vale das Pedrinhas","-43.040599822998","-22.6527996063232",NA,NA,"Epífita","RFA51625",NA,NA,NA,NA,NA,NA,"7697",NA,NA,NA,"20531","auto",NA,NA,NA,NA,NA,NA
"17","2020-06-29 11:30:48-03","UFRJ","RFA","22064","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","devosiana","Codonanthe devosiana","Lem.","Thereza Lopes","2002","02","25","C.M. Rizzini; E.M. Occhioni; A.A.M. de Barros","1987","11","19","Brasil","Rio de Janeiro","Rio de Janeiro","Ilha da Marambaia, Praia Grande","-43.2075004577637","-22.9027996063232",NA,NA,"Epífita. Flores brancas. Frutos amarelos","RFA51619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"18","2020-06-29 11:30:48-03","UFRJ","RFA","6772","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","devosiana","Codonanthe devosiana","Lem.","L.K.R. Hinoshitz","2016","04","06","P. Occhioni","1960","12",NA,"Brasil","Rio de Janeiro","Teresópolis","Serra dos Órgãos, Horto Botânico da Faculdade","-42.9655990600586","-22.4122009277344",NA,NA,"Epífita; flor creme","RFA40767",NA,NA,NA,NA,NA,NA,"2056",NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA
"19","2019-12-12 15:31:41-03","UFABC","HUFABC","000183","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","devosiana","Codonanthe devosiana","Lem.",NA,NA,NA,NA,"Ferreira, GE; Chautems, A; Perret, M; Peixoto. M","2014","10","02","Brasil","Rio de Janeiro","Angra dos Reis","Jussaral, trilha para a antiga estação ferroviária, epífita próx. a trilha.","-44.475278","-23.589806","-44.475278","-23.589806","Erva epífita adpresa, flores brancas, interior da fauce marrom amarelado.","HUFABC000183","HUFABC000183 HUFABC000183_1","70","70",NA,NA,NA,"277","Angiospermas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-12-12 15:31:41-03","UFABC","HUFABC","000297","PreservedSpecimen","Plantae","Gesneriaceae","Codonanthe","devosiana","Codonanthe devosiana","Lem.",NA,NA,NA,NA,"Jorge, J","2015","10","03","Brasil","São Paulo","Mogi das Cruzes","Sítio Primavera, Estufa no Sítio de propriedade do Mauro Peixoto, planta em cultivo sob o número 11198.","-46.1883010864258","-23.5228004455566",NA,NA,"erva de aprroximadamente 15 cm, flores brancas pequenas com tricomas suaves, frutos laranjas, botões arroxeados, parte abaxial das folhas arroxeado.","HUFABC000297","HUFABC000297",NA,NA,NA,NA,NA,"15","Angiospermas",NA,NA,"28666","auto",NA,NA,NA,NA,NA,NA
