"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","547473","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","aphylla","Cleistes aphylla","(Barb.Rodr.) Hoehne","G. F. J. Pabst","H. S. Irwin","19247","1968","01","26","South America","Brazil","Goiás","Cocalzinho de Goiás","20 km NW of Corumba de Goias, near Pico dos Pirineus","-48.95","-15.88","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=387072' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547473","NY00547473_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","547471","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","aphylla","Cleistes aphylla","(Barb.Rodr.) Hoehne","G. F. J. Pabst","H. S. Irwin","12387","1966","02","09","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 15 km W of Veadeiros","-47.5097","-14.1325","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=387071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547471","NY00547471_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","547472","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cleistes","aphylla","Cleistes aphylla","(Barb.Rodr.) Hoehne","G. F. J. Pabst","W. R. Anderson","35840","1972","02","12","South America","Brazil","Minas Gerais",NA,"Eastern slopes of Pico do Itambe",NA,NA,"1550","1550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=387073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547472","NY00547472_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:52:42-03","EAO","IAN","129768","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Cleistes","aphylla","Cleistes aphylla","Krug & Urb.","Pabst, GFJ","Irwin, HS; Grear Jr., JW; Grear Jr., JW","12387","1966","02","09","Southern America","Brasil","Goiás","Chapada dos Veadeiros",NA,NA,NA,"1000","1000",NA,"To ca. 10 cm. tall. Perianth yellow.","IAN129768",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:40:48-03","MN","R","2499","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","aphylla","Cleistes aphylla","(Barb. Rodr.) Hoehne","Hoehne, F.C.","Schwacke, C.A.W.","II - 72","1880","01","08",NA,"Brasil","Paraná","São Bento do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 17:47:15-03","MN","R","234286","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","aphylla","Cleistes aphylla","(Barb. Rodr.) Hoehne",NA,"Pangaio, L.","508","2006","01","12",NA,"Brasil","Minas Gerais","Buenópolis","Serra do Cabral. Região do Cuba. Lapa da Dança, no campo","-44.1800003051758","-17.8733005523682",NA,NA,NA,NA,"R010051579",NA,"42854","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 17:47:15-03","MN","R","234285","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","aphylla","Cleistes aphylla","(Barb. Rodr.) Hoehne",NA,"Pangaio, L.; Araujo, D.","507","2006","01","12",NA,"Brasil","Minas Gerais","Buenópolis","Serra do Cabral. Região do Cuba. Lapa da Dança, no campo","-44.1800003051758","-17.8733005523682",NA,NA,NA,NA,"R010051576",NA,"42854","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-18 17:47:15-03","MN","R","234284","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","aphylla","Cleistes aphylla","(Barb. Rodr.) Hoehne",NA,"Pangaio, L.","474","2006","01","11",NA,"Brasil","Minas Gerais","Buenópolis","Serra do Cabral. Região do Tanque, próximo à várzea","-44.1800003051758","-17.8733005523682",NA,NA,NA,NA,"R010051573",NA,"42854","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:00:37-03","UNICAMP","UEC","122250","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","aphylla","Cleistes aphylla","Krug & Urb.","Pansarin, ER","Pansarin, ER; Mickeliunas, L","865","2001","12","29",NA,"Brazil","Goiás","Terezina de Goiás","Rodovia GO 118, Km 189, Sentido Alto Paraíso de Goiás - Terezina de Goiás, lado direito da pista, próximo ao cruzeiro.","-47.466667","-13.95",NA,NA,NA,NA,"UEC064586","UEC064586",NA,NA,"2004","03","-47.466667","-13.95",NA,NA,NA,NA
"10","2019-08-20 10:00:37-03","UNICAMP","UEC","122225","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","aphylla","Cleistes aphylla","Krug & Urb.","Pansarin, ER","Pansarin, ER; Mickeliunas, L","885","2002","01","02",NA,"Brazil","Goiás","Alto Paraíso de Goiás","rodovia GO - 118, a 197,5 km da cidade, Lado esquerdo da pista.","-47.433333","-13.916667",NA,NA,NA,NA,"UEC064582","UEC064582",NA,NA,"2004","03","-47.433333","-13.916667",NA,NA,NA,NA
